LG	lodLimit=1	lodLimit=2	lodLimit=3	lodLimit=4	lodLimit=5	lodLimit=6	lodLimit=7	lodLimit=8	lodLimit=9	lodLimit=10	lodLimit=11	lodLimit=12	lodLimit=13	lodLimit=14	lodLimit=15	lodLimit=16	lodLimit=17	lodLimit=18	lodLimit=19	lodLimit=20	lodLimit=21	lodLimit=22	lodLimit=23	lodLimit=24	lodLimit=25	lodLimit=26	lodLimit=27	lodLimit=28	lodLimit=29	lodLimit=30
0	3582	3677	3785	3890	4020	4465	5193	5653	6003	6788	7180	7251	7381	7573	7781	8038	8290	8480	8631	8748	8844	8889	8944	8999	9053	9102	9149	9180	9196	9203
1	5448	2792	1071	951	849	507	470	427	375	352	285	284	282	275	254	242	225	212	184	172	162	156	153	153	141	128	116	110	106	105
2	99	458	450	443	440	281	221	214	197	151	140	130	127	122	104	95	52	39	28	22	13	13	13	10	10	8	7	7	7	7
3	9	337	239	162	162	227	189	177	167	125	100	99	89	82	77	44	32	24	23	16	10	10	10	9	9	7	7	6	6	5
4	8	269	167	150	145	151	132	112	106	68	66	62	54	54	48	42	29	23	16	13	10	9	9	9	8	6	6	4	4	4
5	8	184	153	134	132	141	117	104	94	66	61	59	54	51	48	34	25	21	14	12	10	9	9	7	7	6	4	3	3	3
6	7	159	147	127	125	120	110	102	81	61	53	52	48	48	47	27	24	18	14	10	10	9	9	7	7	6	4	3	3	3
7	7	128	135	121	121	110	99	81	80	58	51	47	46	45	36	26	24	14	13	10	10	8	7	7	6	4	3	3	3	3
8	7	112	127	116	115	110	96	77	75	56	48	44	41	40	34	25	20	12	12	10	9	7	7	6	5	4	3	3	3	3
9	7	102	123	115	115	109	94	75	71	52	44	44	41	37	32	25	19	12	10	10	9	7	7	6	4	4	3	3	3	2
10	6	97	119	115	113	109	88	75	70	52	42	42	38	35	31	24	19	12	10	8	8	7	6	5	4	4	3	2	2	2
11	5	97	117	114	112	103	85	73	68	50	42	39	37	31	28	23	17	12	9	8	7	6	5	5	4	4	3	2	2	2
12	5	96	114	112	110	103	85	73	65	49	38	38	37	31	27	22	17	11	9	8	7	5	5	4	4	3	2	2	2	2
13	4	83	112	111	103	103	80	72	64	48	38	37	33	31	26	19	16	10	9	7	6	5	5	4	4	3	2	2	2	2
14	4	81	107	106	102	100	80	70	64	44	37	36	32	29	25	18	15	10	8	7	6	5	4	3	3	3	2	2	2	2
15	4	69	107	104	102	99	80	69	64	44	36	35	32	28	25	18	14	9	8	7	6	5	4	3	3	3	2	2	2	
16	4	67	102	102	101	96	78	68	63	43	35	34	32	27	23	17	14	9	7	7	6	5	4	3	3	3	2	2	2	
17	4	60	95	94	92	96	78	66	59	43	34	34	31	26	23	17	14	9	7	7	6	4	4	3	3	2	2	2		
18	3	49	95	94	92	93	76	65	58	42	34	33	31	26	22	16	13	9	7	6	5	4	4	3	3	2	2	2		
19	3	37	93	93	91	89	75	65	58	42	34	30	29	25	22	14	11	8	7	6	5	4	4	3	3	2	2	2		
20	3	36	93	93	91	86	74	62	57	40	32	30	28	23	19	13	11	8	7	6	5	4	3	3	2	2	2	2		
21	3	31	93	92	91	85	72	61	56	38	31	28	26	22	17	13	10	8	6	6	5	4	3	3	2	2	2	2		
22	3	15	89	89	91	85	72	60	55	36	28	26	25	22	16	13	9	7	6	6	4	4	3	3	2	2	2	2		
23	3	9	85	88	88	84	71	59	55	35	26	25	24	21	15	11	9	7	6	6	4	4	3	3	2	2	2			
24	3	8	82	82	84	83	70	58	54	33	25	24	22	20	15	10	8	7	6	5	4	4	3	3	2	2	2			
25	3	8	81	82	82	82	66	58	53	33	25	24	22	19	14	10	8	7	6	5	4	4	3	3	2	2	2			
26	3	7	81	81	81	81	65	57	53	33	25	23	19	16	14	9	8	7	6	5	4	4	3	3	2	2	2			
27	3	7	74	81	81	77	62	56	50	31	25	22	19	16	14	9	8	7	5	5	4	4	3	3	2	2	2			
28	3	7	74	78	78	75	60	53	49	31	25	22	17	16	13	8	8	7	5	5	4	4	3	3	2	2	2			
29	3	7	72	74	78	75	59	50	48	31	23	21	17	14	13	8	7	7	5	4	4	3	3	3	2	2	2			
30	3	7	72	73	73	71	58	50	46	31	22	19	16	14	11	8	7	7	5	4	4	3	3	3	2	2	2			
31	3	6	70	70	72	67	53	47	44	30	21	19	16	14	11	8	7	6	5	4	4	3	3	2	2	2	2			
