lg family ind nr_rec
10 3c9 P10854_104_S128 1
10 3c9 P10854_106_S130 1
10 3c9 P10854_110_S134 1
10 3c9 P10854_112_S136 1
10 3c9 P10854_113_S137 1
10 3c9 P10854_115_S139 1
10 3c9 P10854_116_S140 1
10 3c9 P10854_123_S147 1
10 3c9 P10854_125_S149 1
10 3c9 P14461_192_S188 1
10 8C P10854_138_S162 1
10 8C P10854_139_S163 1
10 8C P10854_140_S164 1
10 8C P10854_142_S166 1
10 8C P10854_148_S172 1
10 8C P10854_152_S176 1
10 8C P10854_154_S178 1
10 8C P10854_156_S180 1
10 8C P10854_157_S181 1
10 8C P10854_158_S182 1
10 7C P10854_163_S187 1
10 7C P10854_165_S189 1
10 7C P10854_168_S192 1
10 7C P10854_170_S194 1
10 7C P10854_175_S199 1
10 7C P10854_177_S201 1
10 7C P10854_192_S215 1
10 4C P14461_105_S101 1
10 4C P14461_111_S107 1
10 4C P14461_112_S108 1
10 4C P14461_113_S109 1
10 4C P14461_115_S111 1
10 4C P14461_117_S113 1
10 4C P14461_118_S114 1
10 4C P14461_119_S115 1
10 4C P14461_121_S117 1
10 4C P14461_124_S120 1
10 4C P14461_129_S125 1
10 4C P14461_130_S126 1
10 4C P14461_131_S127 1
10 4C P14461_132_S128 1
10 4C P14461_133_S129 1
10 7CB P14461_144_S140 1
10 7CB P14461_145_S141 1
10 7CB P14461_147_S143 1
10 7CB P14461_148_S144 1
10 7CB P14461_149_S145 1
10 7CB P14461_152_S148 1
10 7CB P14461_153_S149 1
10 7CB P14461_155_S151 1
10 7CB P14461_159_S155 1
10 7CB P14461_161_S157 1
10 7CB P14461_162_S158 1
10 9C P14461_165_S161 1
10 9C P14461_169_S165 1
10 9C P14461_171_S167 1
10 9C P14461_184_S180 1
10 9C P14461_185_S181 1
10 9C P14461_188_S184 1
11 3c9 P10854_101_S125 1
11 3c9 P10854_102_S126 1
11 3c9 P10854_106_S130 1
11 3c9 P10854_107_S131 1
11 3c9 P10854_109_S133 1
11 3c9 P10854_111_S135 1
11 3c9 P10854_112_S136 1
11 3c9 P10854_113_S137 1
11 3c9 P10854_114_S138 1
11 3c9 P10854_116_S140 1
11 3c9 P10854_117_S141 1
11 3c9 P10854_118_S142 1
11 3c9 P10854_119_S143 1
11 3c9 P10854_120_S144 1
11 3c9 P10854_124_S148 1
11 3c9 P10854_126_S150 1
11 3c9 P10854_130_S154 1
11 3c9 P14461_190_S186 1
11 3c9 P14461_193_S189 1
11 3c9 P14461_195_S191 1
11 3c9 P14461_196_S192 1
11 8C P10854_136_S160 1
11 8C P10854_137_S161 1
11 8C P10854_139_S163 1
11 8C P10854_140_S164 1
11 8C P10854_146_S170 1
11 8C P10854_148_S172 1
11 8C P10854_151_S175 1
11 8C P10854_152_S176 1
11 8C P10854_159_S183 1
11 7C P10854_161_S185 1
11 7C P10854_164_S188 1
11 7C P10854_170_S194 1
11 7C P10854_174_S198 1
11 7C P10854_175_S199 1
11 7C P10854_177_S201 1
11 7C P10854_182_S206 1
11 7C P10854_183_S207 1
11 7C P10854_187_S210 1
11 7C P10854_189_S212 1
11 7C P10854_191_S214 1
11 7C P10854_192_S215 1
11 7C P10854_193_S216 1
11 7C P10854_195_S218 1
11 4C P14461_102_S98 1
11 4C P14461_104_S100 1
11 4C P14461_105_S101 1
11 4C P14461_106_S102 1
11 4C P14461_108_S104 1
11 4C P14461_110_S106 1
11 4C P14461_111_S107 1
11 4C P14461_113_S109 1
11 4C P14461_114_S110 1
11 4C P14461_115_S111 1
11 4C P14461_116_S112 1
11 4C P14461_117_S113 1
11 4C P14461_118_S114 1
11 4C P14461_120_S116 1
11 4C P14461_121_S117 1
11 4C P14461_122_S118 1
11 4C P14461_123_S119 1
11 4C P14461_124_S120 1
11 4C P14461_125_S121 1
11 4C P14461_126_S122 1
11 4C P14461_127_S123 1
11 4C P14461_128_S124 1
11 4C P14461_129_S125 1
11 4C P14461_131_S127 1
11 7CB P14461_144_S140 1
11 7CB P14461_145_S141 1
11 7CB P14461_146_S142 1
11 7CB P14461_147_S143 1
11 7CB P14461_148_S144 1
11 7CB P14461_149_S145 1
11 7CB P14461_150_S146 1
11 7CB P14461_151_S147 1
11 7CB P14461_152_S148 1
11 7CB P14461_153_S149 1
11 7CB P14461_154_S150 1
11 7CB P14461_155_S151 1
11 7CB P14461_156_S152 1
11 7CB P14461_157_S153 1
11 7CB P14461_158_S154 1
11 7CB P14461_160_S156 1
11 7CB P14461_161_S157 1
11 7CB P14461_162_S158 1
11 7CB P14461_163_S159 1
11 9C P14461_165_S161 1
11 9C P14461_166_S162 1
11 9C P14461_167_S163 1
1 3c9 P10854_101_S125 1
1 3c9 P10854_102_S126 1
1 3c9 P10854_104_S128 1
1 3c9 P10854_105_S129 1
1 3c9 P10854_106_S130 1
1 3c9 P10854_107_S131 1
1 3c9 P10854_110_S134 1
1 3c9 P10854_111_S135 1
1 3c9 P10854_112_S136 1
1 3c9 P10854_113_S137 1
1 3c9 P10854_114_S138 1
1 3c9 P10854_115_S139 1
1 3c9 P10854_116_S140 1
1 3c9 P10854_118_S142 1
1 3c9 P10854_119_S143 1
1 3c9 P10854_120_S144 1
1 3c9 P10854_121_S145 1
1 3c9 P10854_123_S147 1
1 3c9 P10854_124_S148 1
1 3c9 P10854_125_S149 1
1 3c9 P10854_126_S150 1
1 3c9 P10854_127_S151 1
1 3c9 P10854_128_S152 1
1 3c9 P10854_129_S153 1
1 3c9 P10854_130_S154 1
1 3c9 P14461_191_S187 1
1 3c9 P14461_192_S188 1
1 3c9 P14461_193_S189 1
1 3c9 P14461_194_S190 1
1 3c9 P14461_196_S192 2
1 8C P10854_133_S157 1
1 8C P10854_134_S158 1
1 8C P10854_135_S159 1
1 8C P10854_136_S160 1
1 8C P10854_137_S161 2
1 8C P10854_138_S162 1
1 8C P10854_139_S163 1
1 8C P10854_140_S164 1
1 8C P10854_141_S165 1
1 8C P10854_142_S166 1
1 8C P10854_143_S167 1
1 8C P10854_144_S168 1
1 8C P10854_145_S169 1
1 8C P10854_146_S170 1
1 8C P10854_147_S171 1
1 8C P10854_148_S172 1
1 8C P10854_149_S173 1
1 8C P10854_150_S174 1
1 8C P10854_151_S175 1
1 8C P10854_153_S177 2
1 8C P10854_154_S178 1
1 8C P10854_156_S180 1
1 8C P10854_157_S181 1
1 8C P10854_158_S182 1
1 8C P10854_159_S183 1
1 7C P10854_161_S185 1
1 7C P10854_162_S186 1
1 7C P10854_163_S187 1
1 7C P10854_164_S188 1
1 7C P10854_165_S189 1
1 7C P10854_167_S191 1
1 7C P10854_168_S192 1
1 7C P10854_170_S194 1
1 7C P10854_171_S195 1
1 7C P10854_172_S196 1
1 7C P10854_173_S197 1
1 7C P10854_174_S198 1
1 7C P10854_175_S199 1
1 7C P10854_176_S200 1
1 7C P10854_177_S201 1
1 7C P10854_178_S202 1
1 7C P10854_179_S203 1
1 7C P10854_180_S204 1
1 7C P10854_181_S205 1
1 7C P10854_182_S206 1
1 7C P10854_183_S207 1
1 7C P10854_185_S208 1
1 7C P10854_186_S209 1
1 7C P10854_187_S210 1
1 7C P10854_188_S211 1
1 7C P10854_189_S212 1
1 7C P10854_190_S213 1
1 7C P10854_191_S214 1
1 7C P10854_194_S217 1
1 4C P14461_101_S97 1
1 4C P14461_102_S98 1
1 4C P14461_103_S99 1
1 4C P14461_104_S100 1
1 4C P14461_105_S101 1
1 4C P14461_106_S102 1
1 4C P14461_107_S103 1
1 4C P14461_109_S105 2
1 4C P14461_110_S106 1
1 4C P14461_111_S107 1
1 4C P14461_112_S108 1
1 4C P14461_114_S110 2
1 4C P14461_116_S112 1
1 4C P14461_117_S113 1
1 4C P14461_118_S114 1
1 4C P14461_120_S116 1
1 4C P14461_121_S117 1
1 4C P14461_122_S118 1
1 4C P14461_123_S119 1
1 4C P14461_124_S120 2
1 4C P14461_125_S121 2
1 4C P14461_126_S122 1
1 4C P14461_132_S128 1
1 4C P14461_133_S129 1
1 4C P14461_142_S138 1
1 7CB P14461_144_S140 1
1 7CB P14461_146_S142 2
1 7CB P14461_147_S143 1
1 7CB P14461_148_S144 1
1 7CB P14461_149_S145 1
1 7CB P14461_150_S146 1
1 7CB P14461_151_S147 1
1 7CB P14461_152_S148 2
1 7CB P14461_153_S149 1
1 7CB P14461_154_S150 1
1 7CB P14461_156_S152 1
1 7CB P14461_157_S153 1
1 7CB P14461_159_S155 2
1 7CB P14461_160_S156 1
1 7CB P14461_161_S157 1
1 9C P14461_165_S161 3
1 9C P14461_167_S163 1
1 9C P14461_169_S165 1
1 9C P14461_171_S167 1
1 9C P14461_172_S168 1
1 9C P14461_173_S169 1
1 9C P14461_175_S171 1
1 9C P14461_176_S172 1
1 9C P14461_177_S173 1
1 9C P14461_179_S175 1
1 9C P14461_180_S176 1
1 9C P14461_181_S177 1
1 9C P14461_182_S178 1
1 9C P14461_183_S179 1
1 9C P14461_184_S180 1
1 9C P14461_185_S181 2
1 9C P14461_186_S182 1
1 9C P14461_187_S183 1
1 9C P14461_188_S184 1
12 3c9 P10854_101_S125 1
12 3c9 P10854_108_S132 1
12 3c9 P10854_109_S133 1
12 3c9 P10854_110_S134 1
12 3c9 P10854_113_S137 1
12 3c9 P10854_116_S140 1
12 3c9 P10854_119_S143 1
12 3c9 P10854_122_S146 1
12 3c9 P10854_123_S147 1
12 3c9 P10854_127_S151 1
12 3c9 P10854_128_S152 1
12 3c9 P10854_129_S153 1
12 3c9 P10854_130_S154 1
12 3c9 P10854_131_S155 1
12 3c9 P14461_191_S187 1
12 3c9 P14461_192_S188 1
12 3c9 P14461_193_S189 1
12 3c9 P14461_195_S191 1
12 3c9 P14461_196_S192 1
12 8C P10854_134_S158 1
12 8C P10854_135_S159 1
12 8C P10854_145_S169 1
12 8C P10854_147_S171 1
12 8C P10854_148_S172 1
12 8C P10854_151_S175 1
12 8C P10854_154_S178 1
12 8C P10854_156_S180 1
12 8C P10854_159_S183 1
12 7C P10854_162_S186 1
12 7C P10854_163_S187 1
12 7C P10854_164_S188 1
12 7C P10854_167_S191 1
12 7C P10854_171_S195 1
12 7C P10854_172_S196 1
12 7C P10854_176_S200 1
12 7C P10854_179_S203 1
12 7C P10854_182_S206 1
12 7C P10854_183_S207 1
12 7C P10854_186_S209 1
12 7C P10854_191_S214 1
12 7C P10854_193_S216 1
12 7C P10854_195_S218 1
12 4C P14461_101_S97 1
12 4C P14461_102_S98 1
12 4C P14461_104_S100 1
12 4C P14461_105_S101 1
12 4C P14461_106_S102 1
12 4C P14461_109_S105 1
12 4C P14461_110_S106 1
12 4C P14461_113_S109 1
12 4C P14461_115_S111 1
12 4C P14461_116_S112 1
12 4C P14461_117_S113 1
12 4C P14461_118_S114 1
12 4C P14461_119_S115 1
12 4C P14461_121_S117 1
12 4C P14461_122_S118 1
12 4C P14461_125_S121 1
12 4C P14461_127_S123 1
12 4C P14461_128_S124 1
12 4C P14461_130_S126 1
12 4C P14461_131_S127 1
12 4C P14461_132_S128 1
12 4C P14461_133_S129 1
12 7CB P14461_144_S140 1
12 7CB P14461_147_S143 1
12 7CB P14461_148_S144 1
12 7CB P14461_151_S147 1
12 7CB P14461_153_S149 1
12 7CB P14461_155_S151 1
12 7CB P14461_157_S153 1
12 7CB P14461_160_S156 1
12 7CB P14461_161_S157 1
12 7CB P14461_162_S158 1
12 7CB P14461_163_S159 1
12 9C P14461_165_S161 1
12 9C P14461_168_S164 1
12 9C P14461_169_S165 1
12 9C P14461_171_S167 1
