lg family ind nr_rec
10 T3 P10853_102_S32 1
10 T3 P10853_103_S33 1
10 T3 P10853_104_S34 1
10 T3 P10853_105_S35 1
10 T3 P10853_109_S39 1
10 T3 P10853_112_S42 1
10 T3 P10853_113_S43 1
10 T3 P10853_114_S44 1
10 T3 P10853_117_S47 1
10 T3 P10853_119_S49 1
10 T3 P10853_121_S51 1
10 T3 P10853_122_S52 1
10 T3 P10853_123_S53 1
10 T3 P10853_124_S54 1
10 T3 P10853_125_S55 1
10 T3 P10853_126_S56 1
10 T3 P10853_127_S57 1
10 T3 P10853_128_S58 1
10 T3 P10853_129_S59 1
10 T4 P10853_133_S63 1
10 T4 P10853_134_S64 1
10 T4 P10853_135_S65 1
10 T4 P10853_137_S67 1
10 T4 P10853_138_S68 1
10 T4 P10853_139_S69 1
10 T4 P10853_141_S71 1
10 T4 P10853_142_S72 1
10 T4 P10853_143_S73 1
10 T4 P10853_145_S75 1
10 T4 P10853_147_S76 1
10 T4 P10853_149_S78 1
10 T4 P10853_151_S80 1
10 T4 P10853_153_S82 1
10 T4 P10853_154_S83 1
10 T4 P10853_155_S84 1
10 T4 P10853_158_S87 1
10 T4 P10853_159_S88 1
10 T4 P10853_160_S89 1
10 T4 P10853_163_S92 1
10 T5 P10853_168_S97 1
10 T5 P10853_171_S100 1
10 T5 P10853_177_S105 1
10 T5 P10853_178_S106 1
10 T5 P10853_181_S109 1
10 T5 P10853_182_S110 1
10 T5 P10853_184_S112 1
10 T5 P10853_185_S113 1
10 T5 P10853_186_S114 1
10 T5 P10853_187_S115 1
10 T5 P10853_191_S119 1
10 T5 P14460_169_S69 1
10 T5 P14460_171_S71 1
10 T5 P14460_174_S74 1
10 T5 P14460_175_S75 1
10 T5 P14460_179_S79 1
10 T5 P14460_181_S81 1
10 T5 P14460_185_S85 1
10 T5 P14460_190_S90 1
10 T5 P14460_191_S91 1
10 T5 P14460_192_S92 1
10 T5 P14460_194_S94 1
10 T5 P14460_195_S95 1
10 T5 P14460_196_S96 1
10 T6 P14460_101_S1 1
10 T6 P14460_103_S3 1
10 T6 P14460_104_S4 1
10 T6 P14460_106_S6 1
10 T6 P14460_107_S7 1
10 T6 P14460_108_S8 1
10 T6 P14460_109_S9 1
10 T6 P14460_110_S10 1
10 T2 P14460_114_S14 1
10 T2 P14460_116_S16 1
10 T2 P14460_117_S17 1
10 T2 P14460_118_S18 1
10 T2 P14460_119_S19 1
10 T2 P14460_120_S20 1
10 T2 P14460_121_S21 1
10 T2 P14460_124_S24 1
10 T2 P14460_125_S25 1
10 T2 P14460_127_S27 1
10 T2 P14460_128_S28 1
10 T2 P14460_129_S29 1
10 T2 P14460_130_S30 1
10 T2 P14460_133_S33 1
10 T2 P14460_135_S35 1
10 T2 P14460_136_S36 1
10 T2 P14460_137_S37 1
10 T2 P14460_138_S38 1
10 T2 P14460_139_S39 1
10 T2 P14460_141_S41 1
10 T2 P14460_147_S47 1
10 T2 P14460_149_S49 1
10 T2 P14460_150_S50 1
10 S25 P14460_154_S54 1
10 S25 P14460_157_S57 1
10 S25 P14460_158_S58 1
10 S25 P14460_159_S59 1
10 S25 P14460_164_S64 1
11 T3 P10853_105_S35 1
11 T3 P10853_106_S36 1
11 T3 P10853_107_S37 1
11 T3 P10853_109_S39 1
11 T3 P10853_111_S41 1
11 T3 P10853_118_S48 1
11 T3 P10853_119_S49 1
11 T3 P10853_122_S52 1
11 T3 P10853_126_S56 1
11 T3 P10853_131_S61 1
11 T4 P10853_134_S64 1
11 T4 P10853_135_S65 1
11 T4 P10853_137_S67 1
11 T4 P10853_138_S68 1
11 T4 P10853_140_S70 1
11 T4 P10853_142_S72 1
11 T4 P10853_143_S73 1
11 T4 P10853_144_S74 1
11 T4 P10853_150_S79 1
11 T4 P10853_155_S84 1
11 T4 P10853_156_S85 1
11 T4 P10853_158_S87 1
11 T4 P10853_160_S89 1
11 T4 P10853_163_S92 1
11 T5 P10853_165_S94 1
11 T5 P10853_166_S95 1
11 T5 P10853_168_S97 1
11 T5 P10853_171_S100 1
11 T5 P10853_173_S102 1
11 T5 P10853_176_S104 1
11 T5 P10853_178_S106 1
11 T5 P10853_180_S108 1
11 T5 P10853_182_S110 1
11 T5 P10853_183_S111 1
11 T5 P10853_184_S112 1
11 T5 P10853_186_S114 1
11 T5 P10853_187_S115 1
11 T5 P10853_189_S117 1
11 T5 P10853_190_S118 1
11 T5 P10853_192_S120 1
11 T5 P10853_193_S121 1
11 T5 P10853_195_S123 1
11 T5 P14460_169_S69 1
11 T5 P14460_170_S70 1
11 T5 P14460_171_S71 1
11 T5 P14460_172_S72 1
11 T5 P14460_173_S73 1
11 T5 P14460_174_S74 1
11 T5 P14460_178_S78 1
11 T5 P14460_180_S80 1
11 T5 P14460_182_S82 1
11 T5 P14460_183_S83 1
11 T5 P14460_184_S84 1
11 T5 P14460_186_S86 1
11 T5 P14460_189_S89 1
11 T5 P14460_190_S90 1
11 T5 P14460_193_S93 1
11 T5 P14460_194_S94 1
11 T5 P14460_195_S95 1
11 T6 P14460_102_S2 1
11 T6 P14460_103_S3 1
11 T6 P14460_104_S4 1
11 T6 P14460_105_S5 1
11 T6 P14460_106_S6 1
11 T6 P14460_107_S7 1
11 T6 P14460_108_S8 1
11 T2 P14460_113_S13 1
11 T2 P14460_114_S14 1
11 T2 P14460_117_S17 1
11 T2 P14460_118_S18 1
11 T2 P14460_119_S19 1
11 T2 P14460_120_S20 1
11 T2 P14460_123_S23 1
11 T2 P14460_124_S24 1
11 T2 P14460_125_S25 1
11 T2 P14460_126_S26 1
11 T2 P14460_127_S27 1
11 T2 P14460_130_S30 1
11 T2 P14460_132_S32 1
11 T2 P14460_133_S33 1
11 T2 P14460_136_S36 1
11 T2 P14460_137_S37 1
11 T2 P14460_142_S42 1
11 T2 P14460_144_S44 1
11 T2 P14460_146_S46 1
11 T2 P14460_147_S47 1
11 T2 P14460_148_S48 1
11 T2 P14460_149_S49 1
11 T2 P14460_150_S50 1
11 S25 P14460_155_S55 1
11 S25 P14460_160_S60 1
11 S25 P14460_161_S61 1
11 S25 P14460_162_S62 1
11 S25 P14460_163_S63 1
11 S25 P14460_165_S65 1
1 T3 P10853_101_S31 1
1 T3 P10853_102_S32 2
1 T3 P10853_104_S34 1
1 T3 P10853_105_S35 1
1 T3 P10853_107_S37 1
1 T3 P10853_108_S38 1
1 T3 P10853_109_S39 1
1 T3 P10853_111_S41 1
1 T3 P10853_112_S42 1
1 T3 P10853_113_S43 1
1 T3 P10853_115_S45 1
1 T3 P10853_116_S46 1
1 T3 P10853_118_S48 1
1 T3 P10853_119_S49 1
1 T3 P10853_121_S51 1
1 T3 P10853_122_S52 1
1 T3 P10853_123_S53 2
1 T3 P10853_124_S54 1
1 T3 P10853_125_S55 1
1 T3 P10853_126_S56 1
1 T3 P10853_127_S57 1
1 T3 P10853_128_S58 1
1 T3 P10853_129_S59 1
1 T3 P10853_130_S60 1
1 T4 P10853_133_S63 1
1 T4 P10853_134_S64 1
1 T4 P10853_135_S65 1
1 T4 P10853_137_S67 2
1 T4 P10853_139_S69 1
1 T4 P10853_143_S73 1
1 T4 P10853_144_S74 1
1 T4 P10853_145_S75 1
1 T4 P10853_148_S77 1
1 T4 P10853_149_S78 2
1 T4 P10853_150_S79 1
1 T4 P10853_151_S80 2
1 T4 P10853_153_S82 1
1 T4 P10853_155_S84 3
1 T4 P10853_156_S85 1
1 T4 P10853_158_S87 1
1 T4 P10853_160_S89 2
1 T4 P10853_161_S90 2
1 T4 P10853_162_S91 3
1 T4 P10853_163_S92 1
1 T5 P10853_165_S94 1
1 T5 P10853_166_S95 1
1 T5 P10853_168_S97 1
1 T5 P10853_170_S99 1
1 T5 P10853_172_S101 2
1 T5 P10853_174_S103 2
1 T5 P10853_176_S104 1
1 T5 P10853_177_S105 2
1 T5 P10853_183_S111 1
1 T5 P10853_185_S113 1
1 T5 P10853_186_S114 1
1 T5 P10853_187_S115 2
1 T5 P10853_188_S116 2
1 T5 P10853_189_S117 1
1 T5 P10853_190_S118 1
1 T5 P10853_193_S121 1
1 T5 P10853_194_S122 1
1 T5 P14460_169_S69 1
1 T5 P14460_170_S70 1
1 T5 P14460_173_S73 1
1 T5 P14460_174_S74 1
1 T5 P14460_175_S75 1
1 T5 P14460_176_S76 2
1 T5 P14460_177_S77 1
1 T5 P14460_178_S78 2
1 T5 P14460_180_S80 1
1 T5 P14460_181_S81 1
1 T5 P14460_182_S82 1
1 T5 P14460_183_S83 1
1 T5 P14460_185_S85 1
1 T5 P14460_186_S86 1
1 T5 P14460_187_S87 1
1 T5 P14460_190_S90 1
1 T5 P14460_192_S92 1
1 T5 P14460_193_S93 2
1 T5 P14460_194_S94 1
1 T6 P14460_101_S1 1
1 T6 P14460_102_S2 1
1 T6 P14460_104_S4 1
1 T6 P14460_105_S5 1
1 T6 P14460_106_S6 1
1 T6 P14460_107_S7 1
1 T6 P14460_108_S8 1
1 T6 P14460_110_S10 1
1 T2 P14460_112_S12 2
1 T2 P14460_113_S13 1
1 T2 P14460_114_S14 1
1 T2 P14460_115_S15 1
1 T2 P14460_116_S16 2
1 T2 P14460_117_S17 1
1 T2 P14460_118_S18 2
1 T2 P14460_123_S23 1
1 T2 P14460_124_S24 1
1 T2 P14460_125_S25 1
1 T2 P14460_126_S26 1
1 T2 P14460_127_S27 1
1 T2 P14460_129_S29 1
1 T2 P14460_130_S30 1
1 T2 P14460_131_S31 1
1 T2 P14460_133_S33 1
1 T2 P14460_134_S34 1
1 T2 P14460_136_S36 2
1 T2 P14460_137_S37 1
1 T2 P14460_140_S40 1
1 T2 P14460_142_S42 1
1 T2 P14460_144_S44 1
1 T2 P14460_145_S45 2
1 T2 P14460_146_S46 1
1 T2 P14460_147_S47 1
1 T2 P14460_148_S48 2
1 T2 P14460_152_S52 1
1 S25 P14460_154_S54 1
1 S25 P14460_157_S57 1
1 S25 P14460_160_S60 1
1 S25 P14460_161_S61 1
1 S25 P14460_164_S64 1
1 S25 P14460_165_S65 1
1 S25 P14460_167_S67 1
12 T3 P10853_102_S32 1
12 T3 P10853_103_S33 1
12 T3 P10853_104_S34 1
12 T3 P10853_107_S37 1
12 T3 P10853_108_S38 1
12 T3 P10853_111_S41 1
12 T3 P10853_112_S42 1
12 T3 P10853_113_S43 1
12 T3 P10853_114_S44 1
12 T3 P10853_115_S45 1
12 T3 P10853_116_S46 1
12 T3 P10853_120_S50 1
12 T3 P10853_121_S51 1
12 T3 P10853_122_S52 1
12 T3 P10853_123_S53 1
12 T3 P10853_129_S59 1
12 T3 P10853_130_S60 1
12 T3 P10853_131_S61 1
12 T4 P10853_133_S63 1
12 T4 P10853_137_S67 2
12 T4 P10853_138_S68 1
12 T4 P10853_139_S69 2
12 T4 P10853_140_S70 1
12 T4 P10853_142_S72 1
12 T4 P10853_144_S74 1
12 T4 P10853_145_S75 1
12 T4 P10853_148_S77 1
12 T4 P10853_149_S78 1
12 T4 P10853_150_S79 1
12 T4 P10853_151_S80 1
12 T4 P10853_155_S84 2
12 T4 P10853_156_S85 1
12 T4 P10853_158_S87 2
12 T4 P10853_159_S88 2
12 T4 P10853_161_S90 1
12 T4 P10853_163_S92 1
12 T5 P10853_165_S94 1
12 T5 P10853_168_S97 1
12 T5 P10853_169_S98 1
12 T5 P10853_170_S99 1
12 T5 P10853_173_S102 1
12 T5 P10853_174_S103 1
12 T5 P10853_176_S104 1
12 T5 P10853_177_S105 1
12 T5 P10853_178_S106 1
12 T5 P10853_180_S108 1
12 T5 P10853_181_S109 1
12 T5 P10853_182_S110 1
12 T5 P10853_183_S111 1
12 T5 P10853_185_S113 1
12 T5 P10853_186_S114 1
12 T5 P10853_187_S115 1
12 T5 P10853_189_S117 1
12 T5 P10853_190_S118 1
12 T5 P10853_191_S119 1
12 T5 P10853_192_S120 1
12 T5 P10853_193_S121 1
12 T5 P10853_194_S122 1
12 T5 P10853_195_S123 1
12 T5 P14460_171_S71 1
12 T5 P14460_172_S72 1
12 T5 P14460_173_S73 1
12 T5 P14460_174_S74 1
12 T5 P14460_175_S75 2
12 T5 P14460_176_S76 1
12 T5 P14460_177_S77 1
12 T5 P14460_178_S78 1
12 T5 P14460_179_S79 1
12 T5 P14460_180_S80 1
12 T5 P14460_182_S82 1
12 T5 P14460_183_S83 1
12 T5 P14460_184_S84 1
12 T5 P14460_185_S85 1
12 T5 P14460_186_S86 1
12 T5 P14460_187_S87 1
12 T5 P14460_191_S91 1
12 T5 P14460_192_S92 1
12 T5 P14460_194_S94 1
12 T6 P14460_101_S1 2
12 T6 P14460_102_S2 1
12 T6 P14460_104_S4 1
12 T6 P14460_108_S8 1
12 T6 P14460_109_S9 1
12 T6 P14460_110_S10 1
12 T2 P14460_113_S13 1
12 T2 P14460_114_S14 1
12 T2 P14460_116_S16 1
12 T2 P14460_118_S18 1
12 T2 P14460_123_S23 1
12 T2 P14460_124_S24 1
12 T2 P14460_125_S25 1
12 T2 P14460_126_S26 1
12 T2 P14460_127_S27 1
12 T2 P14460_128_S28 1
12 T2 P14460_129_S29 1
12 T2 P14460_130_S30 1
12 T2 P14460_131_S31 1
12 T2 P14460_132_S32 1
12 T2 P14460_134_S34 1
12 T2 P14460_136_S36 1
12 T2 P14460_138_S38 1
12 T2 P14460_139_S39 1
12 T2 P14460_140_S40 1
12 T2 P14460_141_S41 1
12 T2 P14460_142_S42 1
12 T2 P14460_145_S45 1
12 T2 P14460_147_S47 1
12 T2 P14460_149_S49 1
12 T2 P14460_150_S50 1
12 T2 P14460_151_S51 1
12 T2 P14460_152_S52 1
12 S25 P14460_158_S58 1
12 S25 P14460_160_S60 1
12 S25 P14460_162_S62 1
12 S25 P14460_163_S63 1
12 S25 P14460_167_S67 1
13 T3 P10853_102_S32 1
13 T3 P10853_103_S33 1
13 T3 P10853_106_S36 1
13 T3 P10853_108_S38 1
13 T3 P10853_109_S39 1
13 T3 P10853_118_S48 1
13 T3 P10853_119_S49 1
13 T3 P10853_122_S52 1
13 T3 P10853_123_S53 1
13 T3 P10853_124_S54 1
13 T3 P10853_130_S60 1
13 T4 P10853_133_S63 1
13 T4 P10853_138_S68 1
13 T4 P10853_140_S70 1
13 T4 P10853_142_S72 1
13 T4 P10853_143_S73 1
13 T4 P10853_144_S74 1
13 T4 P10853_145_S75 1
13 T4 P10853_149_S78 1
13 T4 P10853_150_S79 1
13 T4 P10853_152_S81 1
13 T4 P10853_153_S82 1
13 T4 P10853_154_S83 1
13 T4 P10853_158_S87 1
13 T4 P10853_159_S88 1
13 T4 P10853_160_S89 1
13 T5 P10853_167_S96 1
13 T5 P10853_168_S97 1
13 T5 P10853_170_S99 1
13 T5 P10853_171_S100 1
13 T5 P10853_172_S101 1
13 T5 P10853_173_S102 1
13 T5 P10853_174_S103 1
13 T5 P10853_177_S105 1
13 T5 P10853_178_S106 1
13 T5 P10853_180_S108 1
13 T5 P10853_181_S109 1
13 T5 P10853_184_S112 1
13 T5 P10853_186_S114 1
13 T5 P10853_189_S117 1
13 T5 P10853_192_S120 1
13 T5 P10853_195_S123 1
13 T5 P14460_174_S74 1
13 T5 P14460_175_S75 1
13 T5 P14460_176_S76 1
13 T5 P14460_177_S77 1
13 T5 P14460_178_S78 1
13 T5 P14460_179_S79 1
13 T5 P14460_181_S81 1
13 T5 P14460_182_S82 1
13 T5 P14460_185_S85 1
13 T5 P14460_191_S91 1
13 T5 P14460_194_S94 1
13 T6 P14460_101_S1 1
13 T6 P14460_103_S3 1
13 T6 P14460_106_S6 1
13 T6 P14460_108_S8 1
13 T2 P14460_112_S12 1
13 T2 P14460_113_S13 1
13 T2 P14460_114_S14 1
13 T2 P14460_115_S15 1
13 T2 P14460_116_S16 1
13 T2 P14460_118_S18 1
13 T2 P14460_119_S19 1
13 T2 P14460_122_S22 1
13 T2 P14460_123_S23 1
13 T2 P14460_124_S24 1
13 T2 P14460_125_S25 1
13 T2 P14460_126_S26 1
13 T2 P14460_129_S29 1
13 T2 P14460_131_S31 1
13 T2 P14460_132_S32 1
13 T2 P14460_136_S36 1
13 T2 P14460_137_S37 1
13 T2 P14460_139_S39 1
13 T2 P14460_140_S40 1
13 T2 P14460_141_S41 1
13 T2 P14460_144_S44 1
13 T2 P14460_149_S49 1
13 T2 P14460_151_S51 1
13 S25 P14460_155_S55 1
13 S25 P14460_159_S59 1
13 S25 P14460_160_S60 1
13 S25 P14460_162_S62 1
13 S25 P14460_163_S63 1
13 S25 P14460_167_S67 1
14 T3 P10853_102_S32 1
14 T3 P10853_103_S33 1
14 T3 P10853_105_S35 1
14 T3 P10853_111_S41 1
14 T3 P10853_112_S42 1
14 T3 P10853_114_S44 1
14 T3 P10853_115_S45 1
14 T3 P10853_119_S49 1
14 T3 P10853_120_S50 1
14 T3 P10853_121_S51 1
14 T3 P10853_122_S52 1
14 T3 P10853_123_S53 1
14 T3 P10853_125_S55 1
14 T3 P10853_128_S58 1
14 T3 P10853_129_S59 1
14 T3 P10853_130_S60 1
14 T4 P10853_133_S63 1
14 T4 P10853_134_S64 1
14 T4 P10853_137_S67 1
14 T4 P10853_138_S68 1
14 T4 P10853_140_S70 1
14 T4 P10853_141_S71 1
14 T4 P10853_148_S77 1
14 T4 P10853_149_S78 1
14 T4 P10853_150_S79 1
14 T4 P10853_154_S83 1
14 T4 P10853_155_S84 1
14 T4 P10853_159_S88 1
14 T4 P10853_161_S90 1
14 T5 P10853_165_S94 1
14 T5 P10853_167_S96 1
14 T5 P10853_170_S99 1
14 T5 P10853_172_S101 1
14 T5 P10853_173_S102 1
14 T5 P10853_174_S103 1
14 T5 P10853_177_S105 1
14 T5 P10853_178_S106 1
14 T5 P10853_180_S108 1
14 T5 P10853_181_S109 1
14 T5 P10853_185_S113 1
14 T5 P10853_187_S115 1
14 T5 P10853_188_S116 1
14 T5 P10853_189_S117 1
14 T5 P10853_191_S119 1
14 T5 P10853_192_S120 1
14 T5 P10853_194_S122 1
14 T5 P10853_195_S123 1
