LG	lodLimit=1	lodLimit=2	lodLimit=3	lodLimit=4	lodLimit=5	lodLimit=6	lodLimit=7	lodLimit=8	lodLimit=9	lodLimit=10	lodLimit=11	lodLimit=12	lodLimit=13	lodLimit=14	lodLimit=15	lodLimit=16	lodLimit=17	lodLimit=18	lodLimit=19	lodLimit=20	lodLimit=21	lodLimit=22	lodLimit=23	lodLimit=24	lodLimit=25	lodLimit=26	lodLimit=27	lodLimit=28	lodLimit=29	lodLimit=30
0	3839	4057	4302	4453	4544	4613	4757	5270	5725	5799	5965	6327	6394	6513	6597	6775	7099	7152	7235	7382	7440	7466	7527	7614	7691	7728	7760	7803	7835	7849
1	3950	3202	1107	942	735	458	333	228	227	224	203	159	157	152	139	118	115	108	89	59	59	59	57	40	40	31	25	21	17	17
2	10	199	375	216	211	256	191	169	139	130	129	102	101	100	95	87	70	70	65	59	59	57	51	35	29	28	17	16	10	8
3	7	154	284	200	193	208	187	163	127	119	109	98	98	96	90	82	60	58	48	37	33	30	30	25	14	14	14	14	7	7
4	6	88	205	193	190	191	176	155	120	119	106	97	94	75	72	67	50	48	43	31	30	30	22	15	13	10	10	7	7	7
5	6	11	193	162	184	190	167	145	120	115	105	71	71	69	68	64	44	44	36	29	22	22	15	14	11	9	9	6	6	6
6	6	10	162	153	157	180	149	129	108	107	85	69	69	69	66	60	31	30	23	21	16	16	15	14	9	8	7	6	6	5
7	5	7	155	152	153	153	147	128	100	99	78	62	62	61	60	53	30	30	21	19	16	16	14	13	8	7	7	5	5	5
8	5	6	153	151	150	151	143	118	89	88	73	60	57	54	48	42	27	24	20	17	15	15	14	13	8	7	6	4	5	5
9	5	6	143	146	150	150	141	112	87	83	73	56	56	52	45	39	26	23	18	15	14	14	14	10	8	7	6	4	5	4
10	5	6	129	143	141	142	137	111	83	80	72	56	53	50	43	38	20	19	17	15	14	14	13	10	7	6	5	4	4	4
11	3	6	126	126	126	139	125	108	82	78	70	55	50	49	40	36	20	19	15	12	11	11	11	9	6	5	5	4	4	4
12	3	6	106	121	125	126	125	100	79	77	67	54	48	43	37	36	19	15	15	12	11	10	10	8	6	5	4	4	4	4
13	3	5	102	105	119	125	122	99	78	74	64	50	47	43	37	33	18	14	14	11	11	10	9	7	5	4	4	4	4	3
14	3	5	79	104	104	116	115	94	77	68	63	48	44	42	37	29	17	14	13	11	11	9	8	7	5	4	4	3	4	3
15	3	5	74	102	99	103	106	86	76	66	62	46	43	37	36	27	16	13	13	11	10	8	7	6	5	4	4	3	3	3
16	3	5	64	99	95	98	105	81	70	66	55	43	40	36	33	27	14	13	11	10	8	8	7	6	4	4	3	3	3	2
17	3	4	10	79	89	95	100	80	66	65	54	43	36	33	30	23	13	13	11	9	8	8	6	5	4	4	3	3	3	2
18	3	4	7	69	79	88	95	80	66	60	52	38	35	33	27	21	13	13	10	8	8	7	6	5	4	3	3	3	2	2
19	3	4	6	62	62	69	88	78	57	57	50	36	33	27	23	20	11	10	9	8	8	7	6	5	4	3	3	3	2	2
20	3	4	6	10	55	62	88	56	54	51	43	34	29	25	20	19	11	10	8	8	7	7	6	4	4	3	3	2	2	2
21	2	4	6	9	8	54	63	55	45	45	41	30	26	24	20	15	10	9	8	8	6	6	6	4	3	3	3	2	2	2
22	2	3	6	7	7	10	60	51	34	29	39	26	25	21	20	14	9	9	8	7	6	6	5	4	3	3	3	2	2	2
23	2	3	5	6	7	8	39	37	28	24	25	24	24	20	19	13	9	8	7	7	6	6	5	4	3	3	3	2	2	2
24	2	3	5	6	7	7	10	10	10	10	19	22	22	15	16	9	8	7	7	7	6	5	4	4	3	3	3	2	2	2
25	2	3	5	6	6	6	8	10	10	10	14	16	16	15	15	9	7	7	7	6	5	5	4	4	3	3	2	2	2	2
26	2	3	5	5	6	6	7	8	8	10	11	14	13	11	14	8	7	7	6	6	5	5	4	4	3	3	2	2	2	2
27	2	3	4	5	6	6	7	7	7	8	10	11	11	10	10	8	7	6	5	5	5	4	4	3	3	2	2	2	2	2
28	2	3	4	5	5	6	6	7	7	7	10	10	10	9	9	7	7	5	5	5	5	4	4	3	3	2	2	2	2	2
29	2	3	4	5	5	5	6	6	7	7	9	9	9	9	7	7	7	5	5	5	4	4	4	3	3	2	2	2	2	
30	2	3	4	4	5	5	6	6	6	7	7	7	9	8	7	7	6	5	5	4	4	4	4	3	3	2	2	2	2	
31	2	3	3	4	4	5	5	5	6	7	7	7	7	7	7	7	5	5	5	4	4	4	4	3	3	2	2	2	2	
32	2	3	3	3	4	4	5	5	5	6	6	7	7	7	6	7	5	4	4	4	4	4	3	3	2	2	2	2		
33	2	3	3	3	4	4	5	5	5	6	6	6	7	7	6	6	5	4	4	4	4	3	3	3	2	2	2	2		
34	2	3	3	3	3	4	4	5	5	5	6	6	7	7	6	5	5	4	4	4	4	3	3	3	2	2	2	2		
35	2	3	3	3	3	4	4	4	5	5	5	6	6	5	5	5	5	4	4	4	4	3	3	3	2	2	2	2		
36	2	2	3	3	3	4	4	4	5	5	5	5	5	5	5	5	4	4	4	3	3	3	3	3	2	2	2	2		
37	2	2	3	3	3	3	4	4	4	5	5	5	5	4	5	5	4	4	4	3	3	3	3	3	2	2	2	2		
