"set" "map" "mkr" "span_10" "span_5"
"1" "ls_cat" 1 97 0.1 0.05
"3" "ls_cat" 2 134 0.07 0.04
"5" "ls_cat" 3 57 0.18 0.09
"7" "ls_cat" 4 52 0.19 0.1
"9" "ls_cat" 5 24 0.42 0.21
"11" "ls_cat" 6 56 0.18 0.09
"13" "ls_cat" 7 51 0.2 0.1
"15" "ls_cat" 8 49 0.2 0.1
"17" "ls_cat" 9 47 0.21 0.11
"19" "ls_cat" 10 46 0.22 0.11
"21" "ls_cat" 11 35 0.29 0.14
"23" "ls_cat" 12 54 0.19 0.09
"25" "ls_cat" 13 52 0.19 0.1
"27" "ls_cat" 14 49 0.2 0.1
"29" "ls_cat" 15 58 0.17 0.09
"31" "ls_cat" 16 56 0.18 0.09
"33" "ls_cat" 17 59 0.17 0.08
"35" "ls_cat" 18 59 0.17 0.08
"37" "ls_cat" 19 50 0.2 0.1
"39" "ls_cat" 20 49 0.2 0.1
"41" "ls_cat" 21 50 0.2 0.1
"43" "ls_cat" 22 43 0.23 0.12
"45" "ls_cat" 23 50 0.2 0.1
"47" "ls_cat" 24 36 0.28 0.14
"49" "ls_cat" 25 47 0.21 0.11
"51" "ls_cat" 26 33 0.3 0.15
"53" "ls_cat" 27 38 0.26 0.13
"55" "ls_cat" 28 36 0.28 0.14
"57" "ls_cat" 29 27 0.37 0.19
"59" "ls_cat" 30 44 0.23 0.11
"60" "ls_cat" 31 23 0.43 0.22
"61" "ls_cat" 32 40 0.25 0.12
"62" "ls_cat" 33 30 0.33 0.17
"63" "ls_cat" 34 27 0.37 0.19
"64" "ls_cat" 35 40 0.25 0.12
"65" "ls_cat" 36 27 0.37 0.19
"66" "ls_cat" 37 18 0.56 0.28
"67" "ls_cat" 38 30 0.33 0.17
"68" "ls_cat" 39 36 0.28 0.14
"69" "ls_cat" 40 33 0.3 0.15
"70" "ls_cat" 41 36 0.28 0.14
"71" "ls_cat" 42 27 0.37 0.19
"72" "ls_cat" 43 20 0.5 0.25
"73" "ls_cat" 44 30 0.33 0.17
"74" "ls_cat" 45 26 0.38 0.19
"75" "ls_cat" 46 24 0.42 0.21
"76" "ls_cat" 47 30 0.33 0.17
"77" "ls_cat" 48 26 0.38 0.19
"78" "ls_cat" 49 13 0.77 0.38
"79" "ls_cat" 50 30 0.33 0.17
"80" "ls_cat" 51 17 0.59 0.29
"81" "ls_cat" 52 39 0.26 0.13
"82" "ls_cat" 53 28 0.36 0.18
