"set" "map" "mkr" "span_10" "span_5"
"2" "ls_swe" 1 70 0.14 0.07
"4" "ls_swe" 2 111 0.09 0.05
"6" "ls_swe" 3 80 0.12 0.06
"8" "ls_swe" 4 77 0.13 0.06
"10" "ls_swe" 5 79 0.13 0.06
"12" "ls_swe" 6 61 0.16 0.08
"14" "ls_swe" 7 84 0.12 0.06
"16" "ls_swe" 8 72 0.14 0.07
"18" "ls_swe" 9 57 0.18 0.09
"20" "ls_swe" 10 88 0.11 0.06
"22" "ls_swe" 11 69 0.14 0.07
"24" "ls_swe" 12 81 0.12 0.06
"26" "ls_swe" 13 76 0.13 0.07
"28" "ls_swe" 14 59 0.17 0.08
"30" "ls_swe" 15 65 0.15 0.08
"32" "ls_swe" 16 45 0.22 0.11
"34" "ls_swe" 17 71 0.14 0.07
"36" "ls_swe" 18 37 0.27 0.14
"38" "ls_swe" 19 59 0.17 0.08
"40" "ls_swe" 20 56 0.18 0.09
"42" "ls_swe" 21 42 0.24 0.12
"44" "ls_swe" 22 44 0.23 0.11
"46" "ls_swe" 23 31 0.32 0.16
"48" "ls_swe" 24 51 0.2 0.1
"50" "ls_swe" 25 48 0.21 0.1
"52" "ls_swe" 26 52 0.19 0.1
"54" "ls_swe" 27 23 0.43 0.22
"56" "ls_swe" 28 28 0.36 0.18
"58" "ls_swe" 29 31 0.32 0.16
