"map" "intra_contr"
"1" 1 0.000822772413121985
"2" 2 0.000708583157634141
"3" 3 0.00040940507499984
"4" 4 0.000165281789949228
"5" 5 2.22305435636105e-05
"6" 6 0.000108239043152387
"7" 7 0.000102626255016225
"8" 8 8.60475629240575e-05
"9" 9 0.000105969276724768
"10" 10 9.72324767867929e-05
"11" 11 6.66024352399157e-05
"12" 12 8.30550121368233e-05
"13" 13 8.09289319190831e-05
"14" 14 8.73775791199234e-05
"15" 15 8.34145076082425e-05
"16" 16 6.97733868007124e-05
"17" 17 7.95058496500337e-05
"18" 18 7.42184533345312e-05
"19" 19 6.35086959931586e-05
"20" 20 7.52925173102208e-05
"21" 21 5.4484185581693e-05
"22" 22 5.51521010955402e-05
"23" 23 5.65215813934128e-05
"24" 24 4.30094210118414e-05
"25" 25 6.2133271760953e-05
"26" 26 4.65752257706783e-05
"27" 27 5.00630865354037e-05
"28" 28 3.69518874896992e-05
"29" 29 3.13323212927352e-05
"30" 30 3.2619095896476e-05
"31" 31 3.60254477916757e-05
"32" 32 4.21582170256163e-05
"33" 33 4.15649160299622e-05
"34" 34 3.09858460076948e-05
"35" 35 3.10180361748077e-05
"36" 36 2.28231872329236e-05
"37" 37 3.47388243728884e-05
"38" 38 3.03997799949463e-05
"39" 39 2.64287830466937e-05
"40" 40 2.55666440860372e-05
"41" 41 2.72903006963572e-05
"42" 42 2.137091011234e-05
"43" 43 2.31234762854831e-05
"44" 44 1.88875380726669e-05
"45" 45 1.92957530642315e-05
"46" 46 2.16167320456504e-05
"47" 47 1.96666810697134e-05
"48" 48 1.74469862299284e-05
"49" 49 6.10856868877873e-06
"50" 50 1.55581077736124e-05
"51" 51 3.95401200832986e-06
"52" 52 1.47472574457244e-05
"53" 53 1.0951801434622e-05
