anc_chr_unit		chromosome_pop.x	col_anc_vector	type.x
1		LS1	#855C75	Z
2		LS2	#AF6458	fu_anc_sin
3		LS2	#AF6458	fu_anc_sin
4		LS3	#D9AF6B	fi_spa
5		LS3	#736F4C	fu_swe
6		LS3	#736F4C	fu_swe
7		LS3	#526A83	BR/ILS_juv/spa
8		LS4	#D9AF6B	fi_spa
9		LS4	#D9AF6B	fi_spa
10		LS5	#526A83	BR/ILS_juv/spa
11		LS5	#526A83	BR/ILS_juv/spa
12		LS6	#855C75	Z
13		LS7	#D9AF6B	fi_spa
14		LS7	#D9AF6B	fi_spa
15		LS7	#D9AF6B	fi_spa
16		LS7	#AF6458	fu_anc_sin
17		LS8	#736F4C	fu_swe
18		LS8	#736F4C	fu_swe
19		LS9	#736F4C	fu_swe
20		LS9	#736F4C	fu_swe
21		LS10	#D9AF6B	fi_spa
22		LS10	#D9AF6B	fi_spa
23		LS11	#736F4C	fu_swe
24		LS11	#736F4C	fu_swe
25		LS11	#AF6458	fu_anc_sin
26		LS11	#625377	fu_spa
27		LS11	#D9AF6B	fi_spa
28		LS12	#736F4C	fu_swe
29		LS12	#736F4C	fu_swe
30		LS13	#736F4C	fu_swe
31		LS13	#736F4C	fu_swe
32		LS13	#AF6458	fu_anc_sin
33		LS14	#736F4C	fu_swe
34		LS14	#736F4C	fu_swe
35		LS15	#D9AF6B	fi_spa
36		LS15	#D9AF6B	fi_spa
37		LS16	#7C7C7C	unknown
38		LS16	#7C7C7C	unknown
39		LS17	#526A83	BR/ILS_juv/spa
40		LS17	#526A83	BR/ILS_juv/spa
41		LS18	#855C75	Z
42		LS19	#D9AF6B	fi_spa
43		LS19	#D9AF6B	fi_spa
44		LS20	#AF6458	fu_anc_sin
45		LS20	#AF6458	fu_anc_sin
46		LS20	#526A83	BR/ILS_juv/spa
47		LS21	#526A83	BR/ILS_juv/spa
48		LS21	#526A83	BR/ILS_juv/spa
49		LS22	#526A83	BR/ILS_juv/spa
50		LS22	#526A83	BR/ILS_juv/spa
51		LS23	#736F4C	fu_swe
52		LS23	#736F4C	fu_swe
53		LS24	#8C785D	hom
54		LS25	#526A83	BR/ILS_juv/spa
55		LS25	#526A83	BR/ILS_juv/spa
56		LS26	#526A83	BR/ILS_juv/spa
57		LS26	#526A83	BR/ILS_juv/spa
58		LS26	#625377	fu_spa
59		LS27	#8C785D	hom
60		LS28	#8C785D	hom
61		LS29	#8C785D	hom
1		LC1	#855C75	Z
2		LC2	#AF6458	fu_anc_sin
3		LC2	#AF6458	fu_anc_sin
4		LC50	#D9AF6B	fi_spa
5		LC46	#736F4C	fu_swe
6		LC37	#736F4C	fu_swe
7		LC39	#526A83	BR/ILS_juv/spa
8		LC18	#D9AF6B	fi_spa
9		LC6	#D9AF6B	fi_spa
10		LC12	#526A83	BR/ILS_juv/spa
11		LC7	#526A83	BR/ILS_juv/spa
12		LC3	#855C75	Z
13		LC43	#D9AF6B	fi_spa
14		LC47	#D9AF6B	fi_spa
15		LC21	#D9AF6B	fi_spa
16		LC21	#AF6458	fu_anc_sin
17		LC17	#736F4C	fu_swe
18		LC19	#736F4C	fu_swe
19		LC10	#736F4C	fu_swe
20		LC23	#736F4C	fu_swe
21		LC27	#D9AF6B	fi_spa
22		LC9	#D9AF6B	fi_spa
23		LC29	#736F4C	fu_swe
24		LC25	#736F4C	fu_swe
25		LC25	#AF6458	fu_anc_sin
26		LC51	#625377	fu_spa
27		LC5	#D9AF6B	fi_spa
28		LC28	#736F4C	fu_swe
29		LC16	#736F4C	fu_swe
30		LC30	#736F4C	fu_swe
31		LC14	#736F4C	fu_swe
32		LC14	#AF6458	fu_anc_sin
33		LC40	#736F4C	fu_swe
34		LC13	#736F4C	fu_swe
35		LC42	#D9AF6B	fi_spa
36		LC15	#D9AF6B	fi_spa
37		LC31	#7C7C7C	unknown
38		LC24	#7C7C7C	unknown
39		LC32	#526A83	BR/ILS_juv/spa
40		LC26	#526A83	BR/ILS_juv/spa
41		LC4	#855C75	Z
42		LC34	#D9AF6B	fi_spa
43		LC38	#D9AF6B	fi_spa
44		LC36	#AF6458	fu_anc_sin
45		LC36	#AF6458	fu_anc_sin
46		LC41	#526A83	BR/ILS_juv/spa
47		LC35	#526A83	BR/ILS_juv/spa
48		LC44	#526A83	BR/ILS_juv/spa
49		LC49	#526A83	BR/ILS_juv/spa
50		LC33	#526A83	BR/ILS_juv/spa
51		LC5	#736F4C	fu_swe
52		LC45	#736F4C	fu_swe
53		LC8	#8C785D	hom
54		LC52	#526A83	BR/ILS_juv/spa
55		LC48	#526A83	BR/ILS_juv/spa
56		LC25	#526A83	BR/ILS_juv/spa
57		LC25	#526A83	BR/ILS_juv/spa
58		LC51	#625377	fu_spa
59		LC11	#8C785D	hom
60		LC20	#8C785D	hom
61		LC22	#8C785D	hom
