map set chr_type chr_length_assembly intra_reshuff intra_contr
1 ls_cat Z 34043171 0.248769232156598 0.000822772413121985
2 ls_cat Autosome 32763382 0.231307828208673 0.000708583157634141
3 ls_cat Z 26201839 0.20896167022492 0.00040940507499984
4 ls_cat Z 17858888 0.18159050511809 0.000165281789949228
5 ls_cat Autosome 14857515 0.153855559867358 9.6923389454358e-05
6 ls_cat Autosome 14789772 0.173395548167661 0.000108239043152387
7 ls_cat Autosome 14168601 0.179135432633557 0.000102626255016225
8 ls_cat Autosome 14171155 0.150142981104049 8.60475629240575e-05
9 ls_cat Autosome 13621015 0.200141884296488 0.000105969276724768
10 ls_cat Autosome 13041722 0.200317286307286 9.72324767867929e-05
11 ls_cat Autosome 12904538 0.140146463719073 6.66024352399157e-05
12 ls_cat Autosome 12846550 0.176347691739078 8.30550121368233e-05
13 ls_cat Autosome 12716052 0.175378428736762 8.09289319190831e-05
14 ls_cat Autosome 12659735 0.191041506723892 8.73775791199234e-05
15 ls_cat Autosome 12572064 0.184929153044217 8.34145076082425e-05
16 ls_cat Autosome 12463469 0.157394258175284 6.97733868007124e-05
17 ls_cat Autosome 12417530 0.180678136986922 7.95058496500337e-05
18 ls_cat Autosome 12373252 0.169871741853916 7.42184533345312e-05
19 ls_cat Autosome 12203911 0.149421154799231 6.35086959931586e-05
20 ls_cat Autosome 11863123 0.187469537248507 7.52925173102208e-05
21 ls_cat Autosome 11043877 0.156532419411243 5.4484185581693e-05
22 ls_cat Autosome 10971242 0.160556328816537 5.51521010955402e-05
23 ls_cat Autosome 10889337 0.16702765503641 5.65215813934128e-05
24 ls_cat Autosome 10731864 0.13085497289904 4.30094210118414e-05
25 ls_cat Autosome 10694127 0.190375257936872 6.2133271760953e-05
26 ls_cat Autosome 10371112 0.151733430450243 4.65752257706783e-05
27 ls_cat Autosome 10056752 0.173451914207036 5.00630865354037e-05
28 ls_cat Autosome 9433975 0.14548698415876 3.69518874896992e-05
29 ls_cat Autosome 9366115 0.12515567765799 3.13323212927352e-05
30 ls_cat Autosome 9109249 0.137747501044865 3.2619095896476e-05
31 ls_cat Autosome 9029877 0.154818435698924 3.60254477916757e-05
32 ls_cat Autosome 8993086 0.182659261998741 4.21582170256163e-05
33 ls_cat Autosome 8858058 0.185620878945758 4.15649160299622e-05
34 ls_cat Autosome 8852937 0.138536932554111 3.09858460076948e-05
35 ls_cat Autosome 8510491 0.150065901347828 3.10180361748077e-05
36 ls_cat Autosome 8226895 0.118162954320176 2.28231872329236e-05
37 ls_cat Autosome 8175631 0.182116590086556 3.47388243728884e-05
38 ls_cat Autosome 8072367 0.163472837292277 3.03997799949463e-05
39 ls_cat Autosome 8031547 0.143567359219348 2.64287830466937e-05
40 ls_cat Autosome 7918917 0.142862781041001 2.55666440860372e-05
41 ls_cat Autosome 7717807 0.160545245875036 2.72903006963572e-05
42 ls_cat Autosome 7657949 0.127695335853126 2.137091011234e-05
43 ls_cat Autosome 7592934 0.140543521581971 2.31234762854831e-05
44 ls_cat Autosome 7462649 0.118840994785929 1.88875380726669e-05
45 ls_cat Autosome 7189000 0.130828307165616 1.92957530642315e-05
46 ls_cat Autosome 7071330 0.151483309800077 2.16167320456504e-05
47 ls_cat Autosome 6810500 0.148576470390543 1.96666810697134e-05
48 ls_cat Autosome 6777714 0.133085547931028 1.74469862299284e-05
49 ls_cat Autosome 6622542 0.0488052987694517 6.10856868877873e-06
50 ls_cat Autosome 6563399 0.126554070672958 1.55581077736124e-05
51 ls_cat Autosome 6505794 0.0327351492378852 3.95401200832986e-06
52 ls_cat Autosome 6108349 0.138497053335853 1.47472574457244e-05
1 ls_swe Z 34455698 0.244211144346871 0.000808076223196671
2 ls_swe Autosome 32844224 0.233483653677719 0.000702003434165048
3 ls_swe Autosome 30544165 0.219737936917009 0.000571381667391219
4 ls_swe Autosome 27422032 0.201129415516843 0.000421540788247308
5 ls_swe Autosome 27208799 0.219633133298873 0.000453191073729736
6 ls_swe Z 26593402 0.238389727293831 0.00046989419435688
7 ls_swe Autosome 25418471 0.230181301330259 0.000414508682421604
8 ls_swe Autosome 25271786 0.210969384010728 0.000375539869162993
9 ls_swe Autosome 24821562 0.207258794395318 0.000355906507081483
10 ls_swe Autosome 23696351 0.209752319196827 0.000328272471533681
11 ls_swe Autosome 22599691 0.18401372016656 0.000261950935016544
12 ls_swe Autosome 22309355 0.207042839573076 0.000287209624432249
13 ls_swe Autosome 21837515 0.221671370223857 0.000294632590041647
14 ls_swe Autosome 21002338 0.196914837719155 0.000242090905033252
15 ls_swe Autosome 20771620 0.196795778121892 0.000236658038290843
16 ls_swe Autosome 20354528 0.19404881907563 0.000224077278529204
17 ls_swe Autosome 19406976 0.16814385652284 0.000176506818446762
18 ls_swe Z 17773115 0.187367281920953 0.000164962642079059
19 ls_swe Autosome 16601477 0.192948949626227 0.000148217887792027
20 ls_swe Autosome 16307044 0.185142498848627 0.000137221244024818
21 ls_swe Autosome 16244046 0.167397549333432 0.000123112531669821
22 ls_swe Autosome 15785361 0.156655966631638 0.000108797952557209
23 ls_swe Autosome 14824030 0.194014068906628 0.000118831215497821
24 ls_swe Autosome 13684430 0.204308656328183 0.000106636268006235
25 ls_swe Autosome 13471441 0.131789083699742 6.6661071532821e-05
26 ls_swe Autosome 12537843 0.187221831344362 8.20289001856033e-05
27 ls_swe Autosome 12376488 0.142881291375635 6.10007201400124e-05
28 ls_swe Autosome 11658327 0.178469856177437 6.7608621938559e-05
29 ls_swe Autosome 11165203 0.147475133190246 5.12409047523616e-05
