pop chrom chr_nr chr_length_assembly chr_type pop_mean_rr map_length
LSSPA HiC_scaffold_1 1 34043171 Z 2.86065026812091 89.602
LSSPA HiC_scaffold_10 10 13041722 Autosome 4.68601658644311 55.395
LSSPA HiC_scaffold_11 11 12904538 Autosome 2.93458483113656 33.856
LSSPA HiC_scaffold_12 12 12846550 Autosome 4.10486963246147 52.031
LSSPA HiC_scaffold_13 13 12716052 Autosome 3.8226914262802 47.602
LSSPA HiC_scaffold_14 14 12659735 Autosome 4.58539875248642 55.194
LSSPA HiC_scaffold_15 15 12572064 Autosome 4.7363129533415 54.708
LSSPA HiC_scaffold_16 16 12463469 Autosome 3.55797001845736 42.322
LSSPA HiC_scaffold_17 17 12417530 Autosome 4.39351242023291 50.118
LSSPA HiC_scaffold_18 18 12373252 Autosome 4.24598507109038 44.889
LSSPA HiC_scaffold_19 19 12203911 Autosome 4.42969523636517 49.989
LSSPA HiC_scaffold_2 2 32763382 Autosome 2.42123458355977 79.108
LSSPA HiC_scaffold_20 20 11863123 Autosome 4.94851049598099 54.524
LSSPA HiC_scaffold_21 21 11043877 Autosome 4.250151065072 46.204
LSSPA HiC_scaffold_22 22 10971242 Autosome 5.86858843278722 51.544
LSSPA HiC_scaffold_23 23 10889337 Autosome 4.83653376121601 41.268
LSSPA HiC_scaffold_24 24 10731864 Autosome 4.10934112708621 36.194
LSSPA HiC_scaffold_25 25 10694127 Autosome 5.76593430131127 56.046
LSSPA HiC_scaffold_26 26 10371112 Autosome 4.03894754311724 38.89
LSSPA HiC_scaffold_27 27 10056752 Autosome 5.05359936585131 44.525
LSSPA HiC_scaffold_28 28 9433975 Autosome 4.51276926911871 41.675
LSSPA HiC_scaffold_29 29 9366115 Autosome 4.15911534944172 33.095
LSSPA HiC_scaffold_3 3 26201839 Z 2.64501391112871 60.992
LSSPA HiC_scaffold_30 30 9109249 Autosome 3.92705499954074 34.032
LSSPA HiC_scaffold_31 31 9029877 Autosome 5.50432053756234 46.328
LSSPA HiC_scaffold_32 32 8993086 Autosome 6.16942681913784 52.359
LSSPA HiC_scaffold_33 33 8858058 Autosome 7.01672121964077 52.883
LSSPA HiC_scaffold_34 34 8852937 Autosome 5.08490044440188 37.275
LSSPA HiC_scaffold_35 35 8510491 Autosome 4.31721500516663 35.705
LSSPA HiC_scaffold_36 36 8226895 Autosome 3.70075465906542 28.212
LSSPA HiC_scaffold_37 37 8175631 Autosome 6.12641952696812 46.374
LSSPA HiC_scaffold_38 38 8072367 Autosome 7.00698290392487 47.724
LSSPA HiC_scaffold_39 39 8031547 Autosome 5.55885228323207 39.7
LSSPA HiC_scaffold_4 4 17858888 Z 3.16799033109823 52.822
LSSPA HiC_scaffold_40 40 7918917 Autosome 5.00244938879205 35.128
LSSPA HiC_scaffold_41 41 7717807 Autosome 6.26610908994487 43.009
LSSPA HiC_scaffold_42 42 7657949 Autosome 5.23347660345739 34.046
LSSPA HiC_scaffold_43 43 7592934 Autosome 5.87286711502629 39.824
LSSPA HiC_scaffold_44 44 7462649 Autosome 4.03793531404247 29.035
LSSPA HiC_scaffold_45 45 7189000 Autosome 5.19797199236252 34.043
LSSPA HiC_scaffold_46 46 7071330 Autosome 5.96709548946843 38.182
LSSPA HiC_scaffold_47 47 6810500 Autosome 5.70466536318173 35.677
LSSPA HiC_scaffold_48 48 6777714 Autosome 7.4261635477026 40.215
LSSPA HiC_scaffold_49 49 6622542 Autosome 2.37968123803219 13.372
LSSPA HiC_scaffold_5 5 14857515 Autosome 4.05080011654359 57.837
LSSPA HiC_scaffold_50 50 6563399 Autosome 4.76575539734034 29.798
LSSPA HiC_scaffold_51 51 6505794 Autosome 1.95286540532017 10.094
LSSPA HiC_scaffold_52 52 6108349 Autosome 6.20100144923763 35.728
LSSPA HiC_scaffold_6 6 14789772 Autosome 3.20503373182156 46.756
LSSPA HiC_scaffold_7 7 14168601 Autosome 3.38388276434286 46.942
LSSPA HiC_scaffold_8 8 14171155 Autosome 3.49161695190191 43.984
LSSPA HiC_scaffold_9 9 13621015 Autosome 4.44744529129077 53.295
LSSWE HiC_scaffold_1 1 34455698 Z 2.92264770356623 83.856
LSSWE HiC_scaffold_10 10 23696351 Autosome 2.96382683960798 69.176
LSSWE HiC_scaffold_11 11 22599691 Autosome 2.54063584717634 55.596
LSSWE HiC_scaffold_12 12 22309355 Autosome 3.09633295277733 67.236
LSSWE HiC_scaffold_13 13 21837515 Autosome 3.40610830718183 69.45
LSSWE HiC_scaffold_14 14 21002338 Autosome 2.84031790551106 56.889
LSSWE HiC_scaffold_15 15 20771620 Autosome 3.02235424060977 57.956
LSSWE HiC_scaffold_16 16 20354528 Autosome 3.09380189978846 59.775
LSSWE HiC_scaffold_17 17 19406976 Autosome 2.32061102154869 44.058
LSSWE HiC_scaffold_18 18 17773115 Z 3.19961357447757 52.449
LSSWE HiC_scaffold_19 19 16601477 Autosome 3.37632411118832 54.271
LSSWE HiC_scaffold_2 2 32844224 Autosome 2.30344672730989 74.128
LSSWE HiC_scaffold_20 20 16307044 Autosome 3.303288849392 51.816
LSSWE HiC_scaffold_21 21 16244046 Autosome 3.40088555516028 42.302
LSSWE HiC_scaffold_22 22 15785361 Autosome 3.47081551902793 49.818
LSSWE HiC_scaffold_23 23 14824030 Autosome 4.10325422315102 57.341
