map set loess loess_sd map_length sc chr_length chr_start rate markers marker_density chr_type
1 1 ls_cat 3.24755319148936 1.55545774210128 89.602 HiC_scaffold_1 34.043171 0 2.63201098393566 96 2.81994882321626 Z
2 2 ls_cat 2.47357142857143 1.24499475615648 79.108 HiC_scaffold_2 32.763382 34043171 2.414524849724 128 3.90680058609334 Autosome
3 3 ls_cat 3.10921568627451 1.63268593812436 60.992 HiC_scaffold_3 26.201839 66806553 2.32777554277774 53 2.02275878422121 Z
4 4 ls_cat 3.65836734693878 1.78821762627247 52.822 HiC_scaffold_4 17.858888 93008392 2.9577429456974 51 2.85572091610631 Z
5 5 ls_cat 6.46947368421053 4.58036324819114 29.589 HiC_scaffold_5 8.079652 110867280 3.66216267730343 21 2.59912184336652 Autosome
6 6 ls_cat 3.55288461538462 2.35302670046305 46.756 HiC_scaffold_6 14.789772 118946932 3.16137395491966 54 3.65117190447561 Autosome
7 7 ls_cat 4.18925 2.38643644588671 46.942 HiC_scaffold_7 14.168601 133736704 3.31310056652735 42 2.9643011331888 Autosome
8 8 ls_cat 3.81369565217391 2.71172053517127 43.984 HiC_scaffold_8 14.171155 147905305 3.10376959393924 48 3.38716216144697 Autosome
9 9 ls_cat 6.45487804878049 4.70166094159884 53.295 HiC_scaffold_9 13.621015 162076460 3.9127040092093 43 3.15688661968289 Autosome
10 10 ls_cat 6.08581395348837 4.3134193885716 55.395 HiC_scaffold_10 13.041722 175697475 4.2475219146674 45 3.45046459355597 Autosome
11 11 ls_cat 3.7625 3.66767219838942 33.856 HiC_scaffold_11 12.904538 188739197 2.62357319572386 34 2.63473206092306 Autosome
12 12 ls_cat 3.75557692307692 2.54179295485281 52.031 HiC_scaffold_12 12.84655 201643735 4.05019246412461 54 4.2034631866143 Autosome
13 13 ls_cat 5.28630434782609 2.84156401276609 47.602 HiC_scaffold_13 12.716052 214490285 3.74345748192914 48 3.77475650461322 Autosome
14 14 ls_cat 5.15282608695652 2.59826836612684 55.194 HiC_scaffold_14 12.659735 227206337 4.3598068995915 48 3.79154855927079 Autosome
15 15 ls_cat 5.17553571428571 3.89275547168553 54.708 HiC_scaffold_15 12.572064 239866072 4.35155277605968 58 4.61340317707578 Autosome
16 16 ls_cat 4.24924528301887 3.06013627716693 42.322 HiC_scaffold_16 12.463469 252438136 3.39568381804456 55 4.41289660206159 Autosome
17 17 ls_cat 4.83631578947368 3.10307602663352 50.118 HiC_scaffold_17 12.41753 264901605 4.03606836464257 59 4.75134749020135 Autosome
18 18 ls_cat 4.53771929824561 1.99480398029468 44.889 HiC_scaffold_18 12.373252 277319135 3.62790639033295 59 4.76835030919923 Autosome
19 19 ls_cat 4.79553191489362 2.39991830341987 49.989 HiC_scaffold_19 12.203911 289692387 4.09614589945797 49 4.01510630485588 Autosome
20 20 ls_cat 5.20866666666667 3.0674697894341 54.524 HiC_scaffold_20 11.863123 301896298 4.59609160252321 47 3.96185726136364 Autosome
21 21 ls_cat 4.374375 1.95892057363993 46.204 HiC_scaffold_21 11.043877 313759421 4.18367571460638 50 4.52739558761837 Autosome
22 22 ls_cat 6.57780487804878 4.66831849395214 51.544 HiC_scaffold_22 10.971242 324803298 4.69810072551494 43 3.91933748248375 Autosome
23 23 ls_cat 8.0080487804878 4.57173064577967 41.268 HiC_scaffold_23 10.889337 335774540 3.78976240702258 43 3.94881708592543 Autosome
24 24 ls_cat 5.49264705882353 3.25389306116165 36.194 HiC_scaffold_24 10.731864 346663877 3.37257348769981 36 3.35449647889686 Autosome
25 25 ls_cat 6.92622222222222 4.33539464958806 56.046 HiC_scaffold_25 10.694127 357395741 5.24082049895237 47 4.39493565019379 Autosome
26 26 ls_cat 5.46321428571429 3.16772970878775 38.89 HiC_scaffold_26 10.371112 368089868 3.74983897580124 30 2.89265027703876 Autosome
27 27 ls_cat 8.05 7.66911001908621 44.525 HiC_scaffold_27 10.056752 378460980 4.42737376838963 36 3.57968457410504 Autosome
28 28 ls_cat 4.60470588235294 3.97707006155408 41.675 HiC_scaffold_28 9.433975 388517732 4.41754403631555 36 3.81599484840695 Autosome
29 29 ls_cat 4.1504347826087 3.89766885838757 33.095 HiC_scaffold_29 9.366115 397951707 3.53348213213269 25 2.66919635302364 Autosome
30 30 ls_cat 4.11769230769231 3.39391519102741 34.032 HiC_scaffold_30 9.109249 407317822 3.73598306512425 41 4.50091988922468 Autosome
31 31 ls_cat 5.43142857142857 4.31710347543146 46.328 HiC_scaffold_31 9.029877 416427071 5.1305239262949 16 1.77189567476943 Autosome
32 32 ls_cat 7.07368421052632 4.47532418940623 52.359 HiC_scaffold_32 8.993086 425456948 5.82213936350659 40 4.44786139040592 Autosome
33 33 ls_cat 6.69 3.68036519927031 52.883 HiC_scaffold_33 8.858058 434450034 5.97004444992345 28 3.16096372365139 Autosome
34 34 ls_cat 5.87695652173913 6.76555744849845 37.275 HiC_scaffold_34 8.852937 443308092 4.21046710261239 25 2.82392159799624 Autosome
35 35 ls_cat 6.89636363636364 4.22711546017333 35.705 HiC_scaffold_35 8.510491 452161029 4.19541011206051 35 4.11257117832567 Autosome
36 36 ls_cat 5.33954545454545 5.14022463588502 28.212 HiC_scaffold_36 8.226895 460671520 3.42924031484539 24 2.91726100795014 Autosome
37 37 ls_cat 9.21846153846154 9.48290465887066 46.374 HiC_scaffold_37 8.175631 468898415 5.67222273118735 15 1.83472076956506 Autosome
38 38 ls_cat 7.89037037037037 5.05973051994599 47.724 HiC_scaffold_38 8.072367 477074046 5.9120206006491 29 3.59250266991082 Autosome
39 39 ls_cat 6.08161290322581 2.46059355545797 39.7 HiC_scaffold_39 8.031547 485146413 4.94300786635501 33 4.10879747077369 Autosome
40 40 ls_cat 5.34923076923077 2.98153507184058 35.128 HiC_scaffold_40 7.918917 493177960 4.43596011929409 28 3.53583703428133 Autosome
41 41 ls_cat 7.0751724137931 5.39159439755841 43.009 HiC_scaffold_41 7.717807 501096877 5.57269701095143 31 4.01668505055905 Autosome
42 42 ls_cat 9.53 6.41583754692803 34.046 HiC_scaffold_42 7.657949 508814684 4.44583791299733 24 3.13399841132397 Autosome
43 43 ls_cat 8.73733333333333 5.71195796636528 39.824 HiC_scaffold_43 7.592934 516472633 5.24487635477932 17 2.23892371512778 Autosome
44 44 ls_cat 4.2272 2.59602343338165 29.035 HiC_scaffold_44 7.462649 524065567 3.89070958583206 27 3.61801821310368 Autosome
