pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
swe	HiC_scaffold_17	1	18282	0.0100286104492937	1458	2012	200626	327236
swe	HiC_scaffold_17	24080	54397	0.0041302374273119	3394	2020	489076	529128
swe	HiC_scaffold_17	62707	149079	0.0070924068702285	22621	26323	3711434	1208676
swe	HiC_scaffold_17	170002	236449	0.0053853785613998	21158	18043	3350368	888404
swe	HiC_scaffold_17	237543	251786	0.0067873360210377	2279	2692	396621	231726
swe	HiC_scaffold_17	260349	411628	0.008574041502011	41067	56093	6542189	2118314
swe	HiC_scaffold_17	414871	435763	0.0058968003408364	12177	11474	1945801	174370
swe	HiC_scaffold_17	441410	466274	0.0056331786940798	7379	7424	1317906	326268
swe	HiC_scaffold_17	472399	487724	0.0075650519638627	4020	5257	694906	207252
swe	HiC_scaffold_17	509799	529930	0.0109538297579757	5518	10196	930816	279128
swe	HiC_scaffold_17	544060	544295	0.0062479900767216	128	136	21767	2238
swe	HiC_scaffold_17	550218	552107	0.0101669393016932	1238	1877	184618	8168
swe	HiC_scaffold_17	577534	577572	0.0040783034257748	39	15	3678	232
swe	HiC_scaffold_17	578702	592161	0.0069530093994698	3739	4121	592693	182354
swe	HiC_scaffold_17	614265	617447	0.0058866992090504	1412	1458	247677	35086
swe	HiC_scaffold_17	629941	630525	0.0006060606060606	165	19	31350	8040
swe	HiC_scaffold_17	642892	643263	0.0103406419495106	361	673	65083	198
swe	HiC_scaffold_17	646768	654881	0.0031959328830226	2357	1339	418970	109000
swe	HiC_scaffold_17	659989	696191	0.0064376048965228	5870	5159	801385	603182
swe	HiC_scaffold_17	702286	705275	0.0098753164235614	1866	2723	275738	23808
swe	HiC_scaffold_17	734792	736430	0.0180349223087181	359	1163	64486	24028
swe	HiC_scaffold_17	740140	900998	0.0074284948104965	43092	51857	6980822	2254880
swe	HiC_scaffold_17	901350	957637	0.0094290154460356	10934	16849	1786931	867606
swe	HiC_scaffold_17	958369	1019695	0.0068150007708452	18464	22456	3295084	808196
swe	HiC_scaffold_17	1031511	1040456	0.0046315609323021	4671	3897	841401	76194
swe	HiC_scaffold_17	1051276	1110755	0.0086977033124701	9157	13385	1538912	981984
swe	HiC_scaffold_17	1134092	1202736	0.0087706708798121	27857	43389	4947056	718992
swe	HiC_scaffold_17	1206854	1248766	0.005071823467303	16769	15136	2984331	457562
swe	HiC_scaffold_17	1281848	1369753	0.0077987252769042	39291	53175	6818422	892116
swe	HiC_scaffold_17	1370132	1464925	0.0081494294552951	35047	48140	5907162	1107540
swe	HiC_scaffold_17	1491227	1492876	0.0046805108206168	1454	1241	265142	2004
swe	HiC_scaffold_17	1505455	1519814	0.0029349666127426	2152	1094	372747	241382
swe	HiC_scaffold_17	1543989	1564596	0.0102473592885481	2130	3443	335989	365506
swe	HiC_scaffold_17	1581307	1617458	0.010542665320723	4325	4188	397243	646638
swe	HiC_scaffold_17	1625118	1628365	0.00872177869345	1092	1524	174735	41274
swe	HiC_scaffold_17	1656146	1675030	0.0073388868617388	7440	9453	1288070	204088
swe	HiC_scaffold_17	1687748	1691368	0.0060064851066765	1323	1393	231916	39748
swe	HiC_scaffold_17	1703984	1722778	0.0085935486113323	8962	11868	1381036	195588
swe	HiC_scaffold_17	1725837	1726568	0.008165342120566	251	337	41272	8036
swe	HiC_scaffold_17	1732606	1787187	0.0084365972315479	18151	26009	3082878	678268
swe	HiC_scaffold_17	1794748	1831266	0.0110475255550721	11241	20797	1882503	464166
swe	HiC_scaffold_17	1831762	1897475	0.0103677158866656	26268	46973	4530699	690102
swe	HiC_scaffold_17	1918634	1958305	0.0097362573399262	15955	26964	2769442	427052
swe	HiC_scaffold_17	1980838	2023466	0.0079533309477303	10015	13380	1682314	616516
swe	HiC_scaffold_17	2034002	2066944	0.004186278431351	1002	764	182501	636230
swe	HiC_scaffold_17	2082378	2181786	0.0072190065940284	33356	38984	5400189	1268342
swe	HiC_scaffold_17	2183062	2489236	0.0110481068982561	88755	160596	14536065	4024642
swe	HiC_scaffold_17	2498025	2580684	0.0093414890383782	24707	39035	4178670	1058320
swe	HiC_scaffold_17	2582215	2582447	NA	0	0	0	4660
swe	HiC_scaffold_17	2611192	2665801	0.0118173785948436	16471	32996	2792159	695438
swe	HiC_scaffold_17	2688117	2692039	0.006627519169921	1590	465	70162	62784
swe	HiC_scaffold_17	2692469	2694302	0.0	253	0	17207	31934
swe	HiC_scaffold_17	2716333	2723658	0.0113837286287338	3258	2923	256770	96396
swe	HiC_scaffold_17	2729861	2768282	0.0086291092763273	16534	24712	2863795	396082
swe	HiC_scaffold_17	2771833	2775707	0.0141235273116744	777	1978	140050	57936
swe	HiC_scaffold_17	2847988	2858633	0.0093500878259694	3270	5190	555075	128638
swe	HiC_scaffold_17	2878670	2880755	0.0037282370849586	1051	627	168176	17952
swe	HiC_scaffold_17	2886168	2892030	0.0096603250054015	2310	3398	351748	69328
swe	HiC_scaffold_17	2898522	2909628	0.0124656865957462	1678	3424	274674	180580
swe	HiC_scaffold_17	2923318	2928238	0.0068241325517307	2462	2979	436539	47370
swe	HiC_scaffold_17	2949261	2966220	0.0082095296769286	8492	12446	1516043	142038
swe	HiC_scaffold_17	2993705	2994179	0.0070937413140944	440	587	82749	46
swe	HiC_scaffold_17	2998250	3010523	0.0046696800374464	5660	4619	989147	118234
swe	HiC_scaffold_17	3021262	3097079	0.0101972393073419	14333	24499	2402513	1194910
swe	HiC_scaffold_17	3126035	3135108	0.0115176216734596	3304	6005	521375	105754
swe	HiC_scaffold_17	3143598	3148790	0.0080395540581258	938	1174	146028	80332
swe	HiC_scaffold_17	3176882	3204281	0.0083181609768475	6443	9343	1123205	391382
swe	HiC_scaffold_17	3216878	3223814	0.0086532919323949	1584	2327	268915	86818
swe	HiC_scaffold_17	3232330	3260435	0.0097438385647992	4901	7832	803790	440424
swe	HiC_scaffold_17	3269560	3308077	0.0086644357512057	10917	15442	1782228	501692
swe	HiC_scaffold_17	3318042	3318857	0.0113303552939088	183	383	33803	11874
swe	HiC_scaffold_17	3321318	3337907	0.0067651887272887	6913	8316	1229234	173260
swe	HiC_scaffold_17	3343752	3351676	0.0120123347194318	1193	2571	214030	131176
swe	HiC_scaffold_17	3365979	3377311	0.0069300089849923	5568	7011	1011687	98782
swe	HiC_scaffold_17	3385774	3386347	0.0043983443873734	551	441	100265	242
swe	HiC_scaffold_17	3400476	3411124	0.0100132534573593	6577	11839	1182333	67586
swe	HiC_scaffold_17	3417895	3419927	0.0058184299010769	575	597	102605	25930
swe	HiC_scaffold_17	3429217	3521399	0.0098324714735468	19160	30972	3149971	1347866
swe	HiC_scaffold_17	3530092	3544205	0.0069919406026674	5660	7061	1009877	148438
swe	HiC_scaffold_17	3551731	3553752	0.0076924139264456	948	1114	144818	18292
swe	HiC_scaffold_17	3554735	3554883	0.001711229946524	149	24	14025	874
swe	HiC_scaffold_17	3555616	3559652	0.0099080619757518	678	1082	109204	63860
swe	HiC_scaffold_17	3589553	3625305	0.0079768983717127	9076	12508	1568028	482416
swe	HiC_scaffold_17	3629424	3630280	0.0111253668910487	635	1266	113794	3856
swe	HiC_scaffold_17	3639960	3673272	0.006382620205907	8783	9962	1560801	454198
swe	HiC_scaffold_17	3691129	3696613	0.0099978042124267	3357	5737	573826	38232
swe	HiC_scaffold_17	3703157	3707224	0.0115478204721961	1881	3863	334522	33884
swe	HiC_scaffold_17	3707967	3715125	0.0136525259846542	1949	4596	336641	98238
swe	HiC_scaffold_17	3715354	3716411	0.0110740550709765	969	1813	163716	1132
swe	HiC_scaffold_17	3717872	3724772	0.0120179261291423	2470	5248	436681	77734
swe	HiC_scaffold_17	3738041	3760773	0.0093946580790501	9054	10826	1152357	282698
swe	HiC_scaffold_17	3761317	3788363	0.0074496549137627	6564	8144	1093205	380058
