pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
swe	HiC_scaffold_5	13632	63631	0.0076615658584059	276	370	48293	945130
swe	HiC_scaffold_5	63632	113631	0.0277825711820534	83	161	5795	953594
swe	HiC_scaffold_5	113632	163631	0.0072735287635001	245	330	45370	964584
swe	HiC_scaffold_5	163632	213631	NA	0	0	0	960940
swe	HiC_scaffold_5	213632	263631	0.0	11	0	1188	950120
swe	HiC_scaffold_5	263632	313631	NA	0	0	0	976200
swe	HiC_scaffold_5	313632	363631	NA	0	0	0	968060
swe	HiC_scaffold_5	363632	413631	0.0071655554863231	87	115	16049	961566
swe	HiC_scaffold_5	413632	463631	NA	0	0	0	953640
swe	HiC_scaffold_5	463632	513631	0.0029902319090969	500	225	75245	946050
swe	HiC_scaffold_5	513632	563631	0.0103915904349221	148	259	24924	935936
swe	HiC_scaffold_5	563632	613631	0.0020313734341496	115	36	17722	936600
swe	HiC_scaffold_5	613632	663631	0.0083554880364603	169	242	28963	950974
swe	HiC_scaffold_5	663632	713631	0.0048602131359522	397	327	67281	949834
swe	HiC_scaffold_5	713632	763631	0.0052134445534838	414	340	65216	946500
swe	HiC_scaffold_5	763632	813631	0.0042369361136495	69	51	12037	952878
swe	HiC_scaffold_5	813632	863631	0.0032030527289546	545	277	86480	936340
swe	HiC_scaffold_5	863632	913631	0.0056647750304012	571	559	98680	954692
swe	HiC_scaffold_5	913632	963631	0.0	187	0	34243	969890
swe	HiC_scaffold_5	963632	1013631	0.0	80	0	15089	939726
swe	HiC_scaffold_5	1013632	1063631	0.0	87	0	12952	962300
swe	HiC_scaffold_5	1063632	1113631	0.0118096146964094	235	495	41915	902546
swe	HiC_scaffold_5	1113632	1163631	0.0065816194660857	611	713	108332	914748
swe	HiC_scaffold_5	1163632	1213631	0.0056068203513314	514	511	91139	917102
swe	HiC_scaffold_5	1213632	1263631	0.0051413163446358	387	368	71577	925586
swe	HiC_scaffold_5	1263632	1313631	NA	0	0	0	950520
swe	HiC_scaffold_5	1313632	1363631	NA	0	0	0	934800
swe	HiC_scaffold_5	1363632	1413631	NA	0	0	0	926800
swe	HiC_scaffold_5	1413632	1463631	0.0165975103734439	40	120	7230	940300
swe	HiC_scaffold_5	1463632	1513631	0.0	17	0	2860	932560
swe	HiC_scaffold_5	1513632	1563631	NA	0	0	0	924560
swe	HiC_scaffold_5	1563632	1613631	NA	0	0	0	934720
swe	HiC_scaffold_5	1613632	1663631	NA	0	0	0	923200
swe	HiC_scaffold_5	1663632	1713631	NA	0	0	0	927560
swe	HiC_scaffold_5	1713632	1763631	NA	0	0	0	929660
swe	HiC_scaffold_5	1763632	1813631	NA	0	0	0	923040
swe	HiC_scaffold_5	1813632	1863631	0.0068098714469543	874	1069	156978	926360
swe	HiC_scaffold_5	1863632	1913631	0.014081380228981	427	888	63062	925040
swe	HiC_scaffold_5	1913632	1963631	0.0063168085832414	700	796	126013	929426
swe	HiC_scaffold_5	1963632	2013631	NA	0	0	0	911900
swe	HiC_scaffold_5	2013632	2063631	0.0104735883424408	253	460	43920	923088
swe	HiC_scaffold_5	2063632	2113631	NA	0	0	0	935220
swe	HiC_scaffold_5	2113632	2163631	0.0099544374009508	109	201	20192	947028
swe	HiC_scaffold_5	2163632	2213631	NA	0	0	0	924800
swe	HiC_scaffold_5	2213632	2263631	NA	0	0	0	936620
swe	HiC_scaffold_5	2263632	2313631	NA	0	0	0	917480
swe	HiC_scaffold_5	2313632	2363631	NA	0	0	0	935160
swe	HiC_scaffold_5	2363632	2413631	0.0233747260774287	19	32	1369	935646
swe	HiC_scaffold_5	2413632	2463631	0.0	38	0	110	950760
swe	HiC_scaffold_5	2463632	2513631	0.0153588658068327	166	468	30471	923078
swe	HiC_scaffold_5	2513632	2563631	0.0	63	0	11345	923174
swe	HiC_scaffold_5	2563632	2613631	0.0058474046278924	532	561	95940	936340
swe	HiC_scaffold_5	2613632	2663631	0.0057266879347314	219	219	38242	914988
swe	HiC_scaffold_5	2663632	2713631	0.0	49	0	8866	926264
swe	HiC_scaffold_5	2713632	2763631	0.0127529860650298	265	615	48224	927056
swe	HiC_scaffold_5	2763632	2813631	0.0071907373552711	91	118	16410	930328
