"set" "map" "mkr" "phys" "gen"
"1" "ls_swe" 1 4 976800 0
"2" "ls_swe" 1 8 1583437 0
"3" "ls_swe" 1 11 2256288 0
"4" "ls_swe" 1 12 2448946 0
"5" "ls_swe" 1 19 2521121 0
"6" "ls_swe" 1 20 2587164 0
"7" "ls_swe" 1 22 2635480 0
"8" "ls_swe" 1 24 2808861 0
"9" "ls_swe" 1 26 3157052 0.556
"10" "ls_swe" 1 27 3665408 3.985
"11" "ls_swe" 1 29 3788414 7.383
"12" "ls_swe" 1 31 4077309 11.408
"13" "ls_swe" 1 36 5181507 11.408
"14" "ls_swe" 1 45 5242005 11.408
"15" "ls_swe" 1 46 5338585 14.838
"16" "ls_swe" 1 49 5740623 14.838
"17" "ls_swe" 1 52 6419970 18.268
"18" "ls_swe" 1 55 6815728 18.268
"19" "ls_swe" 1 57 6886102 18.823
"20" "ls_swe" 1 64 7154688 23.925
"21" "ls_swe" 1 65 7814239 23.925
"22" "ls_swe" 1 68 7871948 26.741
"23" "ls_swe" 1 74 8318635 26.741
"24" "ls_swe" 1 75 8471166 26.741
"25" "ls_swe" 1 78 8528054 27.297
"26" "ls_swe" 1 87 8970465 27.852
"27" "ls_swe" 1 89 8970774 27.852
"28" "ls_swe" 1 98 9046596 28.97
"29" "ls_swe" 1 101 9211254 30.087
"30" "ls_swe" 1 104 9482245 31.772
"31" "ls_swe" 1 107 9515850 31.772
"32" "ls_swe" 1 109 10174208 31.772
"33" "ls_swe" 1 112 10185367 31.772
"34" "ls_swe" 1 113 10549036 35.798
"35" "ls_swe" 1 119 10866415 39.228
"36" "ls_swe" 1 121 11381725 39.228
"37" "ls_swe" 1 123 11720859 39.228
"38" "ls_swe" 1 125 12467773 40.913
"39" "ls_swe" 1 131 12561608 41.469
"40" "ls_swe" 1 132 12670284 42.024
"41" "ls_swe" 1 135 12683989 42.024
"42" "ls_swe" 1 140 12686615 42.024
"43" "ls_swe" 1 144 13094762 42.024
"44" "ls_swe" 1 154 13722439 42.024
"45" "ls_swe" 1 155 15586999 42.024
"46" "ls_swe" 1 158 16268298 43.135
"47" "ls_swe" 1 161 16564796 44.253
"48" "ls_swe" 1 162 16711566 44.808
"49" "ls_swe" 1 165 17142828 47.65
"50" "ls_swe" 1 168 18172408 49.91
"51" "ls_swe" 1 169 18642867 49.91
"52" "ls_swe" 1 172 19348260 49.91
"53" "ls_swe" 1 184 19535319 51.028
"54" "ls_swe" 1 186 19855752 54.457
"55" "ls_swe" 1 189 20277328 54.457
"56" "ls_swe" 1 195 20336765 55.575
"57" "ls_swe" 1 198 20786291 57.26
"58" "ls_swe" 1 205 21060210 58.933
"59" "ls_swe" 1 214 22036486 61.194
"60" "ls_swe" 1 215 22665366 65.821
"61" "ls_swe" 1 226 24405919 71.059
"62" "ls_swe" 1 229 24537450 72.731
"63" "ls_swe" 1 230 25121855 74.992
"64" "ls_swe" 1 231 25215187 77.252
"65" "ls_swe" 1 236 26656176 80.068
"66" "ls_swe" 1 238 26675887 80.068
"67" "ls_swe" 1 240 27532132 81.185
"68" "ls_swe" 1 242 28043434 82.971
"69" "ls_swe" 1 248 28843737 83.856
"70" "ls_swe" 1 251 29668592 83.856
"71" "ls_swe" 5 1521 207657 0
"72" "ls_swe" 5 1522 400639 0
"73" "ls_swe" 5 1524 647704 0
"74" "ls_swe" 5 1528 718610 0
"75" "ls_swe" 5 1530 803596 0
"76" "ls_swe" 5 1535 1216850 0
"77" "ls_swe" 5 1537 1379481 0
"78" "ls_swe" 5 1543 1502279 1.117
"79" "ls_swe" 5 1544 1532580 1.673
"80" "ls_swe" 5 1546 1690032 2.784
"81" "ls_swe" 5 1548 2244764 6.214
"82" "ls_swe" 5 1553 3145155 8.474
"83" "ls_swe" 5 1554 3609933 11.316
"84" "ls_swe" 5 1555 3682812 13.576
"85" "ls_swe" 5 1556 4410234 13.576
"86" "ls_swe" 5 1559 4887559 13.576
"87" "ls_swe" 5 1561 4901213 14.694
"88" "ls_swe" 5 1572 4960529 14.694
"89" "ls_swe" 5 1578 5060811 14.694
"90" "ls_swe" 5 1581 5102263 15.249
"91" "ls_swe" 5 1584 5481298 18.091
"92" "ls_swe" 5 1586 5753189 19.764
"93" "ls_swe" 5 1587 5997345 20.319
"94" "ls_swe" 5 1593 6560551 20.875
"95" "ls_swe" 5 1595 7000860 21.43
"96" "ls_swe" 5 1601 7019929 21.43
"97" "ls_swe" 5 1605 7035607 23.665
"98" "ls_swe" 5 1609 7248699 23.665
"99" "ls_swe" 5 1614 7611789 24.782
"100" "ls_swe" 5 1617 7996196 28.768
"101" "ls_swe" 5 1621 8467387 31.028
"102" "ls_swe" 5 1639 9201184 33.844
"103" "ls_swe" 5 1641 9439702 34.961
"104" "ls_swe" 5 1644 10308207 35.517
"105" "ls_swe" 5 1647 10334299 35.517
"106" "ls_swe" 5 1650 10599527 37.203
"107" "ls_swe" 5 1653 10977844 37.758
"108" "ls_swe" 5 1657 11337532 38.314
"109" "ls_swe" 5 1659 12234551 42.941
"110" "ls_swe" 5 1666 12331088 42.941
"111" "ls_swe" 5 1669 12369231 43.497
"112" "ls_swe" 5 1673 12609932 43.497
"113" "ls_swe" 5 1675 12729827 44.614
"114" "ls_swe" 5 1685 13358918 44.614
"115" "ls_swe" 5 1691 13408801 45.17
"116" "ls_swe" 5 1696 13477973 45.17
"117" "ls_swe" 5 1702 13886849 47.411
"118" "ls_swe" 5 1709 13924169 47.411
"119" "ls_swe" 5 1720 15063047 48.528
"120" "ls_swe" 5 1732 15267221 49.084
"121" "ls_swe" 5 1735 15463044 53.711
"122" "ls_swe" 5 1736 15770980 54.829
"123" "ls_swe" 5 1744 15808062 54.829
"124" "ls_swe" 5 1746 16024538 54.829
"125" "ls_swe" 5 1750 16041715 54.829
"126" "ls_swe" 5 1752 16326886 54.829
"127" "ls_swe" 5 1755 16723204 54.829
"128" "ls_swe" 5 1759 17129351 54.829
"129" "ls_swe" 5 1761 17666407 55.946
"130" "ls_swe" 5 1762 17700865 55.946
"131" "ls_swe" 5 1763 17703464 61.801
"132" "ls_swe" 5 1765 18420790 64.642
"133" "ls_swe" 5 1770 19243569 64.642
"134" "ls_swe" 5 1779 20152817 65.76
"135" "ls_swe" 5 1783 21015124 66.877
"136" "ls_swe" 5 1788 21207369 67.433
"137" "ls_swe" 5 1795 21823918 68.55
"138" "ls_swe" 5 1804 23000347 69.106
"139" "ls_swe" 5 1808 23162607 69.106
"140" "ls_swe" 5 1820 23875210 69.106
"141" "ls_swe" 5 1823 23999316 70.791
"142" "ls_swe" 5 1829 24099510 71.909
"143" "ls_swe" 5 1832 24953563 71.909
"144" "ls_swe" 5 1836 25175769 71.909
"145" "ls_swe" 5 1847 25381802 71.909
"146" "ls_swe" 5 1849 26339614 72.809
"147" "ls_swe" 5 1850 26363391 74.662
"148" "ls_swe" 5 1851 26707859 74.662
"149" "ls_swe" 5 1852 26708179 74.662
"150" "ls_swe" 4 1127 527078 0
"151" "ls_swe" 4 1139 1283249 0
"152" "ls_swe" 4 1145 1321910 3.073
"153" "ls_swe" 4 1157 2490112 4.191
"154" "ls_swe" 4 1160 2592562 4.191
"155" "ls_swe" 4 1162 2713052 4.746
"156" "ls_swe" 4 1166 2978103 4.746
"157" "ls_swe" 4 1170 2996497 4.746
"158" "ls_swe" 4 1176 3562901 6.432
"159" "ls_swe" 4 1180 3654630 6.432
"160" "ls_swe" 4 1189 4056375 7.549
"161" "ls_swe" 4 1195 4700985 9.235
"162" "ls_swe" 4 1198 4740194 9.235
"163" "ls_swe" 4 1199 4765090 10.352
"164" "ls_swe" 4 1204 5394890 13.73
"165" "ls_swe" 4 1211 5708191 14.285
"166" "ls_swe" 4 1216 5887607 15.403
"167" "ls_swe" 4 1220 6129606 15.403
"168" "ls_swe" 4 1225 6357351 15.958
"169" "ls_swe" 4 1227 6411824 15.958
"170" "ls_swe" 4 1230 7183205 17.069
"171" "ls_swe" 4 1233 7400130 17.625
"172" "ls_swe" 4 1235 7759483 21.65
"173" "ls_swe" 4 1243 7873391 21.65
"174" "ls_swe" 4 1248 8193806 25.675
"175" "ls_swe" 4 1256 9014160 27.91
"176" "ls_swe" 4 1257 9568875 30.752
"177" "ls_swe" 4 1259 9569267 31.869
"178" "ls_swe" 4 1266 9695989 31.869
"179" "ls_swe" 4 1274 9904041 32.425
"180" "ls_swe" 4 1278 9912367 32.425
"181" "ls_swe" 4 1291 10282549 32.425
"182" "ls_swe" 4 1296 10767343 32.425
"183" "ls_swe" 4 1301 10903395 32.425
"184" "ls_swe" 4 1305 11031340 32.98
"185" "ls_swe" 4 1308 11663389 32.98
"186" "ls_swe" 4 1309 12035070 36.41
"187" "ls_swe" 4 1315 12382327 36.41
"188" "ls_swe" 4 1319 12583114 36.966
"189" "ls_swe" 4 1328 12955880 38.638
"190" "ls_swe" 4 1329 13233178 40.899
"191" "ls_swe" 4 1335 13238964 40.899
"192" "ls_swe" 4 1339 13438387 40.899
"193" "ls_swe" 4 1340 14089427 40.899
"194" "ls_swe" 4 1344 14536093 42.572
"195" "ls_swe" 4 1346 14582487 42.572
"196" "ls_swe" 4 1351 14728075 42.572
"197" "ls_swe" 4 1357 14842887 43.127
"198" "ls_swe" 4 1360 15048328 47.152
"199" "ls_swe" 4 1362 15067514 47.152
"200" "ls_swe" 4 1365 15651548 48.838
