ls_cat "sc_nr" "marker_nr" "position" "male_position"
ls_cat 1 1 857604 0
ls_cat 1 2 960108 0
ls_cat 1 7 1432002 0
ls_cat 1 8 1490133 0
ls_cat 1 9 1669646 0
ls_cat 1 12 1725894 0
ls_cat 1 17 1769831 1.136
ls_cat 1 19 2452286 1.701
ls_cat 1 20 2521318 1.701
ls_cat 1 21 2669949 1.701
ls_cat 1 23 3079565 1.701
ls_cat 1 28 3580850 2.266
ls_cat 1 33 3702161 8.863
ls_cat 1 49 4529913 10.577
ls_cat 1 61 4924269 13.441
ls_cat 1 63 5083729 14.006
ls_cat 1 64 5091847 17.496
ls_cat 1 77 5152273 19.211
ls_cat 1 83 6323204 20.925
ls_cat 1 94 7058547 20.925
ls_cat 1 102 7306269 22.062
ls_cat 1 103 7452283 23.198
ls_cat 1 104 7536599 23.198
ls_cat 1 107 7708666 23.198
ls_cat 1 110 7765061 24.912
ls_cat 1 117 8359924 26.627
ls_cat 1 121 8382936 26.627
ls_cat 1 124 8411785 27.763
ls_cat 1 125 8492177 27.763
ls_cat 1 130 8628682 28.328
ls_cat 1 133 8969480 30.627
ls_cat 1 134 9094408 31.192
ls_cat 1 135 9145964 31.757
ls_cat 1 141 9171153 31.757
ls_cat 1 144 9341424 34.622
ls_cat 1 145 9376344 36.336
ls_cat 1 148 10017917 36.901
ls_cat 1 152 10120873 39.2
ls_cat 1 154 10281982 39.765
ls_cat 1 158 10711924 42.045
ls_cat 1 159 11227247 43.181
ls_cat 1 161 11560717 45.48
ls_cat 1 167 11881874 45.48
ls_cat 1 170 12328195 47.195
ls_cat 1 179 12420457 48.331
ls_cat 1 180 12454768 48.896
ls_cat 1 182 12544486 48.896
ls_cat 1 185 12546603 48.896
ls_cat 1 186 12558468 49.461
ls_cat 1 189 12871676 51.761
ls_cat 1 195 14278830 52.325
ls_cat 1 197 14508534 52.89
ls_cat 1 201 15316434 55.19
ls_cat 1 205 15765440 58.041
ls_cat 1 206 16012085 59.177
ls_cat 1 210 16786175 59.177
ls_cat 1 211 17483747 59.177
ls_cat 1 212 17599046 59.742
ls_cat 1 217 17642444 60.878
ls_cat 1 220 17919483 61.443
ls_cat 1 221 18408231 61.443
ls_cat 1 233 19248337 62.008
ls_cat 1 236 19320750 62.008
ls_cat 1 238 19519892 62.008
ls_cat 1 240 20006942 63.723
ls_cat 1 246 20065651 63.723
ls_cat 1 247 20339349 64.288
ls_cat 1 249 20781587 64.853
ls_cat 1 253 20802551 64.853
ls_cat 1 255 20917992 67.744
ls_cat 1 256 21028647 69.458
ls_cat 1 258 22053918 69.458
ls_cat 1 259 23298398 70.595
ls_cat 1 260 23300505 70.595
ls_cat 1 261 23856346 71.731
ls_cat 1 262 24107239 71.731
ls_cat 1 270 24540871 72.296
ls_cat 1 277 24928100 78.191
ls_cat 1 279 25100582 80.491
ls_cat 1 284 25920538 81.627
ls_cat 1 287 26399444 83.926
ls_cat 1 297 26987053 84.491
ls_cat 1 299 27608308 85.628
ls_cat 1 303 27746759 86.193
