cat	EBR_start_cat	EBR_end_cat	EBR_length_cat	swe	EBR_start_swe	EBR_end_swe	EBR_length_swe	Strand	Q-len	Q-start	Q-stop	T-len	T-start	T-stop	anc_chr_unit	type		EBR_cat_start	EBR_cat_end
cat_1	0	34043171	34043171	swe_1	0	34455698	34455698	+	34043171	6668	34041318	34455698	1	34455163	1	Z		0	34043171
cat_2	14263805	32763382	18499577	swe_2	0	18368799	18368799	-	32763382	50	32763375	32844224	9	32844177	2	fu_anc_sin		14263805	32763382
cat_2	0	14215527	14215527	swe_2	18429467	32844224	14414757								3	fu_anc_sin		0	14215527
cat_50	0	6563399	6563399	swe_3	0	6630455	6630455	-	6563399	4	6561523	30544165	19686	28671939	4	fi_spa		0	6563399
cat_46	0	7071330	7071330	swe_3	6723970	13818234	7094264	-	7071330	9	7071051	30544165	6150813	24735332	5	fu_swe		0	7071330
cat_37	0	8175631	8175631	swe_3	13877656	21916345	8038689	-	8175631	0	8173265	30544165	731409	29210593	6	fu_swe		0	8175631
cat_39	0	8031547	8031547	swe_3	22083520	30544165	8460645	+	8031547	4	8025823	30544165	4199078	30530707	7	BR/ILS_juv/spa		0	8031547
cat_18	0	12373252	12373252	swe_4	0	12474786	12474786	-	12373252	7	12373249	27422032	3520	19621771	8	fi_spa		0	12373252
cat_6	0	14789772	14789772	swe_4	12566366	27422032	14855666	+	14789772	5024	14789755	27422032	1010194	27421578	9	fi_spa		0	14789772
cat_12	0	12846550	12846550	swe_5	0	12753250	12753250	-	12846550	4	12843421	27208799	51	24502316	10	BR/ILS_juv/spa		0	12846550
cat_7	0	14168601	14168601	swe_5	12786407	27208799	14422392	+	14168601	9	14168547	27208799	248248	27208791	11	BR/ILS_juv/spa		0	14168601
cat_3	0	26201839	26201839	swe_6	0	26593402	26593402	+	26201839	2	26201830	26593402	20377	26592967	12	Z		0	26201839
cat_43	0	7592934	7592934	swe_7	0	7794590	7794590	-	7592934	2408	7592923	25418471	1	23286552	13	fi_spa		0	7592934
cat_47	0	6810500	6810500	swe_7	7854630	14556555	6701925	-	6810500	24	6808617	25418471	441882	23812989	14	fi_spa		0	6810500
cat_21	8620954	11043877	2422923	swe_7	14616929	16846145	2229216	-	11043877	8	11043877	25418471	981980	25406097	15	fi_spa		8620954	11043877
cat_21	0	8509954	8509954	swe_7	16883350	25418471	8535121								16	fu_anc_sin		0	8509954
cat_17	0	12417530	12417530	swe_8	0	12848078	12848078	-	12417530	128	12416914	25271786	2168	25103012	17	fu_swe		0	12417530
cat_19	0	12203911	12203911	swe_8	12920848	25271786	12350938	-	12203911	28017	12203905	25271786	10208465	25256935	18	fu_swe		0	12203911
cat_10	0	13041722	13041722	swe_9	0	13908078	13908078	+	13041722	12	13041722	24821562	1	20492711	19	fu_swe		0	13041722
cat_23	0	10889337	10889337	swe_9	13908078	24821562	10913484	+	10889337	18	10837954	24821562	496689	24815548	20	fu_swe		0	10889337
cat_27	0	10056752	10056752	swe_10	0	10277651	10277651	+	10056752	1	10056296	23696351	68779	12286860	21	fi_spa		0	10056752
cat_9	0	13621015	13621015	swe_10	10326588	23696351	13369763	+	13621015	1090	13619447	23696351	739201	23659355	22	fi_spa		0	13621015
cat_29	0	9366115	9366115	swe_11	0	9552499	9552499	-	9366115	6	9366108	22599691	34790	21479706	23	fu_swe		0	9366115
cat_25	7661594	10694127	3032533	swe_11	9604026	12636559	3032533	-	10694127	499	10694122	22599691	3825793	22597763	24	fu_swe		7661594	10694127
cat_25	7030000	7612726	582726	swe_11	12685427	13227000	541573								25	fu_anc_sin		7030000	7612726
cat_51	5373554	6505794	1132240	swe_11	13227001	14497892	1270891								26	fu_spa		5373554	6505794
cat_5	7425984	14857515	7431531	swe_11	14579067	22599691	8020624								27	fi_spa		7425984	14857515
cat_28	0	9433975	9433975	swe_12	0	9700444	9700444	-	9433975	16739	9431874	22309355	23363	22251207	28	fu_swe		0	9433975
cat_16	0	12463469	12463469	swe_12	9700948	22309355	12608407	+	12463469	12126	12435444	22309355	103319	22305521	29	fu_swe		0	12463469
cat_30	0	9109249	9109249	swe_13	0	9341788	9341788	+	9109249	1307	9109240	21837515	3	21735312	30	fu_swe		0	9109249
cat_14	6410190	12659735	6249545	swe_13	9348732	15692075	6343343	-	12659735	5	12628391	21837515	843118	21821735	31	fu_swe		6410190	12659735
cat_14	0	6388689	6388689	swe_13	15734914	21837515	6102601								32	fu_anc_sin		0	6388689
cat_40	0	7918917	7918917	swe_14	0	8264754	8264754	+	7918917	19799	7918896	21002338	0	16623186	33	fu_swe		0	7918917
cat_13	0	12716052	12716052	swe_14	8286896	21002338	12715442	-	12716052	51575	12712085	21002338	103505	21001822	34	fu_swe		0	12716052
cat_42	0	7657949	7657949	swe_15	0	7815325	7815325	+	7657949	37445	7657727	20771620	27458	20088933	35	fi_spa		0	7657949
