marker_nr male_position scaffold position lg
4 0.000 1 976800 1
8 0.000 1 1583437 1
11 0.000 1 2256288 1
12 0.000 1 2448946 1
19 0.000 1 2521121 1
20 0.000 1 2587164 1
22 0.000 1 2635480 1
24 0.556 1 2808861 1
26 0.556 1 3157052 1
27 1.673 1 3665408 1
29 3.933 1 3788414 1
31 6.193 1 4077309 1
36 6.193 1 5181507 1
45 6.193 1 5242005 1
46 8.454 1 5338585 1
49 8.454 1 5740623 1
52 13.081 1 6419970 1
55 13.081 1 6815728 1
57 13.081 1 6886102 1
64 16.511 1 7154688 1
65 16.511 1 7814239 1
68 17.629 1 7871948 1
74 17.629 1 8318635 1
75 17.629 1 8471166 1
78 18.184 1 8528054 1
87 18.740 1 8970465 1
89 18.740 1 8970774 1
98 19.295 1 9046596 1
101 20.413 1 9211254 1
104 21.530 1 9482245 1
107 21.530 1 9515850 1
109 21.530 1 10174208 1
112 21.530 1 10185367 1
113 23.790 1 10549036 1
119 26.051 1 10866415 1
121 26.051 1 11381725 1
123 26.051 1 11720859 1
125 27.736 1 12467773 1
131 27.736 1 12561608 1
132 28.292 1 12670284 1
135 28.292 1 12683989 1
140 28.292 1 12686615 1
144 28.292 1 13094762 1
155 28.292 1 15586999 1
158 29.409 1 16268298 1
161 30.526 1 16564796 1
162 31.082 1 16711566 1
165 32.768 1 17142828 1
168 33.885 1 18172408 1
169 33.885 1 18642867 1
172 34.440 1 19348260 1
184 34.440 1 19535319 1
186 37.870 1 19855752 1
189 38.426 1 20277328 1
195 39.543 1 20336765 1
198 41.229 1 20786291 1
205 42.914 1 21060210 1
214 44.600 1 22036486 1
215 48.030 1 22665366 1
226 52.055 1 24405919 1
229 53.741 1 24537450 1
230 54.858 1 25121855 1
231 57.118 1 25215187 1
236 58.236 1 26656176 1
238 58.236 1 26675887 1
240 59.353 1 27532132 1
242 59.353 1 28043434 1
248 59.353 1 28843737 1
251 59.353 1 29668592 1
1521 0.000 5 207657 2
1524 0.000 5 647704 2
1530 0.000 5 803596 2
1535 0.000 5 1216850 2
1537 0.000 5 1379481 2
1543 0.000 5 1502279 2
1544 0.000 5 1532580 2
1546 0.813 5 1690032 2
1548 8.655 5 2244764 2
1553 8.655 5 3145155 2
1554 12.085 5 3609933 2
1555 17.940 5 3682812 2
1556 17.940 5 4410234 2
1559 17.940 5 4887559 2
1561 17.940 5 4901213 2
1572 17.940 5 4960529 2
1578 17.940 5 5060811 2
1581 18.495 5 5102263 2
1584 19.051 5 5481298 2
1586 19.051 5 5753189 2
1587 19.606 5 5997345 2
1593 20.162 5 6560551 2
1595 20.718 5 7000860 2
1601 20.718 5 7019929 2
1605 20.718 5 7035607 2
1609 20.718 5 7248699 2
1614 20.718 5 7611789 2
1617 20.718 5 7996196 2
1621 22.403 5 8467387 2
1639 23.520 5 9201184 2
1641 24.638 5 9439702 2
1644 24.638 5 10308207 2
1647 25.193 5 10334299 2
1650 25.193 5 10599527 2
1653 25.749 5 10977844 2
1657 26.304 5 11337532 2
1659 27.990 5 12234551 2
1666 27.990 5 12331088 2
1669 28.546 5 12369231 2
1673 28.546 5 12609932 2
1675 30.231 5 12729827 2
1685 30.231 5 13358918 2
1691 32.491 5 13408801 2
1696 32.491 5 13477973 2
1702 33.047 5 13886849 2
1709 35.307 5 13924169 2
1720 35.307 5 15063047 2
1732 35.863 5 15267221 2
1735 35.863 5 15463044 2
1736 38.548 5 15770980 2
1744 38.548 5 15808062 2
1746 38.548 5 16024538 2
1750 38.548 5 16041715 2
1755 38.548 5 16723204 2
1759 38.548 5 17129351 2
1761 38.548 5 17666407 2
1762 38.548 5 17700865 2
1763 44.071 5 17703464 2
1765 45.395 5 18420790 2
1770 45.395 5 19243569 2
1779 45.395 5 20152817 2
1783 45.395 5 21015124 2
1788 46.053 5 21207369 2
1795 46.053 5 21823918 2
1804 48.739 5 23000347 2
1808 48.739 5 23162607 2
1820 48.739 5 23875210 2
1823 49.396 5 23999316 2
1829 52.082 5 24099510 2
1832 52.082 5 24953563 2
1836 52.082 5 25175769 2
1847 52.082 5 25381802 2
1849 52.983 5 26339614 2
1850 54.835 5 26363391 2
1851 54.835 5 26707859 2
1852 54.835 5 26708179 2
1127 0.000 4 527078 3
1139 0.000 4 1283249 3
1145 0.000 4 1321910 3
1157 0.000 4 2490112 3
1160 0.000 4 2592562 3
1162 1.117 4 2713052 3
1166 1.117 4 2978103 3
1170 1.117 4 2996497 3
1176 1.117 4 3562901 3
1180 1.117 4 3654630 3
1189 1.117 4 4056375 3
1195 1.117 4 4700985 3
1198 1.117 4 4740194 3
1199 3.378 4 4765090 3
1204 6.219 4 5394890 3
1211 6.219 4 5708191 3
1216 7.337 4 5887607 3
1220 7.337 4 6129606 3
1225 8.454 4 6357351 3
1227 8.454 4 6411824 3
1230 8.454 4 7183205 3
1233 9.010 4 7400130 3
1235 11.851 4 7759483 3
1243 11.851 4 7873391 3
1248 15.281 4 8193806 3
1256 16.399 4 9014160 3
1257 16.399 4 9568875 3
1259 16.399 4 9569267 3
1266 16.954 4 9695989 3
1274 17.510 4 9904041 3
1278 17.510 4 9912367 3
1291 17.510 4 10282549 3
1296 17.510 4 10767343 3
1301 17.510 4 10903395 3
1305 20.351 4 11031340 3
1308 20.351 4 11663389 3
1309 23.193 4 12035070 3
1315 24.879 4 12382327 3
1319 25.434 4 12583114 3
1328 25.990 4 12955880 3
1329 27.675 4 13233178 3
1335 27.675 4 13238964 3
1339 27.675 4 13438387 3
1340 27.675 4 14089427 3
1344 28.231 4 14536093 3
1346 28.231 4 14582487 3
1351 28.231 4 14728075 3
1357 28.231 4 14842887 3
1360 32.256 4 15048328 3
1362 32.256 4 15067514 3
1365 33.373 4 15651548 3
1375 35.059 4 16448047 3
1380 35.614 4 16612889 3
1388 35.614 4 17514667 3
1394 37.875 4 17635345 3
1400 37.875 4 17925091 3
1405 37.875 4 18209548 3
1414 39.560 4 18864906 3
1420 39.560 4 19376841 3
1421 39.560 4 19577717 3
1426 40.116 4 19690035 3
1433 40.671 4 19974437 3
1442 40.671 4 20403330 3
1448 40.671 4 20902019 3
1449 40.671 4 20902339 3
1453 41.227 4 21203483 3
1476 41.227 4 24147595 3
1478 41.227 4 24197063 3
1482 42.040 4 24428938 3
1488 42.040 4 24671822 3
1489 42.040 4 24759169 3
1503 42.040 4 25701341 3
1505 51.401 4 25743801 3
1508 51.401 4 25805330 3
1511 51.401 4 26087094 3
1518 51.401 4 26267929 3
3966 0.000 13 295255 4
3969 0.000 13 396632 4
3972 0.000 13 427193 4
3973 0.000 13 427517 4
3974 0.000 13 658565 4
3984 0.000 13 681433 4
3986 1.149 13 715858 4
3987 1.149 13 928051 4
3989 1.149 13 1180606 4
3996 2.763 13 1746766 4
4016 2.763 13 2166005 4
4023 4.592 13 2333927 4
4025 5.194 13 2532804 4
4029 5.194 13 2624273 4
4039 6.312 13 2686373 4
4043 6.312 13 3094344 4
4046 6.867 13 3764937 4
4052 6.867 13 3808660 4
4053 9.709 13 3814231 4
4057 9.709 13 3867784 4
4060 11.969 13 4339711 4
4064 11.969 13 4701986 4
4069 11.969 13 4707698 4
4079 11.969 13 4990432 4
4081 11.969 13 5072363 4
4086 11.969 13 5595605 4
4088 12.525 13 5776267 4
4090 12.525 13 5830702 4
4096 14.210 13 5933519 4
4104 18.236 13 6887114 4
4111 23.473 13 7058410 4
4112 24.028 13 7567892 4
4115 24.584 13 8170421 4
4131 24.584 13 8172207 4
4133 26.270 13 8196145 4
4136 26.270 13 9032117 4
4137 26.270 13 9108646 4
4138 26.270 13 9183439 4
4139 27.387 13 9424175 4
4145 27.942 13 9503104 4
4149 28.498 13 9805933 4
4159 28.498 13 10784664 4
4166 28.498 13 11249414 4
4168 33.126 13 11633547 4
4185 34.243 13 12786228 4
4188 36.503 13 12965488 4
4194 37.059 13 13324915 4
4201 37.059 13 13412340 4
4202 38.176 13 13723436 4
4204 38.176 13 13723752 4
4209 39.862 13 13749330 4
4211 39.862 13 13826678 4
4229 39.862 13 14085272 4
4236 40.979 13 14270737 4
4240 42.096 13 14495091 4
4242 42.096 13 15125650 4
4247 42.096 13 15223256 4
4248 42.096 13 15358770 4
4250 42.652 13 15418870 4
4252 42.652 13 15666148 4
4258 43.208 13 16539089 4
4262 43.208 13 16714183 4
4265 43.763 13 17104172 4
4269 43.763 13 17202010 4
4274 44.319 13 17339797 4
4277 44.319 13 17881630 4
4278 44.319 13 17974595 4
4280 44.319 13 18059555 4
4290 44.319 13 18806976 4
4292 44.319 13 18971511 4
4296 44.319 13 19462524 4
4299 44.319 13 19662785 4
4302 44.319 13 19734143 4
4316 44.319 13 20038551 4
4320 44.319 13 20685094 4
266 0.000 2 50702 5
275 0.000 2 503152 5
277 0.000 2 529414 5
279 0.000 2 914663 5
280 0.000 2 1299466 5
