pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
cat	HiC_scaffold_15	1	343	0.008674744236481	258	184	21211	3442
cat	HiC_scaffold_15	12566	67445	0.0075601180973042	18702	15835	2094544	742960
cat	HiC_scaffold_15	72559	82026	0.0051856166621677	7897	5110	985418	54540
cat	HiC_scaffold_15	85304	99659	0.0060942126365575	6689	4417	724786	180728
cat	HiC_scaffold_15	103467	128554	0.0054814541881601	6744	4463	814200	368460
cat	HiC_scaffold_15	131764	137459	0.0031557863847031	2146	813	257622	75640
cat	HiC_scaffold_15	154772	157528	0.0057613336874578	754	564	97894	36408
cat	HiC_scaffold_15	158801	167221	0.0079445696660537	2514	2143	269744	125020
cat	HiC_scaffold_15	173343	186143	0.0036211217981102	2879	1111	306811	200350
cat	HiC_scaffold_15	189793	195556	0.0034598236142753	1334	530	153187	89534
cat	HiC_scaffold_15	203172	217775	0.0055668789441668	2744	1931	346873	239658
cat	HiC_scaffold_15	224242	260970	0.005657770745473	13528	9018	1593914	492676
cat	HiC_scaffold_15	262812	264618	0.0144758146666809	738	1350	93259	22974
cat	HiC_scaffold_15	284264	301601	0.005455413795456	5911	3998	732850	235528
cat	HiC_scaffold_15	302412	396328	0.0047716704778932	28435	15047	3153403	1347806
cat	HiC_scaffold_15	401984	406388	0.004466244070875	2772	1741	389813	37266
cat	HiC_scaffold_15	445334	449074	0.002096822507431	465	91	43399	67962
cat	HiC_scaffold_15	454190	457721	0.0041717715295978	585	269	64481	58574
cat	HiC_scaffold_15	473638	479246	0.0128501968048159	3184	4884	380072	55116
cat	HiC_scaffold_15	480762	525208	0.0042337867552255	10754	5139	1213807	676542
cat	HiC_scaffold_15	530253	532671	0.0032765469906093	825	306	93391	34430
cat	HiC_scaffold_15	539262	542972	0.0057350911427347	607	241	42022	64692
cat	HiC_scaffold_15	544749	546006	0.003092328081284	379	126	40746	18184
cat	HiC_scaffold_15	558034	684046	0.007419743087043	40978	34307	4623745	1754294
cat	HiC_scaffold_15	709617	714059	0.0053643069363847	2827	1773	330518	40728
cat	HiC_scaffold_15	720942	797082	0.007324675743808	19182	16341	2230952	1137984
cat	HiC_scaffold_15	798047	798086	0.0	40	0	4436	192
cat	HiC_scaffold_15	798387	799361	0.0028382213812677	732	75	26425	13494
cat	HiC_scaffold_15	799950	820799	0.0055052973908575	6476	3257	591612	304292
cat	HiC_scaffold_15	840530	851866	0.005377831827152	4606	2954	549292	135912
cat	HiC_scaffold_15	866339	915438	0.0044210514519241	19964	11835	2676965	584314
cat	HiC_scaffold_15	932548	939099	0.0116503884651879	1378	1633	140167	103898
cat	HiC_scaffold_15	943863	948045	0.0163927762025265	2459	3226	196794	50072
cat	HiC_scaffold_15	955726	1025648	0.0092743742029147	21350	22129	2386037	990470
cat	HiC_scaffold_15	1052059	1081521	0.003023137499899	11246	4118	1362161	366710
cat	HiC_scaffold_15	1092767	1105627	0.0061531945549472	4236	3109	505266	163348
cat	HiC_scaffold_15	1117631	1224622	0.0068227356773362	34858	30346	4447776	1388776
cat	HiC_scaffold_15	1226170	1252347	0.0051062031276108	6942	4156	813912	379424
cat	HiC_scaffold_15	1275760	1327232	0.009285604172181	17772	15962	1719005	711990
cat	HiC_scaffold_15	1327605	1421200	0.0088042465885098	30837	31875	3620412	1238440
cat	HiC_scaffold_15	1421720	1426657	0.004052739074179	2499	1137	280551	51626
cat	HiC_scaffold_15	1427810	1430694	0.0048912283970745	901	630	128802	39108
cat	HiC_scaffold_15	1464870	1514575	0.0057734450201732	7845	5638	976540	821064
cat	HiC_scaffold_15	1521748	1529728	0.0102862348778575	1315	971	94398	141716
cat	HiC_scaffold_15	1530332	1531080	0.0110988419830686	701	392	35319	6862
cat	HiC_scaffold_15	1533505	1586519	0.0108109685646038	11720	14447	1336328	800848
cat	HiC_scaffold_15	1589257	1598450	0.0097825778299431	1739	2067	211294	133976
cat	HiC_scaffold_15	1606227	1658517	0.0130673655901361	16665	26170	2002699	695758
cat	HiC_scaffold_15	1669070	1677237	0.0090261731752677	4169	4965	550067	85506
cat	HiC_scaffold_15	1678984	1684808	0.0100442288486231	781	1056	105135	97338
cat	HiC_scaffold_15	1690567	1724355	0.0104293317977534	9813	12515	1199981	463970
cat	HiC_scaffold_15	1746950	1755375	0.0095054975295293	4795	5354	563253	81770
cat	HiC_scaffold_15	1764087	1857992	0.0116568622321661	30968	39659	3402202	1280124
cat	HiC_scaffold_15	1859592	1882853	0.0132596888577177	6607	8640	651599	329142
cat	HiC_scaffold_15	1889454	1894639	0.0252973603199116	2131	4947	195554	62900
cat	HiC_scaffold_15	1905508	1924252	0.0050346104728448	10008	6359	1263057	194818
cat	HiC_scaffold_15	1925506	1928509	0.0166783052113613	601	1027	61577	45486
cat	HiC_scaffold_15	1935752	1936474	0.0034352249168313	674	285	82964	2880
cat	HiC_scaffold_15	1937156	1957976	0.0172563219013412	4128	8283	479998	330660
cat	HiC_scaffold_15	1962966	1997871	0.0087820978665436	12586	12713	1447604	449828
cat	HiC_scaffold_15	1998430	2002944	0.0172617600456065	1320	2059	119281	63674
cat	HiC_scaffold_15	2003476	2009111	0.0100557637809671	1224	1320	131268	78168
cat	HiC_scaffold_15	2010642	2010937	0.0066914930757593	295	230	34372	1316
cat	HiC_scaffold_15	2012018	2020814	0.0086006724499842	1666	1852	215332	131160
cat	HiC_scaffold_15	2030636	2045348	0.0040659316224655	8038	3840	944433	149050
cat	HiC_scaffold_15	2050883	2064309	0.0104303732468949	1719	1950	186954	222596
cat	HiC_scaffold_15	2067358	2074703	0.0093388092829425	1609	1237	132458	114656
cat	HiC_scaffold_15	2075187	2088663	0.0099497382007917	3846	4363	438504	188836
cat	HiC_scaffold_15	2089858	2093084	0.016460887183992	1929	3729	226537	30538
cat	HiC_scaffold_15	2093478	2096986	0.0095148891452591	1306	1666	175094	41000
cat	HiC_scaffold_15	2097434	2104497	0.012063156292192	1983	3011	249603	97562
cat	HiC_scaffold_15	2108450	2119209	0.0093089489853773	1438	1412	151682	179180
cat	HiC_scaffold_15	2122314	2134008	0.0099943299204233	5665	6134	613748	130504
cat	HiC_scaffold_15	2135393	2152054	0.004060432187312	1598	702	172888	306648
cat	HiC_scaffold_15	2153371	2153940	0.0031041404098398	550	133	42846	3972
cat	HiC_scaffold_15	2154505	2177525	0.0093176041316808	8777	11624	1247531	271474
cat	HiC_scaffold_15	2186377	2207367	0.0067378410438908	7478	6532	969450	263816
cat	HiC_scaffold_15	2231648	2232207	0.0047469565883163	379	186	39183	4110
cat	HiC_scaffold_15	2270209	2308750	0.0140129286204362	13425	19566	1396282	512020
cat	HiC_scaffold_15	2321815	2329132	0.0119436104947134	4257	5490	459660	73708
cat	HiC_scaffold_15	2347648	2389062	0.0130130963723513	11612	15939	1224843	583894
cat	HiC_scaffold_15	2395748	2396417	0.0122573419611747	243	394	32144	8272
cat	HiC_scaffold_15	2405538	2443981	0.0104417014937421	11069	11383	1090148	550888
cat	HiC_scaffold_15	2458976	2470044	0.0057597370356635	7015	4675	811669	103298
cat	HiC_scaffold_15	2499822	2501292	0.0038602688439288	1380	730	189106	5668
cat	HiC_scaffold_15	2501620	2592816	0.0099919611295153	48586	64758	6481010	868704
cat	HiC_scaffold_15	2593399	2646478	0.0088815813856953	17119	19171	2158512	710320
cat	HiC_scaffold_15	2734001	2743286	0.0045312348824459	1257	562	124028	161688
cat	HiC_scaffold_15	2745891	2748511	0.0098412493546721	414	305	30992	43492
cat	HiC_scaffold_15	2753795	2765527	0.0105788523965416	1593	2304	217793	194726
cat	HiC_scaffold_15	2765854	2776952	0.0032630015948378	3456	1424	436408	146624
cat	HiC_scaffold_15	2786719	2789896	0.0058464223385689	973	737	126060	41312
cat	HiC_scaffold_15	2791542	2813909	0.0075989122431261	6382	6223	818933	305050
cat	HiC_scaffold_15	2830608	2834837	0.0089791200676377	918	839	93439	64502
cat	HiC_scaffold_15	2839927	2849376	0.0122403536538776	3591	5607	458075	102386
cat	HiC_scaffold_15	2861793	2873333	0.0085016444675032	5514	5555	653403	128370
cat	HiC_scaffold_15	2889826	2896787	0.0045824540247211	3806	2204	480965	68730
cat	HiC_scaffold_15	2898517	2902285	0.0068212500888183	350	288	42221	64546
cat	HiC_scaffold_15	2939349	2952981	0.0131613434680046	3588	4218	320484	198556
cat	HiC_scaffold_15	2968226	2971865	0.0176587797775106	1011	2189	123961	52546
cat	HiC_scaffold_15	2972235	2975283	0.0129524665178079	1885	2941	227061	25238
cat	HiC_scaffold_15	2983715	3040558	0.0110785437975081	16585	19148	1728386	789208
cat	HiC_scaffold_15	3053584	3065847	0.0088456949981086	4387	4256	481138	158540
cat	HiC_scaffold_15	3066625	3101145	0.0103556098242006	7973	9346	902506	521404
cat	HiC_scaffold_15	3108466	3112405	0.0085947684932082	1482	1635	190232	48432
