"set" "map" "mkr" "phys" "gen" "vld" "loess" "sc" "chr_length" "chr_start" "genome_pos" "rel_pos" "pos_group" "chr_type"
"1" "ls_cat" 1 1 857604 0 TRUE NA "HiC_scaffold_1" 34043171 0 857604 2.51916603185996 "5" "Z"
"2" "ls_cat" 1 2 960108 0 TRUE 1.24 "HiC_scaffold_1" 34043171 0 960108 2.82026606745887 "5" "Z"
"3" "ls_cat" 1 7 1432002 0 TRUE 1.96 "HiC_scaffold_1" 34043171 0 1432002 4.20642953619097 "5" "Z"
"4" "ls_cat" 1 8 1490133 0 TRUE 2.09 "HiC_scaffold_1" 34043171 0 1490133 4.37718624977679 "5" "Z"
"5" "ls_cat" 1 9 1669646 0 TRUE 2.29 "HiC_scaffold_1" 34043171 0 1669646 4.9044961175914 "5" "Z"
"6" "ls_cat" 1 12 1725894 0 TRUE 2.36 "HiC_scaffold_1" 34043171 0 1725894 5.06972161905834 "5" "Z"
"7" "ls_cat" 1 17 1769831 1.136 TRUE 2.42 "HiC_scaffold_1" 34043171 0 1769831 5.19878421431423 "5" "Z"
"8" "ls_cat" 1 19 2452286 1.701 TRUE 3.27 "HiC_scaffold_1" 34043171 0 2452286 7.20345939571845 "5" "Z"
"9" "ls_cat" 1 20 2521318 1.701 TRUE 3.3 "HiC_scaffold_1" 34043171 0 2521318 7.40623721568123 "5" "Z"
"10" "ls_cat" 1 21 2669949 1.701 TRUE 3.35 "HiC_scaffold_1" 34043171 0 2669949 7.842832854789 "5" "Z"
"11" "ls_cat" 1 23 3079565 1.701 TRUE 4.12 "HiC_scaffold_1" 34043171 0 3079565 9.04605801850832 "5" "Z"
"12" "ls_cat" 1 28 3580850 2.266 TRUE 4.26 "HiC_scaffold_1" 34043171 0 3580850 10.5185559829312 "4" "Z"
"13" "ls_cat" 1 33 3702161 8.863 TRUE 4.16 "HiC_scaffold_1" 34043171 0 3702161 10.8749005784449 "4" "Z"
"14" "ls_cat" 1 49 4529913 10.577 TRUE 5.92 "HiC_scaffold_1" 34043171 0 4529913 13.3063779516896 "4" "Z"
"15" "ls_cat" 1 61 4924269 13.441 TRUE 5.2 "HiC_scaffold_1" 34043171 0 4924269 14.4647776789066 "4" "Z"
"16" "ls_cat" 1 63 5083729 14.006 TRUE 4.63 "HiC_scaffold_1" 34043171 0 5083729 14.9331829282296 "4" "Z"
"17" "ls_cat" 1 64 5091847 17.496 TRUE 4.61 "HiC_scaffold_1" 34043171 0 5091847 14.9570291204659 "4" "Z"
"18" "ls_cat" 1 77 5152273 19.211 TRUE 4.42 "HiC_scaffold_1" 34043171 0 5152273 15.1345272742072 "4" "Z"
"19" "ls_cat" 1 83 6323204 20.925 TRUE 3.91 "HiC_scaffold_1" 34043171 0 6323204 18.5740746653712 "4" "Z"
"20" "ls_cat" 1 94 7058547 20.925 TRUE 2.67 "HiC_scaffold_1" 34043171 0 7058547 20.7341055273611 "3" "Z"
"21" "ls_cat" 1 102 7306269 22.062 TRUE 3.53 "HiC_scaffold_1" 34043171 0 7306269 21.4617756965119 "3" "Z"
"22" "ls_cat" 1 103 7452283 23.198 TRUE 4.33 "HiC_scaffold_1" 34043171 0 7452283 21.8906840376297 "3" "Z"
"23" "ls_cat" 1 104 7536599 23.198 TRUE 4.4 "HiC_scaffold_1" 34043171 0 7536599 22.1383577928155 "3" "Z"
"24" "ls_cat" 1 107 7708666 23.198 TRUE 4.58 "HiC_scaffold_1" 34043171 0 7708666 22.64379543257 "3" "Z"
"25" "ls_cat" 1 110 7765061 24.912 TRUE 4.65 "HiC_scaffold_1" 34043171 0 7765061 22.8094527387005 "3" "Z"
"26" "ls_cat" 1 117 8359924 26.627 TRUE 5.34 "HiC_scaffold_1" 34043171 0 8359924 24.5568310895598 "3" "Z"
"27" "ls_cat" 1 121 8382936 26.627 TRUE 5.35 "HiC_scaffold_1" 34043171 0 8382936 24.6244276128096 "3" "Z"
"28" "ls_cat" 1 124 8411785 27.763 TRUE 5.37 "HiC_scaffold_1" 34043171 0 8411785 24.709170012394 "3" "Z"
"29" "ls_cat" 1 125 8492177 27.763 TRUE 5.91 "HiC_scaffold_1" 34043171 0 8492177 24.9453172267648 "3" "Z"
"30" "ls_cat" 1 130 8628682 28.328 TRUE 6.45 "HiC_scaffold_1" 34043171 0 8628682 25.3462933872993 "3" "Z"
"31" "ls_cat" 1 133 8969480 30.627 TRUE 5.72 "HiC_scaffold_1" 34043171 0 8969480 26.3473693446477 "3" "Z"
"32" "ls_cat" 1 134 9094408 31.192 TRUE 6.58 "HiC_scaffold_1" 34043171 0 9094408 26.7143386848423 "3" "Z"
"33" "ls_cat" 1 135 9145964 31.757 TRUE 6.19 "HiC_scaffold_1" 34043171 0 9145964 26.8657816864357 "3" "Z"
"34" "ls_cat" 1 141 9171153 31.757 TRUE 5.84 "HiC_scaffold_1" 34043171 0 9171153 26.9397730311316 "3" "Z"
"35" "ls_cat" 1 144 9341424 34.622 TRUE 6.65 "HiC_scaffold_1" 34043171 0 9341424 27.4399350166293 "3" "Z"
"36" "ls_cat" 1 145 9376344 36.336 TRUE 6.76 "HiC_scaffold_1" 34043171 0 9376344 27.5425106550738 "3" "Z"
"37" "ls_cat" 1 148 10017917 36.901 TRUE 5.67 "HiC_scaffold_1" 34043171 0 10017917 29.4270971408627 "3" "Z"
"38" "ls_cat" 1 152 10120873 39.2 TRUE 5.42 "HiC_scaffold_1" 34043171 0 10120873 29.7295249023659 "3" "Z"
"39" "ls_cat" 1 154 10281982 39.765 TRUE 5.13 "HiC_scaffold_1" 34043171 0 10281982 30.2027740012821 "2" "Z"
"40" "ls_cat" 1 158 10711924 42.045 TRUE 4.97 "HiC_scaffold_1" 34043171 0 10711924 31.4657057064396 "2" "Z"
"41" "ls_cat" 1 159 11227247 43.181 TRUE 4.41 "HiC_scaffold_1" 34043171 0 11227247 32.9794395475087 "2" "Z"
"42" "ls_cat" 1 161 11560717 45.48 TRUE 4.08 "HiC_scaffold_1" 34043171 0 11560717 33.9589898955065 "2" "Z"
"43" "ls_cat" 1 167 11881874 45.48 TRUE 3.81 "HiC_scaffold_1" 34043171 0 11881874 34.9023714623999 "2" "Z"
"44" "ls_cat" 1 170 12328195 47.195 TRUE 3.26 "HiC_scaffold_1" 34043171 0 12328195 36.2134156069069 "2" "Z"
"45" "ls_cat" 1 179 12420457 48.331 TRUE 3.34 "HiC_scaffold_1" 34043171 0 12420457 36.4844303134981 "2" "Z"
"46" "ls_cat" 1 180 12454768 48.896 TRUE 3.38 "HiC_scaffold_1" 34043171 0 12454768 36.5852170469079 "2" "Z"
"47" "ls_cat" 1 182 12544486 48.896 TRUE 3.18 "HiC_scaffold_1" 34043171 0 12544486 36.8487588891176 "2" "Z"
"48" "ls_cat" 1 185 12546603 48.896 TRUE 3.2 "HiC_scaffold_1" 34043171 0 12546603 36.8549774637621 "2" "Z"
"49" "ls_cat" 1 186 12558468 49.461 TRUE 3.35 "HiC_scaffold_1" 34043171 0 12558468 36.8898302687491 "2" "Z"
"50" "ls_cat" 1 189 12871676 51.761 TRUE 3.08 "HiC_scaffold_1" 34043171 0 12871676 37.8098620718969 "2" "Z"
"51" "ls_cat" 1 195 14278830 52.325 TRUE 2.52 "HiC_scaffold_1" 34043171 0 14278830 41.9433019327136 "1" "Z"
"52" "ls_cat" 1 197 14508534 52.89 TRUE 2.52 "HiC_scaffold_1" 34043171 0 14508534 42.6180451873887 "1" "Z"
"53" "ls_cat" 1 201 15316434 55.19 TRUE 2.06 "HiC_scaffold_1" 34043171 0 15316434 44.9912083689266 "1" "Z"
"54" "ls_cat" 1 205 15765440 58.041 TRUE 1.99 "HiC_scaffold_1" 34043171 0 15765440 46.3101395577985 "1" "Z"
"55" "ls_cat" 1 206 16012085 59.177 TRUE 2 "HiC_scaffold_1" 34043171 0 16012085 47.0346460968633 "1" "Z"
"56" "ls_cat" 1 210 16786175 59.177 TRUE 1.49 "HiC_scaffold_1" 34043171 0 16786175 49.3084942057836 "1" "Z"
"57" "ls_cat" 1 211 17483747 59.177 TRUE 1.67 "HiC_scaffold_1" 34043171 0 17483747 51.3575747688134 "1" "Z"
"58" "ls_cat" 1 212 17599046 59.742 TRUE 1.76 "HiC_scaffold_1" 34043171 0 17599046 51.6962594348217 "1" "Z"
"59" "ls_cat" 1 217 17642444 60.878 TRUE 1.68 "HiC_scaffold_1" 34043171 0 17642444 51.8237387463113 "1" "Z"
"60" "ls_cat" 1 220 17919483 61.443 TRUE 1.39 "HiC_scaffold_1" 34043171 0 17919483 52.6375260400977 "1" "Z"
"61" "ls_cat" 1 221 18408231 61.443 TRUE 1.8 "HiC_scaffold_1" 34043171 0 18408231 54.0731972353574 "1" "Z"
"62" "ls_cat" 1 233 19248337 62.008 TRUE 1.73 "HiC_scaffold_1" 34043171 0 19248337 56.5409638250209 "1" "Z"
"63" "ls_cat" 1 236 19320750 62.008 TRUE 1.75 "HiC_scaffold_1" 34043171 0 19320750 56.7536731522454 "1" "Z"
"64" "ls_cat" 1 238 19519892 62.008 TRUE 1.84 "HiC_scaffold_1" 34043171 0 19519892 57.3386421611547 "1" "Z"
"65" "ls_cat" 1 240 20006942 63.723 TRUE 1.86 "HiC_scaffold_1" 34043171 0 20006942 58.7693255719334 "1" "Z"
"66" "ls_cat" 1 246 20065651 63.723 TRUE 1.87 "HiC_scaffold_1" 34043171 0 20065651 58.9417801297065 "1" "Z"
"67" "ls_cat" 1 247 20339349 64.288 TRUE 1.94 "HiC_scaffold_1" 34043171 0 20339349 59.7457534140988 "1" "Z"
"68" "ls_cat" 1 249 20781587 64.853 TRUE 2 "HiC_scaffold_1" 34043171 0 20781587 61.0448039637671 "2" "Z"
"69" "ls_cat" 1 253 20802551 64.853 TRUE 2 "HiC_scaffold_1" 34043171 0 20802551 61.1063845961941 "2" "Z"
"70" "ls_cat" 1 255 20917992 67.744 TRUE 2.07 "HiC_scaffold_1" 34043171 0 20917992 61.4454863796325 "2" "Z"
"71" "ls_cat" 1 256 21028647 69.458 TRUE 2.07 "HiC_scaffold_1" 34043171 0 21028647 61.7705295432085 "2" "Z"
"72" "ls_cat" 1 258 22053918 69.458 TRUE 2.24 "HiC_scaffold_1" 34043171 0 22053918 64.7822084493833 "2" "Z"
"73" "ls_cat" 1 259 23298398 70.595 TRUE 2.87 "HiC_scaffold_1" 34043171 0 23298398 68.4378021072126 "2" "Z"
"74" "ls_cat" 1 260 23300505 70.595 TRUE 2.87 "HiC_scaffold_1" 34043171 0 23300505 68.4439913073902 "2" "Z"
"75" "ls_cat" 1 261 23856346 71.731 TRUE 2.9 "HiC_scaffold_1" 34043171 0 23856346 70.0767446134792 "3" "Z"
