pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
cat	HiC_scaffold_42	113671	163670	0.003312825366777	150	77	23243	940638
cat	HiC_scaffold_42	163671	213670	0.0174963449416389	309	730	41723	945974
cat	HiC_scaffold_42	213671	263670	0.0299636803874092	23	99	3304	957360
cat	HiC_scaffold_42	263671	313670	0.0	171	0	15729	938210
cat	HiC_scaffold_42	313671	363670	0.0026566305069736	531	96	36136	965940
cat	HiC_scaffold_42	363671	413670	NA	0	0	0	933280
cat	HiC_scaffold_42	413671	463670	NA	0	0	0	934960
cat	HiC_scaffold_42	463671	513670	NA	0	0	0	922500
cat	HiC_scaffold_42	513671	563670	0.0	60	0	554	945492
cat	HiC_scaffold_42	563671	613670	0.0038429658654208	83	51	13271	936442
cat	HiC_scaffold_42	613671	663670	NA	0	0	0	936200
cat	HiC_scaffold_42	663671	713670	NA	0	0	0	926280
cat	HiC_scaffold_42	713671	763670	NA	0	0	0	929060
cat	HiC_scaffold_42	763671	813670	0.0006194964378954	345	28	45198	917368
cat	HiC_scaffold_42	813671	863670	0.0022827207506679	671	217	95062	948664
cat	HiC_scaffold_42	863671	913670	0.0003298950933603	382	15	45469	920074
cat	HiC_scaffold_42	913671	963670	0.0030324909747292	145	42	13850	925396
cat	HiC_scaffold_42	963671	1013670	0.0	230	0	33651	931294
cat	HiC_scaffold_42	1013671	1063670	0.005483981302018	855	481	87710	920944
cat	HiC_scaffold_42	1063671	1113670	0.0100624683437447	202	298	29615	913994
cat	HiC_scaffold_42	1113671	1163670	NA	0	0	0	925800
cat	HiC_scaffold_42	1163671	1213670	0.002052153558803	920	256	124747	914926
cat	HiC_scaffold_42	1213671	1263670	0.0011418051142247	837	129	112979	899930
cat	HiC_scaffold_42	1263671	1313670	0.0092860945170639	164	157	16907	917962
cat	HiC_scaffold_42	1313671	1363670	0.0016837327140293	1181	319	189460	915892
cat	HiC_scaffold_42	1363671	1413670	0.0016376933953147	755	161	98309	906150
cat	HiC_scaffold_42	1413671	1463670	0.0078617607151408	194	197	25058	906432
cat	HiC_scaffold_42	1463671	1513670	0.0	113	0	16699	918290
cat	HiC_scaffold_42	1513671	1563670	0.0017425700235193	2050	489	280620	895260
cat	HiC_scaffold_42	1563671	1613670	0.0019768912789189	2622	747	377866	891140
cat	HiC_scaffold_42	1613671	1663670	NA	0	0	0	921060
cat	HiC_scaffold_42	1663671	1713670	0.0008360890996443	1594	201	240405	885750
cat	HiC_scaffold_42	1713671	1763670	0.0051001222149102	625	434	85096	920888
cat	HiC_scaffold_42	1763671	1813670	0.0026933881664687	311	93	34529	905630
cat	HiC_scaffold_42	1813671	1863670	NA	0	0	0	924340
cat	HiC_scaffold_42	1863671	1913670	0.0029819726200695	475	198	66399	921382
cat	HiC_scaffold_42	1913671	1963670	0.0009499525023748	149	19	20001	924642
cat	HiC_scaffold_42	1963671	2013670	NA	0	0	0	913060
cat	HiC_scaffold_42	2013671	2063670	0.0030480656506447	1947	832	272960	898220
cat	HiC_scaffold_42	2063671	2113670	0.0021920170225254	795	239	109032	923708
