pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
cat	HiC_scaffold_3	16521	66520	0.0275349371450449	262	863	31342	954876
cat	HiC_scaffold_3	66521	116520	0.0	52	0	6936	953428
cat	HiC_scaffold_3	116521	166520	0.0029899333014878	543	169	56523	944326
cat	HiC_scaffold_3	166521	216520	0.0	77	0	2010	972388
cat	HiC_scaffold_3	216521	266520	NA	0	0	0	950240
cat	HiC_scaffold_3	266521	316520	0.0	43	0	1858	982388
cat	HiC_scaffold_3	316521	366520	0.0017596782302664	260	49	27846	956800
cat	HiC_scaffold_3	366521	416520	0.0074636992807707	45	55	7369	992406
cat	HiC_scaffold_3	416521	466520	0.0	295	0	40017	956358
cat	HiC_scaffold_3	466521	516520	0.0	117	0	10052	946820
cat	HiC_scaffold_3	516521	566520	0.0044441944194419	265	158	35552	940524
cat	HiC_scaffold_3	566521	616520	0.0051185626240467	88	49	9573	929446
cat	HiC_scaffold_3	616521	666520	0.001249107780157	311	56	44832	950448
cat	HiC_scaffold_3	666521	716520	0.0037754845205134	28	15	3973	941478
cat	HiC_scaffold_3	716521	766520	0.0012944339340834	94	13	10043	941794
cat	HiC_scaffold_3	766521	816520	NA	0	0	0	947520
cat	HiC_scaffold_3	816521	866520	0.0050198703200167	84	48	9562	944676
cat	HiC_scaffold_3	866521	916520	0.0158610271903323	72	105	6620	920816
cat	HiC_scaffold_3	916521	966520	0.0	62	0	1296	945312
cat	HiC_scaffold_3	966521	1016520	0.0172855313700384	36	81	4686	938892
cat	HiC_scaffold_3	1016521	1066520	0.0086149529684717	450	479	55601	941522
cat	HiC_scaffold_3	1066521	1116520	0.0107181583117858	218	257	23978	943972
cat	HiC_scaffold_3	1116521	1166520	NA	0	0	0	940880
cat	HiC_scaffold_3	1166521	1216520	0.0062437890236813	390	333	53333	925150
cat	HiC_scaffold_3	1216521	1266520	NA	0	0	0	939640
cat	HiC_scaffold_3	1266521	1316520	0.0518114530580444	37	266	5134	948792
cat	HiC_scaffold_3	1316521	1366520	0.0058492440128021	129	53	9061	913078
cat	HiC_scaffold_3	1366521	1416520	0.0	63	0	4542	942096
cat	HiC_scaffold_3	1416521	1466520	0.0015877871491208	504	109	68649	936746
cat	HiC_scaffold_3	1466521	1516520	0.0044896030245746	25	19	4232	931708
cat	HiC_scaffold_3	1516521	1566520	0.0160868199741773	287	461	28657	925646
cat	HiC_scaffold_3	1566521	1616520	0.004500649741688	494	284	63102	944888
cat	HiC_scaffold_3	1616521	1666520	0.0151682294539437	90	165	10878	922784
cat	HiC_scaffold_3	1666521	1716520	NA	0	0	0	938080
cat	HiC_scaffold_3	1716521	1766520	0.0091472198213771	103	127	13884	929348
