map set loess loess_sd map_length median sc chr_length chr_start rate markers marker_density chr_type
1 1 ls_cat 4.36733333333333 3.08607958274106 89.602 3.605 HiC_scaffold_1 34.043171 0 2.63201098393566 92 2.70245095558225 Z
2 2 ls_cat 3.516 3.03587873233095 79.108 3.02 HiC_scaffold_2 32.763382 34043171 2.414524849724 127 3.87627870651449 Autosome
3 3 ls_cat 4.43446808510638 2.61315219320055 60.992 4.05 HiC_scaffold_3 26.201839 66806553 2.32777554277774 49 1.87009774390263 Z
4 4 ls_cat 4.23775510204082 2.38006850856066 52.822 4.01 HiC_scaffold_4 17.858888 93008392 2.9577429456974 51 2.85572091610631 Z
5 5 ls_cat 5.2155 2.3815684239372 29.589 4.665 HiC_scaffold_5 8.079652 110867280 3.66216267730343 22 2.7228895501935 Autosome
6 6 ls_cat 3.97061224489796 2.63835365976846 46.756 4.57 HiC_scaffold_6 14.789772 118946932 3.16137395491966 51 3.44832902089363 Autosome
7 7 ls_cat 3.67191489361702 3.06183565166663 46.942 3.11 HiC_scaffold_7 14.168601 133736704 3.31310056652735 49 3.4583513220536 Autosome
8 8 ls_cat 3.87702127659574 3.6000706000889 43.984 3.33 HiC_scaffold_8 14.171155 147905305 3.10376959393924 49 3.45772803981045 Autosome
9 9 ls_cat 6.88363636363636 6.31397051613697 53.295 3.92 HiC_scaffold_9 13.621015 162076460 3.9127040092093 46 3.3771345233817 Autosome
10 10 ls_cat 5.99761904761905 4.71126041315951 55.395 4.78 HiC_scaffold_10 13.041722 175697475 4.2475219146674 44 3.37378760258806 Autosome
11 11 ls_cat 3.7625 3.66767219838942 33.856 2.475 HiC_scaffold_11 12.904538 188739197 2.62357319572386 34 2.63473206092306 Autosome
12 12 ls_cat 4.54961538461539 3.81967556446852 52.031 2.89 HiC_scaffold_12 12.84655 201643735 4.05019246412461 54 4.2034631866143 Autosome
13 13 ls_cat 5.36541666666667 4.12500777991959 47.602 4.61 HiC_scaffold_13 12.716052 214490285 3.74345748192914 50 3.93203802563878 Autosome
14 14 ls_cat 5.67446808510638 3.55002009088659 55.194 5.08 HiC_scaffold_14 12.659735 227206337 4.3598068995915 49 3.8705391542556 Autosome
15 15 ls_cat 7.02888888888889 8.24859179900828 54.708 4.545 HiC_scaffold_15 12.572064 239866072 4.35155277605968 56 4.45432030890075 Autosome
16 16 ls_cat 6.98173076923077 6.12516881597011 42.322 5.15 HiC_scaffold_16 12.463469 252438136 3.39568381804456 54 4.33266211838775 Autosome
17 17 ls_cat 6.99320754716981 5.78741000049142 50.118 6.56 HiC_scaffold_17 12.41753 264901605 4.03606836464257 55 4.42922223662838 Autosome
18 18 ls_cat 5.05631578947368 2.76946850985305 44.889 5.49 HiC_scaffold_18 12.373252 277319135 3.62790639033295 59 4.76835030919923 Autosome
19 19 ls_cat 4.96104166666667 3.50159188089569 49.989 5.425 HiC_scaffold_19 12.203911 289692387 4.09614589945797 50 4.09704724985294 Autosome
20 20 ls_cat 5.05822222222222 2.86924704162235 54.524 4.79 HiC_scaffold_20 11.863123 301896298 4.59609160252321 47 3.96185726136364 Autosome
21 21 ls_cat 4.55042553191489 2.5511471907554 46.204 4.94 HiC_scaffold_21 11.043877 313759421 4.18367571460638 49 4.436847675866 Autosome
22 22 ls_cat 7.49853658536585 6.82958511220689 51.544 6.04 HiC_scaffold_22 10.971242 324803298 4.69810072551494 43 3.91933748248375 Autosome
23 23 ls_cat 8.21355555555555 7.00968069417883 41.268 7.98 HiC_scaffold_23 10.889337 335774540 3.78976240702258 47 4.31614890787199 Autosome
24 24 ls_cat 5.49264705882353 3.25389306116165 36.194 3.93 HiC_scaffold_24 10.731864 346663877 3.37257348769981 36 3.35449647889686 Autosome
25 25 ls_cat 8.46 5.76134310891173 56.046 8.205 HiC_scaffold_25 10.694127 357395741 5.24082049895237 46 4.30142638104073 Autosome
26 26 ls_cat 5.46321428571429 3.16772970878775 38.89 4.22 HiC_scaffold_26 10.371112 368089868 3.74983897580124 30 2.89265027703876 Autosome
27 27 ls_cat 7.34176470588235 7.78257590393661 44.525 7.4 HiC_scaffold_27 10.056752 378460980 4.42737376838963 36 3.57968457410504 Autosome
28 28 ls_cat 4.60470588235294 3.97707006155408 41.675 3.72 HiC_scaffold_28 9.433975 388517732 4.41754403631555 36 3.81599484840695 Autosome
29 29 ls_cat 4.22208333333333 3.26809741109499 33.095 4.375 HiC_scaffold_29 9.366115 397951707 3.53348213213269 26 2.77596420714458 Autosome
30 30 ls_cat 4.92833333333333 5.09283567408689 34.032 3.49 HiC_scaffold_30 9.109249 407317822 3.73598306512425 44 4.83025549087526 Autosome
31 31 ls_cat 5.24578947368421 4.16411564012426 46.328 3.82 HiC_scaffold_31 9.029877 416427071 5.1305239262949 21 2.32561307313488 Autosome
32 32 ls_cat 7.32157894736842 4.8367565222741 52.359 5.535 HiC_scaffold_32 8.993086 425456948 5.82213936350659 40 4.44786139040592 Autosome
33 33 ls_cat 7.46185185185185 4.12641587545511 52.883 7.81 HiC_scaffold_33 8.858058 434450034 5.97004444992345 29 3.27385528521037 Autosome
34 34 ls_cat 7.81857142857143 7.49501053082268 37.275 3.61 HiC_scaffold_34 8.852937 443308092 4.21046710261239 23 2.59800787015654 Autosome
35 35 ls_cat 8.29888888888889 5.83396154440422 35.705 9.205 HiC_scaffold_35 8.510491 452161029 4.19541011206051 38 4.46507727932501 Autosome
36 36 ls_cat 7.06227272727273 6.86843569340639 28.212 7.565 HiC_scaffold_36 8.226895 460671520 3.42924031484539 24 2.91726100795014 Autosome
37 37 ls_cat 9.98666666666667 10.0719920477294 46.374 6.81 HiC_scaffold_37 8.175631 468898415 5.67222273118735 17 2.07935020550707 Autosome
38 38 ls_cat 7.89037037037037 5.05973051994599 47.724 9.34 HiC_scaffold_38 8.072367 477074046 5.9120206006491 29 3.59250266991082 Autosome
39 39 ls_cat 6.3728125 2.78620245006387 39.7 6.46 HiC_scaffold_39 8.031547 485146413 4.94300786635501 34 4.23330648503956 Autosome
40 40 ls_cat 6.465 5.52395959703089 35.128 4.635 HiC_scaffold_40 7.918917 493177960 4.43596011929409 30 3.78839682244428 Autosome
41 41 ls_cat 6.80090909090909 5.59653093645763 43.009 5.52 HiC_scaffold_41 7.717807 501096877 5.57269701095143 35 4.53496699256667 Autosome
42 42 ls_cat 10.9512 7.15728144386307 34.046 10.82 HiC_scaffold_42 7.657949 508814684 4.44583791299733 27 3.52574821273947 Autosome
43 43 ls_cat 6.48222222222222 2.55099416734536 39.824 6.585 HiC_scaffold_43 7.592934 516472633 5.24487635477932 20 2.63402790015032 Autosome
44 44 ls_cat 6.32153846153846 7.12075933720987 29.035 3.78 HiC_scaffold_44 7.462649 524065567 3.89070958583206 28 3.75201888766308 Autosome
45 45 ls_cat 5.9695652173913 2.7263603414557 34.043 5.98 HiC_scaffold_45 7.189 531528216 4.73542912783419 25 3.47753512310474 Autosome
46 46 ls_cat 6.67142857142857 4.80073149188151 38.182 5.42 HiC_scaffold_46 7.07133 538717216 5.39955001392949 23 3.25257059138804 Autosome
47 47 ls_cat 9.09185185185185 8.727019950016 35.677 3.33 HiC_scaffold_47 6.8105 545788546 5.23852874238308 29 4.25813082739887 Autosome
48 48 ls_cat 7.26954545454545 8.50417403243995 40.215 3.065 HiC_scaffold_48 6.777714 552599046 5.93341648821417 24 3.54101692694617 Autosome
49 49 ls_cat 3.41545454545455 2.12669397721611 13.372 4.23 HiC_scaffold_49 6.622542 559376760 2.01916424237098 13 1.96299245818298 Autosome
50 50 ls_cat 7.6852 6.54566976455937 29.798 4.5 HiC_scaffold_50 6.563399 565999302 4.54002567876797 27 4.11372217352625 Autosome
51 51 ls_cat 2.955 2.64937655946567 10.094 1.54 HiC_scaffold_51 6.505794 572562701 1.55154005798524 16 2.45934623813788 Autosome
52 52 ls_cat 10.23125 6.81252013906464 35.728 8.155 HiC_scaffold_52 6.108349 579068495 5.8490436613887 34 5.56615216321137 Autosome
53 53 ls_cat 5.3452 4.67115449683837 28.248 5.21 HiC_scaffold_5 6.777863 585176844 4.16768530139957 27 3.98355646905227 Autosome
54 1 ls_swe 3.53776119402985 2.5884017655077 83.856 3.5 HiC_scaffold_1 34.455698 0 2.43373389214173 69 2.0025715340319 Z
55 2 ls_swe 3.2971568627451 2.87665040961026 74.128 2.64 HiC_scaffold_2 32.844224 34455698 2.25695696144321 104 3.16646238924689 Autosome
56 3 ls_swe 4.36027397260274 3.88208669997448 73.764 2.83 HiC_scaffold_3 30.544165 67299922 2.41499481161132 75 2.45546080568907 Autosome
57 4 ls_swe 2.92081081081081 1.82060561710443 64.583 2.55 HiC_scaffold_4 27.422032 97844087 2.35515004869078 76 2.77149410371923 Autosome
58 5 ls_swe 3.38189189189189 1.86431938859013 74.662 3.18 HiC_scaffold_5 27.208799 125266119 2.74403879421506 76 2.79321406284783 Autosome
59 6 ls_swe 4.21473684210526 3.87804539558597 77.787 2.77 HiC_scaffold_6 26.593402 152474918 2.92504885234315 59 2.21859542453425 Z
60 7 ls_swe 3.37532467532468 2.18299744702673 72.769 3.51 HiC_scaffold_7 25.418471 179068320 2.86283938951324 79 3.10797608557966 Autosome
61 8 ls_swe 4.91546875 4.97388032536685 65.866 3.625 HiC_scaffold_8 25.271786 204486791 2.6063057039182 66 2.61160805967572 Autosome
62 9 ls_swe 3.755 2.08348725672517 66.086 3.69 HiC_scaffold_9 24.821562 229758577 2.66244324188784 50 2.01437766084181 Autosome
63 10 ls_swe 3.11848837209302 2.48359157267519 69.176 2.56 HiC_scaffold_10 23.696351 254580139 2.91926803413741 88 3.71365194582069 Autosome
64 11 ls_swe 3.91630769230769 5.43780647677408 55.596 1.9 HiC_scaffold_11 22.599691 278276490 2.46003363497315 67 2.96464230418018 Autosome
65 12 ls_swe 5.61253333333333 4.71001465922242 67.236 3.92 HiC_scaffold_12 22.309355 300876181 3.01380295396259 77 3.45146688463203 Autosome
