"anc_chr_unit" "chromosome" "EBR_start" "EBR_end" "EBR_length" "pop1" "Strand" "type" "chromosome_pop" "chr_nr" "chr_nr_real" "chr_length"
"53" 1 "HiC_scaffold_1" 1 34455697 34455698 "swe" "+" "Z" "HiC_scaffold_1_swe" 1 1 34455698
"64" 2 "HiC_scaffold_2" 1 18368798 18368799 "swe" "-" "fu_anc_sin" "HiC_scaffold_2_swe" 2 2 32844224
"121" 3 "HiC_scaffold_2" 18429468 32844223 14414757 "swe" "*" "fu_anc_sin" "HiC_scaffold_2_swe" 2 2 32844224
"75" 4 "HiC_scaffold_3" 1 6630454 6630455 "swe" "-" "fi_spa" "HiC_scaffold_3_swe" 3 3 30544165
"89" 5 "HiC_scaffold_3" 6723971 13818233 7094264 "swe" "-" "fu_swe" "HiC_scaffold_3_swe" 3 3 30544165
"114" 6 "HiC_scaffold_3" 13877657 21916344 8038689 "swe" "-" "fu_swe" "HiC_scaffold_3_swe" 3 3 30544165
"122" 7 "HiC_scaffold_3" 22083521 30544164 8460645 "swe" "+" "BR/ILS_juv/spa" "HiC_scaffold_3_swe" 3 3 30544165
"76" 8 "HiC_scaffold_4" 1 12474785 12474786 "swe" "-" "fi_spa" "HiC_scaffold_4_swe" 4 4 27422032
"109" 9 "HiC_scaffold_4" 12566367 27422031 14855666 "swe" "+" "fi_spa" "HiC_scaffold_4_swe" 4 4 27422032
"77" 10 "HiC_scaffold_5" 1 12753249 12753250 "swe" "-" "BR/ILS_juv/spa" "HiC_scaffold_5_swe" 5 5 27208799
"111" 11 "HiC_scaffold_5" 12786408 27208798 14422392 "swe" "+" "BR/ILS_juv/spa" "HiC_scaffold_5_swe" 5 5 27208799
"78" 12 "HiC_scaffold_6" 1 26593401 26593402 "swe" "+" "Z" "HiC_scaffold_6_swe" 6 6 26593402
"79" 13 "HiC_scaffold_7" 1 7794589 7794590 "swe" "-" "fi_spa" "HiC_scaffold_7_swe" 7 7 25418471
"96" 14 "HiC_scaffold_7" 7854631 14556554 6701925 "swe" "-" "fi_spa" "HiC_scaffold_7_swe" 7 7 25418471
"118" 15 "HiC_scaffold_7" 14616930 16846144 2229216 "swe" "-" "fi_spa" "HiC_scaffold_7_swe" 7 7 25418471
"120" 16 "HiC_scaffold_7" 16883351 25418470 8535121 "swe" "*" "fu_anc_sin" "HiC_scaffold_7_swe" 7 7 25418471
"80" 17 "HiC_scaffold_8" 1 12848077 12848078 "swe" "-" "fu_swe" "HiC_scaffold_8_swe" 8 8 25271786
"112" 18 "HiC_scaffold_8" 12920849 25271785 12350938 "swe" "-" "fu_swe" "HiC_scaffold_8_swe" 8 8 25271786
"81" 19 "HiC_scaffold_9" 1 13908077 13908078 "swe" "+" "fu_swe" "HiC_scaffold_9_swe" 9 9 24821562
"115" 20 "HiC_scaffold_9" 13908080 24821561 10913484 "swe" "+" "fu_swe" "HiC_scaffold_9_swe" 9 9 24821562
"54" 21 "HiC_scaffold_10" 1 10277650 10277651 "swe" "+" "fi_spa" "HiC_scaffold_10_swe" 10 10 23696351
"108" 22 "HiC_scaffold_10" 10326589 23696350 13369763 "swe" "+" "fi_spa" "HiC_scaffold_10_swe" 10 10 23696351
"55" 23 "HiC_scaffold_11" 1 9552498 9552499 "swe" "-" "fu_swe" "HiC_scaffold_11_swe" 11 11 22599691
"106" 24 "HiC_scaffold_11" 9604027 12636558 3032533 "swe" "-" "fu_swe" "HiC_scaffold_11_swe" 11 11 22599691
"110" 25 "HiC_scaffold_11" 12685428 13226999 541573 "swe" "*" "fu_anc_sin" "HiC_scaffold_11_swe" 11 11 22599691
"113" 26 "HiC_scaffold_11" 13227002 14497891 1270891 "swe" "*" "fu_spa" "HiC_scaffold_11_swe" 11 11 22599691
"117" 27 "HiC_scaffold_11" 14579068 22599690 8020624 "swe" "*" "fi_spa" "HiC_scaffold_11_swe" 11 11 22599691
"56" 28 "HiC_scaffold_12" 1 9700443 9700444 "swe" "-" "fu_swe" "HiC_scaffold_12_swe" 12 12 22309355
"107" 29 "HiC_scaffold_12" 9700949 22309354 12608407 "swe" "+" "fu_swe" "HiC_scaffold_12_swe" 12 12 22309355
"57" 30 "HiC_scaffold_13" 1 9341787 9341788 "swe" "+" "fu_swe" "HiC_scaffold_13_swe" 13 13 21837515
"104" 31 "HiC_scaffold_13" 9348733 15692074 6343343 "swe" "-" "fu_swe" "HiC_scaffold_13_swe" 13 13 21837515
"119" 32 "HiC_scaffold_13" 15734915 21837514 6102601 "swe" "*" "fu_anc_sin" "HiC_scaffold_13_swe" 13 13 21837515
"58" 33 "HiC_scaffold_14" 1 8264753 8264754 "swe" "+" "fu_swe" "HiC_scaffold_14_swe" 14 14 21002338
"98" 34 "HiC_scaffold_14" 8286897 21002337 12715442 "swe" "-" "fu_swe" "HiC_scaffold_14_swe" 14 14 21002338
"59" 35 "HiC_scaffold_15" 1 7815324 7815325 "swe" "+" "fi_spa" "HiC_scaffold_15_swe" 15 15 20771620
"97" 36 "HiC_scaffold_15" 7901824 20771619 12869797 "swe" "-" "fi_spa" "HiC_scaffold_15_swe" 15 15 20771620
"60" 37 "HiC_scaffold_16" 1 9385999 9386000 "swe" "-" "unknown" "HiC_scaffold_16_swe" 16 16 20354528
"105" 38 "HiC_scaffold_16" 9459001 20354527 10895528 "swe" "+" "unknown" "HiC_scaffold_16_swe" 16 16 20354528
"61" 39 "HiC_scaffold_17" 1 9080120 9080121 "swe" "-" "BR/ILS_juv/spa" "HiC_scaffold_17_swe" 17 17 19406976
"103" 40 "HiC_scaffold_17" 9132669 19406975 10274308 "swe" "-" "BR/ILS_juv/spa" "HiC_scaffold_17_swe" 17 17 19406976
"62" 41 "HiC_scaffold_18" 1 17773114 17773115 "swe" "-" "Z" "HiC_scaffold_18_swe" 18 18 17773115
"63" 42 "HiC_scaffold_19" 1 8395605 8395606 "swe" "+" "fi_spa" "HiC_scaffold_19_swe" 19 19 16601477
"100" 43 "HiC_scaffold_19" 8511084 16601476 8090394 "swe" "-" "fi_spa" "HiC_scaffold_19_swe" 19 19 16601477
"65" 44 "HiC_scaffold_20" 1 2688565 2688566 "swe" "-" "fu_anc_sin" "HiC_scaffold_20_swe" 20 20 16307044
"82" 45 "HiC_scaffold_20" 2764312 8331408 5567098 "swe" "*" "fu_anc_sin" "HiC_scaffold_20_swe" 20 20 16307044
"99" 46 "HiC_scaffold_20" 8435201 16307043 7871844 "swe" "-" "BR/ILS_juv/spa" "HiC_scaffold_20_swe" 20 20 16307044
"66" 47 "HiC_scaffold_21" 1 8652704 8652705 "swe" "+" "BR/ILS_juv/spa" "HiC_scaffold_21_swe" 21 21 16244046
"102" 48 "HiC_scaffold_21" 8795743 16244045 7448304 "swe" "+" "BR/ILS_juv/spa" "HiC_scaffold_21_swe" 21 21 16244046
"67" 49 "HiC_scaffold_22" 1 6778133 6778134 "swe" "+" "BR/ILS_juv/spa" "HiC_scaffold_22_swe" 22 22 15785361
"91" 50 "HiC_scaffold_22" 7224740 15785360 8560622 "swe" "+" "BR/ILS_juv/spa" "HiC_scaffold_22_swe" 22 22 15785361
"68" 51 "HiC_scaffold_23" 1 7391939 7391940 "swe" "+" "fu_swe" "HiC_scaffold_23_swe" 23 23 14824030
"93" 52 "HiC_scaffold_23" 7454672 14824029 7369359 "swe" "+" "fu_swe" "HiC_scaffold_23_swe" 23 23 14824030
"69" 53 "HiC_scaffold_24" 1 13684429 13684430 "swe" "+" "hom" "HiC_scaffold_24_swe" 24 24 13684430
"70" 54 "HiC_scaffold_25" 1 6247357 6247358 "swe" "-" "BR/ILS_juv/spa" "HiC_scaffold_25_swe" 25 25 13471441
"88" 55 "HiC_scaffold_25" 6568675 13471440 6902767 "swe" "+" "BR/ILS_juv/spa" "HiC_scaffold_25_swe" 25 25 13471441
