"set" "map" "mkr" "phys" "gen"
"1" "ls_cat" 1 1 857604 0
"2" "ls_cat" 1 2 960108 0
"3" "ls_cat" 1 7 1432002 0
"4" "ls_cat" 1 8 1490133 0
"5" "ls_cat" 1 9 1669646 0
"6" "ls_cat" 1 12 1725894 0
"7" "ls_cat" 1 17 1769831 1.136
"8" "ls_cat" 1 19 2452286 1.701
"9" "ls_cat" 1 20 2521318 1.701
"10" "ls_cat" 1 21 2669949 1.701
"11" "ls_cat" 1 23 3079565 1.701
"12" "ls_cat" 1 28 3580850 2.266
"13" "ls_cat" 1 33 3702161 8.863
"14" "ls_cat" 1 49 4529913 10.577
"15" "ls_cat" 1 61 4924269 13.441
"16" "ls_cat" 1 63 5083729 14.006
"17" "ls_cat" 1 64 5091847 17.496
"18" "ls_cat" 1 77 5152273 19.211
"19" "ls_cat" 1 83 6323204 20.925
"20" "ls_cat" 1 94 7058547 20.925
"21" "ls_cat" 1 102 7306269 22.062
"22" "ls_cat" 1 103 7452283 23.198
"23" "ls_cat" 1 104 7536599 23.198
"24" "ls_cat" 1 107 7708666 23.198
"25" "ls_cat" 1 110 7765061 24.912
"26" "ls_cat" 1 117 8359924 26.627
"27" "ls_cat" 1 121 8382936 26.627
"28" "ls_cat" 1 124 8411785 27.763
"29" "ls_cat" 1 125 8492177 27.763
"30" "ls_cat" 1 130 8628682 28.328
"31" "ls_cat" 1 133 8969480 30.627
"32" "ls_cat" 1 134 9094408 31.192
"33" "ls_cat" 1 135 9145964 31.757
"34" "ls_cat" 1 141 9171153 31.757
"35" "ls_cat" 1 144 9341424 34.622
"36" "ls_cat" 1 145 9376344 36.336
"37" "ls_cat" 1 148 10017917 36.901
"38" "ls_cat" 1 152 10120873 39.2
"39" "ls_cat" 1 154 10281982 39.765
"40" "ls_cat" 1 158 10711924 42.045
"41" "ls_cat" 1 159 11227247 43.181
"42" "ls_cat" 1 161 11560717 45.48
"43" "ls_cat" 1 167 11881874 45.48
"44" "ls_cat" 1 170 12328195 47.195
"45" "ls_cat" 1 179 12420457 48.331
"46" "ls_cat" 1 180 12454768 48.896
"47" "ls_cat" 1 182 12544486 48.896
"48" "ls_cat" 1 185 12546603 48.896
"49" "ls_cat" 1 186 12558468 49.461
"50" "ls_cat" 1 189 12871676 51.761
"51" "ls_cat" 1 195 14278830 52.325
"52" "ls_cat" 1 197 14508534 52.89
"53" "ls_cat" 1 201 15316434 55.19
"54" "ls_cat" 1 205 15765440 58.041
"55" "ls_cat" 1 206 16012085 59.177
"56" "ls_cat" 1 210 16786175 59.177
"57" "ls_cat" 1 211 17483747 59.177
"58" "ls_cat" 1 212 17599046 59.742
"59" "ls_cat" 1 217 17642444 60.878
"60" "ls_cat" 1 220 17919483 61.443
"61" "ls_cat" 1 221 18408231 61.443
"62" "ls_cat" 1 233 19248337 62.008
"63" "ls_cat" 1 236 19320750 62.008
"64" "ls_cat" 1 238 19519892 62.008
"65" "ls_cat" 1 240 20006942 63.723
"66" "ls_cat" 1 246 20065651 63.723
"67" "ls_cat" 1 247 20339349 64.288
"68" "ls_cat" 1 249 20781587 64.853
"69" "ls_cat" 1 253 20802551 64.853
"70" "ls_cat" 1 255 20917992 67.744
"71" "ls_cat" 1 256 21028647 69.458
