pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
swe	HiC_scaffold_10	23203	73202	0.002540389526394	898	381	149977	909706
swe	HiC_scaffold_10	73203	123202	0.0033077116935483	384	210	63488	941388
swe	HiC_scaffold_10	123203	173202	0.004201598688789	895	646	153751	916802
swe	HiC_scaffold_10	173203	223202	NA	0	0	0	942240
swe	HiC_scaffold_10	223203	273202	0.0019237846699454	337	115	59778	938992
swe	HiC_scaffold_10	273203	323202	0.0	127	0	23040	960420
swe	HiC_scaffold_10	323203	373202	0.0024597027423068	151	47	19108	937024
swe	HiC_scaffold_10	373203	423202	0.0158876979160998	116	292	18379	949078
swe	HiC_scaffold_10	423203	473202	0.0028696412948381	323	164	57150	943032
swe	HiC_scaffold_10	473203	523202	0.0012442312912858	238	55	44204	945936
swe	HiC_scaffold_10	523203	573202	0.0015670910871694	1075	296	188885	946858
swe	HiC_scaffold_10	573203	623202	0.005161943319838	52	51	9880	956460
swe	HiC_scaffold_10	623203	673202	0.000491345970963	1031	93	189276	935812
swe	HiC_scaffold_10	673203	723202	0.0003098232185164	349	17	54870	950536
swe	HiC_scaffold_10	723203	773202	0.0034676454484618	281	171	49313	941346
swe	HiC_scaffold_10	773203	823202	0.0	231	0	42303	960926
swe	HiC_scaffold_10	823203	873202	0.0014779229872984	1932	515	348462	923148
swe	HiC_scaffold_10	873203	923202	0.0	124	0	22026	937924
swe	HiC_scaffold_10	923203	973202	0.0019279412057599	1395	484	251045	902270
swe	HiC_scaffold_10	973203	1023202	0.0007210626185958	141	19	26350	912704
swe	HiC_scaffold_10	1023203	1073202	NA	0	0	0	919920
swe	HiC_scaffold_10	1073203	1123202	0.0006554641878202	138	11	16782	930732
swe	HiC_scaffold_10	1123203	1173202	NA	0	0	0	925960
swe	HiC_scaffold_10	1173203	1223202	NA	0	0	0	936520
swe	HiC_scaffold_10	1223203	1273202	0.0032478794185349	171	103	31713	929962
swe	HiC_scaffold_10	1273203	1323202	0.002426168655114	913	400	164869	920474
swe	HiC_scaffold_10	1323203	1373202	NA	0	0	0	949660
swe	HiC_scaffold_10	1373203	1423202	NA	0	0	0	914200
swe	HiC_scaffold_10	1423203	1473202	0.0005087468761156	623	57	112040	935708
swe	HiC_scaffold_10	1473203	1523202	0.0	561	0	104744	944600
swe	HiC_scaffold_10	1523203	1573202	0.0011765988570182	1223	259	220126	904812
swe	HiC_scaffold_10	1573203	1623202	0.0	303	0	56171	940838
swe	HiC_scaffold_10	1623203	1673202	NA	0	0	0	927860
swe	HiC_scaffold_10	1673203	1723202	NA	0	0	0	916680
swe	HiC_scaffold_10	1723203	1773202	0.0004454618573284	449	36	80815	914786
swe	HiC_scaffold_10	1773203	1823202	0.0	344	0	63493	910482
swe	HiC_scaffold_10	1823203	1873202	0.0159420713013518	244	546	34249	925706
swe	HiC_scaffold_10	1873203	1923202	0.0020394166907305	299	113	55408	910036
swe	HiC_scaffold_10	1923203	1973202	NA	0	0	0	920060
swe	HiC_scaffold_10	1973203	2023202	0.0092963908129784	135	51	5486	931056
swe	HiC_scaffold_10	2023203	2073202	NA	0	0	0	917380
swe	HiC_scaffold_10	2073203	2123202	0.0	86	0	15452	916288
swe	HiC_scaffold_10	2123203	2173202	NA	0	0	0	938900
swe	HiC_scaffold_10	2173203	2223202	NA	0	0	0	922340
swe	HiC_scaffold_10	2223203	2273202	NA	0	0	0	948040
swe	HiC_scaffold_10	2273203	2323202	NA	0	0	0	934560
swe	HiC_scaffold_10	2323203	2373202	0.0036303630363036	183	11	3030	928072
swe	HiC_scaffold_10	2373203	2423202	0.0217232566630156	198	476	21912	910824
swe	HiC_scaffold_10	2423203	2473202	0.0023784258480002	160	65	27329	901086
swe	HiC_scaffold_10	2473203	2523202	NA	0	0	0	930500
swe	HiC_scaffold_10	2523203	2573202	NA	0	0	0	926580
swe	HiC_scaffold_10	2573203	2623202	NA	0	0	0	944180
swe	HiC_scaffold_10	2623203	2673202	0.0001047019438742	1987	38	362935	889878
swe	HiC_scaffold_10	2673203	2723202	0.000245551190201	371	17	69232	917008
swe	HiC_scaffold_10	2723203	2773202	0.0	389	0	71920	915328
swe	HiC_scaffold_10	2773203	2823202	NA	0	0	0	916660
swe	HiC_scaffold_10	2823203	2873202	0.0005066294314629	1347	123	242781	894762
swe	HiC_scaffold_10	2873203	2923202	0.0004855547462976	398	34	70023	901614
