"pop" "chrom" "phys_assembly" "gen_assembly" "gen_dist" "phys_dist" "rrate"
"LSSPA" "HiC_scaffold_1" 857604 0 NA NA NA
"LSSPA" "HiC_scaffold_1" 1432002 0 0 574398 0
"LSSPA" "HiC_scaffold_1" 1490133 0 0 58131 0
"LSSPA" "HiC_scaffold_1" 1669646 0 0 179513 0
"LSSPA" "HiC_scaffold_1" 1725894 0 0 56248 0
"LSSPA" "HiC_scaffold_1" 1769831 1.136 1.14 43937 25.946
"LSSPA" "HiC_scaffold_1" 2452286 1.701 0.57 682455 0.835
"LSSPA" "HiC_scaffold_1" 2521318 1.701 0 69032 0
"LSSPA" "HiC_scaffold_1" 2669949 1.701 0 148631 0
"LSSPA" "HiC_scaffold_1" 3079565 1.701 0 409616 0
"LSSPA" "HiC_scaffold_1" 3580850 2.266 0.56 501285 1.117
"LSSPA" "HiC_scaffold_1" 3702161 8.863 6.6 121311 54.406
"LSSPA" "HiC_scaffold_1" 4529913 10.577 1.71 827752 2.066
"LSSPA" "HiC_scaffold_1" 4924269 13.441 2.86 394356 7.252
"LSSPA" "HiC_scaffold_1" 5083729 14.006 0.56 159460 3.512
"LSSPA" "HiC_scaffold_1" 5091847 17.496 3.49 8118 429.909
"LSSPA" "HiC_scaffold_1" 5152273 19.211 1.71 60426 28.299
"LSSPA" "HiC_scaffold_1" 6323204 20.925 1.71 1170931 1.46
"LSSPA" "HiC_scaffold_1" 7058547 20.925 0 735343 0
"LSSPA" "HiC_scaffold_1" 7306269 22.062 1.14 247722 4.602
"LSSPA" "HiC_scaffold_1" 7452283 23.198 1.14 146014 7.807
"LSSPA" "HiC_scaffold_1" 7536599 23.198 0 84316 0
"LSSPA" "HiC_scaffold_1" 7708666 23.198 0 172067 0
"LSSPA" "HiC_scaffold_1" 7765061 24.912 1.71 56395 30.322
"LSSPA" "HiC_scaffold_1" 8359924 26.627 1.71 594863 2.875
"LSSPA" "HiC_scaffold_1" 8382936 26.627 0 23012 0
"LSSPA" "HiC_scaffold_1" 8411785 27.763 1.14 28849 39.516
"LSSPA" "HiC_scaffold_1" 8492177 27.763 0 80392 0
"LSSPA" "HiC_scaffold_1" 8628682 28.328 0.56 136505 4.102
"LSSPA" "HiC_scaffold_1" 8969480 30.627 2.3 340798 6.749
"LSSPA" "HiC_scaffold_1" 9094408 31.192 0.57 124928 4.563
"LSSPA" "HiC_scaffold_1" 9145964 31.757 0.57 51556 11.056
"LSSPA" "HiC_scaffold_1" 9171153 31.757 0 25189 0
"LSSPA" "HiC_scaffold_1" 9341424 34.622 2.86 170271 16.797
"LSSPA" "HiC_scaffold_1" 9376344 36.336 1.71 34920 48.969
"LSSPA" "HiC_scaffold_1" 10017917 36.901 0.57 641573 0.888
"LSSPA" "HiC_scaffold_1" 10120873 39.2 2.3 102956 22.34
"LSSPA" "HiC_scaffold_1" 10281982 39.765 0.56 161109 3.476
"LSSPA" "HiC_scaffold_1" 10711924 42.045 2.28 429942 5.303
"LSSPA" "HiC_scaffold_1" 11227247 43.181 1.14 515323 2.212
"LSSPA" "HiC_scaffold_1" 11560717 45.48 2.3 333470 6.897
"LSSPA" "HiC_scaffold_1" 11881874 45.48 0 321157 0
"LSSPA" "HiC_scaffold_1" 12328195 47.195 1.72 446321 3.854
"LSSPA" "HiC_scaffold_1" 12420457 48.331 1.14 92262 12.356
"LSSPA" "HiC_scaffold_1" 12454768 48.896 0.56 34311 16.321
"LSSPA" "HiC_scaffold_1" 12544486 48.896 0 89718 0
"LSSPA" "HiC_scaffold_1" 12546603 48.896 0 2117 0
"LSSPA" "HiC_scaffold_1" 12558468 49.461 0.56 11865 47.198
"LSSPA" "HiC_scaffold_1" 12871676 51.761 2.3 313208 7.343
"LSSPA" "HiC_scaffold_1" 14278830 52.325 0.56 1407154 0.398
"LSSPA" "HiC_scaffold_1" 14508534 52.89 0.56 229704 2.438
"LSSPA" "HiC_scaffold_1" 15316434 55.19 2.3 807900 2.847
"LSSPA" "HiC_scaffold_1" 15765440 58.041 2.85 449006 6.347
"LSSPA" "HiC_scaffold_1" 16012085 59.177 1.14 246645 4.622
"LSSPA" "HiC_scaffold_1" 16786175 59.177 0 774090 0
"LSSPA" "HiC_scaffold_1" 17483747 59.177 0 697572 0
"LSSPA" "HiC_scaffold_1" 17599046 59.742 0.56 115299 4.857
"LSSPA" "HiC_scaffold_1" 17642444 60.878 1.14 43398 26.268
"LSSPA" "HiC_scaffold_1" 17919483 61.443 0.56 277039 2.021
"LSSPA" "HiC_scaffold_1" 18408231 61.443 0 488748 0
"LSSPA" "HiC_scaffold_1" 19248337 62.008 0.57 840106 0.678
"LSSPA" "HiC_scaffold_1" 19320750 62.008 0 72413 0
"LSSPA" "HiC_scaffold_1" 19519892 62.008 0 199142 0
"LSSPA" "HiC_scaffold_1" 20006942 63.723 1.71 487050 3.511
"LSSPA" "HiC_scaffold_1" 20065651 63.723 0 58709 0
"LSSPA" "HiC_scaffold_1" 20339349 64.288 0.56 273698 2.046
"LSSPA" "HiC_scaffold_1" 20781587 64.853 0.56 442238 1.266
"LSSPA" "HiC_scaffold_1" 20802551 64.853 0 20964 0
"LSSPA" "HiC_scaffold_1" 20917992 67.744 2.89 115441 25.034
"LSSPA" "HiC_scaffold_1" 21028647 69.458 1.71 110655 15.453
"LSSPA" "HiC_scaffold_1" 22053918 69.458 0 1025271 0
"LSSPA" "HiC_scaffold_1" 23298398 70.595 1.14 1244480 0.916
"LSSPA" "HiC_scaffold_1" 23300505 70.595 0 2107 0
"LSSPA" "HiC_scaffold_1" 23856346 71.731 1.14 555841 2.051
"LSSPA" "HiC_scaffold_1" 24107239 71.731 0 250893 0
"LSSPA" "HiC_scaffold_1" 24540871 72.296 0.57 433632 1.314
"LSSPA" "HiC_scaffold_1" 24928100 78.191 5.89 387229 15.211
"LSSPA" "HiC_scaffold_1" 25100582 80.491 2.3 172482 13.335
"LSSPA" "HiC_scaffold_1" 25920538 81.627 1.14 819956 1.39
"LSSPA" "HiC_scaffold_1" 26399444 83.926 2.3 478906 4.803
"LSSPA" "HiC_scaffold_1" 26987053 84.491 0.56 587609 0.953
"LSSPA" "HiC_scaffold_1" 27608308 85.628 1.14 621255 1.835
"LSSPA" "HiC_scaffold_1" 27746759 86.193 0.56 138451 4.045
"LSSPA" "HiC_scaffold_1" 28139591 86.193 0 392832 0
"LSSPA" "HiC_scaffold_1" 28139914 86.758 0.56 323 1733.746
"LSSPA" "HiC_scaffold_1" 28208575 86.758 0 68661 0
"LSSPA" "HiC_scaffold_1" 28789190 86.758 0 580615 0
"LSSPA" "HiC_scaffold_1" 28868197 86.758 0 79007 0
"LSSPA" "HiC_scaffold_1" 28915518 86.758 0 47321 0
"LSSPA" "HiC_scaffold_1" 28961716 87.323 0.56 46198 12.122
"LSSPA" "HiC_scaffold_1" 29285768 89.602 2.28 324052 7.036
"LSSPA" "HiC_scaffold_1" 32179853 89.602 0 2894085 0
"LSSPA" "HiC_scaffold_2" 17994 0 NA NA NA
"LSSPA" "HiC_scaffold_2" 309506 0 0 291512 0
"LSSPA" "HiC_scaffold_2" 521221 0 0 211715 0
"LSSPA" "HiC_scaffold_2" 528512 0 0 7291 0
"LSSPA" "HiC_scaffold_2" 541827 0 0 13315 0
"LSSPA" "HiC_scaffold_2" 623407 0 0 81580 0
"LSSPA" "HiC_scaffold_2" 735250 0 0 111843 0
"LSSPA" "HiC_scaffold_2" 1562507 0 0 827257 0
"LSSPA" "HiC_scaffold_2" 1902890 0.667 0.67 340383 1.968
"LSSPA" "HiC_scaffold_2" 1910946 1.333 0.67 8056 83.168
"LSSPA" "HiC_scaffold_2" 2015918 1.333 0 104972 0
"LSSPA" "HiC_scaffold_2" 2240080 1.333 0 224162 0
"LSSPA" "HiC_scaffold_2" 2695156 1.333 0 455076 0
"LSSPA" "HiC_scaffold_2" 3429666 1.333 0 734510 0
"LSSPA" "HiC_scaffold_2" 3477246 1.333 0 47580 0
"LSSPA" "HiC_scaffold_2" 3519261 4.198 2.87 42015 68.309
"LSSPA" "HiC_scaffold_2" 4080485 4.198 0 561224 0
"LSSPA" "HiC_scaffold_2" 4088836 4.198 0 8351 0
"LSSPA" "HiC_scaffold_2" 4144661 4.198 0 55825 0
"LSSPA" "HiC_scaffold_2" 4820749 6.47 2.27 676088 3.358
"LSSPA" "HiC_scaffold_2" 5276473 7.035 0.57 455724 1.251
