ls_swe "scaffold" "marker_nr" "position" "male_position"
ls_swe "1" 4 976800 0
ls_swe "1" 8 1583437 0
ls_swe "1" 11 2256288 0
ls_swe "1" 12 2448946 0
ls_swe "1" 19 2521121 0
ls_swe "1" 20 2587164 0
ls_swe "1" 22 2635480 0
ls_swe "1" 24 2808861 0
ls_swe "1" 26 3157052 0.556
ls_swe "1" 27 3665408 3.985
ls_swe "1" 29 3788414 7.383
ls_swe "1" 31 4077309 11.408
ls_swe "1" 36 5181507 11.408
ls_swe "1" 45 5242005 11.408
ls_swe "1" 46 5338585 14.838
ls_swe "1" 49 5740623 14.838
ls_swe "1" 52 6419970 18.268
ls_swe "1" 55 6815728 18.268
ls_swe "1" 57 6886102 18.823
ls_swe "1" 64 7154688 23.925
ls_swe "1" 65 7814239 23.925
ls_swe "1" 68 7871948 26.741
ls_swe "1" 74 8318635 26.741
ls_swe "1" 75 8471166 26.741
ls_swe "1" 78 8528054 27.297
ls_swe "1" 87 8970465 27.852
ls_swe "1" 89 8970774 27.852
ls_swe "1" 98 9046596 28.97
ls_swe "1" 101 9211254 30.087
ls_swe "1" 104 9482245 31.772
ls_swe "1" 107 9515850 31.772
ls_swe "1" 109 10174208 31.772
ls_swe "1" 112 10185367 31.772
ls_swe "1" 113 10549036 35.798
ls_swe "1" 119 10866415 39.228
ls_swe "1" 121 11381725 39.228
ls_swe "1" 123 11720859 39.228
ls_swe "1" 125 12467773 40.913
ls_swe "1" 131 12561608 41.469
ls_swe "1" 132 12670284 42.024
ls_swe "1" 135 12683989 42.024
ls_swe "1" 140 12686615 42.024
ls_swe "1" 144 13094762 42.024
ls_swe "1" 154 13722439 42.024
ls_swe "1" 155 15586999 42.024
ls_swe "1" 158 16268298 43.135
ls_swe "1" 161 16564796 44.253
ls_swe "1" 162 16711566 44.808
ls_swe "1" 165 17142828 47.65
ls_swe "1" 168 18172408 49.91
ls_swe "1" 169 18642867 49.91
ls_swe "1" 172 19348260 49.91
ls_swe "1" 184 19535319 51.028
ls_swe "1" 186 19855752 54.457
ls_swe "1" 189 20277328 54.457
ls_swe "1" 195 20336765 55.575
ls_swe "1" 198 20786291 57.26
ls_swe "1" 205 21060210 58.933
ls_swe "1" 214 22036486 61.194
ls_swe "1" 215 22665366 65.821
ls_swe "1" 226 24405919 71.059
ls_swe "1" 229 24537450 72.731
ls_swe "1" 230 25121855 74.992
ls_swe "1" 231 25215187 77.252
ls_swe "1" 236 26656176 80.068
ls_swe "1" 238 26675887 80.068
ls_swe "1" 240 27532132 81.185
ls_swe "1" 242 28043434 82.971
ls_swe "1" 248 28843737 83.856
ls_swe "1" 251 29668592 83.856
ls_swe "5" 1521 207657 0
ls_swe "5" 1522 400639 0
ls_swe "5" 1524 647704 0
ls_swe "5" 1528 718610 0
ls_swe "5" 1530 803596 0
ls_swe "5" 1535 1216850 0
ls_swe "5" 1537 1379481 0
ls_swe "5" 1543 1502279 1.117
ls_swe "5" 1544 1532580 1.673
ls_swe "5" 1546 1690032 2.784
ls_swe "5" 1548 2244764 6.214
ls_swe "5" 1553 3145155 8.474
ls_swe "5" 1554 3609933 11.316
ls_swe "5" 1555 3682812 13.576
ls_swe "5" 1556 4410234 13.576
ls_swe "5" 1559 4887559 13.576
ls_swe "5" 1561 4901213 14.694
ls_swe "5" 1572 4960529 14.694
ls_swe "5" 1578 5060811 14.694
ls_swe "5" 1581 5102263 15.249
ls_swe "5" 1584 5481298 18.091
ls_swe "5" 1586 5753189 19.764
ls_swe "5" 1587 5997345 20.319
ls_swe "5" 1593 6560551 20.875
ls_swe "5" 1595 7000860 21.43
ls_swe "5" 1601 7019929 21.43
ls_swe "5" 1605 7035607 23.665
ls_swe "5" 1609 7248699 23.665
ls_swe "5" 1614 7611789 24.782
ls_swe "5" 1617 7996196 28.768
ls_swe "5" 1621 8467387 31.028
ls_swe "5" 1639 9201184 33.844
ls_swe "5" 1641 9439702 34.961
ls_swe "5" 1644 10308207 35.517
ls_swe "5" 1647 10334299 35.517
ls_swe "5" 1650 10599527 37.203
ls_swe "5" 1653 10977844 37.758
ls_swe "5" 1657 11337532 38.314
ls_swe "5" 1659 12234551 42.941
ls_swe "5" 1666 12331088 42.941
ls_swe "5" 1669 12369231 43.497
ls_swe "5" 1673 12609932 43.497
ls_swe "5" 1675 12729827 44.614
ls_swe "5" 1685 13358918 44.614
ls_swe "5" 1691 13408801 45.17
ls_swe "5" 1696 13477973 45.17
ls_swe "5" 1702 13886849 47.411
ls_swe "5" 1709 13924169 47.411
ls_swe "5" 1720 15063047 48.528
ls_swe "5" 1732 15267221 49.084
ls_swe "5" 1735 15463044 53.711
ls_swe "5" 1736 15770980 54.829
ls_swe "5" 1744 15808062 54.829
ls_swe "5" 1746 16024538 54.829
ls_swe "5" 1750 16041715 54.829
ls_swe "5" 1752 16326886 54.829
ls_swe "5" 1755 16723204 54.829
ls_swe "5" 1759 17129351 54.829
ls_swe "5" 1761 17666407 55.946
ls_swe "5" 1762 17700865 55.946
ls_swe "5" 1763 17703464 61.801
ls_swe "5" 1765 18420790 64.642
ls_swe "5" 1770 19243569 64.642
ls_swe "5" 1779 20152817 65.76
ls_swe "5" 1783 21015124 66.877
ls_swe "5" 1788 21207369 67.433
ls_swe "5" 1795 21823918 68.55
ls_swe "5" 1804 23000347 69.106
ls_swe "5" 1808 23162607 69.106
ls_swe "5" 1820 23875210 69.106
ls_swe "5" 1823 23999316 70.791
ls_swe "5" 1829 24099510 71.909
ls_swe "5" 1832 24953563 71.909
ls_swe "5" 1836 25175769 71.909
ls_swe "5" 1847 25381802 71.909
ls_swe "5" 1849 26339614 72.809
ls_swe "5" 1850 26363391 74.662
ls_swe "5" 1851 26707859 74.662
ls_swe "5" 1852 26708179 74.662
ls_swe "4" 1127 527078 0
ls_swe "4" 1139 1283249 0
