anc_chr_unit	chromosome	EBR_start	EBR_end	EBR_length	pop1	Strand	type
1	cat_1	0	34043171	34043171	cat	+	Z
19	cat_10	0	13041722	13041722	cat	+	fu_swe
59	cat_11	0	12904538	12904538	cat	-	hom
10	cat_12	0	12846550	12846550	cat	-	BR/ILS_juv/spa
34	cat_13	0	12716052	12716052	cat	-	fu_swe
32	cat_14	0	6388689	6388689	cat		fu_anc_sin
36	cat_15	0	12572064	12572064	cat	-	fi_spa
29	cat_16	0	12463469	12463469	cat	+	fu_swe
17	cat_17	0	12417530	12417530	cat	-	fu_swe
8	cat_18	0	12373252	12373252	cat	-	fi_spa
18	cat_19	0	12203911	12203911	cat	-	fu_swe
3	cat_2	0	14215527	14215527	cat		fu_anc_sin
60	cat_20	0	11863123	11863123	cat	-	hom
16	cat_21	0	8509954	8509954	cat		fu_anc_sin
61	cat_22	0	10971242	10971242	cat	+	hom
20	cat_23	0	10889337	10889337	cat	+	fu_swe
38	cat_24	0	10731864	10731864	cat	+	unknown
56	cat_25	0	3051855	3051855	cat		BR/ILS_juv/spa
40	cat_26	0	10371112	10371112	cat	-	BR/ILS_juv/spa
21	cat_27	0	10056752	10056752	cat	+	fi_spa
28	cat_28	0	9433975	9433975	cat	-	fu_swe
23	cat_29	0	9366115	9366115	cat	-	fu_swe
12	cat_3	0	26201839	26201839	cat	+	Z
30	cat_30	0	9109249	9109249	cat	+	fu_swe
37	cat_31	0	9029877	9029877	cat	-	unknown
39	cat_32	0	8993086	8993086	cat	-	BR/ILS_juv/spa
50	cat_33	0	8858058	8858058	cat	+	BR/ILS_juv/spa
42	cat_34	0	8852937	8852937	cat	+	fi_spa
47	cat_35	0	8510491	8510491	cat	+	BR/ILS_juv/spa
45	cat_36	0	5378637	5378637	cat		fu_anc_sin
6	cat_37	0	8175631	8175631	cat	-	fu_swe
43	cat_38	0	8072367	8072367	cat	-	fi_spa
7	cat_39	0	8031547	8031547	cat	+	BR/ILS_juv/spa
41	cat_4	0	17858888	17858888	cat	-	Z
33	cat_40	0	7918917	7918917	cat	+	fu_swe
46	cat_41	0	7717807	7717807	cat	-	BR/ILS_juv/spa
35	cat_42	0	7657949	7657949	cat	+	fi_spa
13	cat_43	0	7592934	7592934	cat	-	fi_spa
48	cat_44	0	7462649	7462649	cat	+	BR/ILS_juv/spa
52	cat_45	0	7189000	7189000	cat	+	fu_swe
5	cat_46	0	7071330	7071330	cat	-	fu_swe
14	cat_47	0	6810500	6810500	cat	-	fi_spa
55	cat_48	0	6777714	6777714	cat	+	BR/ILS_juv/spa
49	cat_49	0	6622542	6622542	cat	+	BR/ILS_juv/spa
51	cat_5	0	7316288	7316288	cat	+	fu_swe
4	cat_50	0	6563399	6563399	cat	-	fi_spa
58	cat_51	0	5204110	5204110	cat	+	fu_spa
54	cat_52	0	6108349	6108349	cat	-	BR/ILS_juv/spa
9	cat_6	0	14789772	14789772	cat	+	fi_spa
11	cat_7	0	14168601	14168601	cat	+	BR/ILS_juv/spa
53	cat_8	0	14171155	14171155	cat	+	hom
22	cat_9	0	13621015	13621015	cat	+	fi_spa
1	swe_1	0	34455698	34455698	swe	+	Z
21	swe_10	0	10277651	10277651	swe	+	fi_spa
23	swe_11	0	9552499	9552499	swe	-	fu_swe
28	swe_12	0	9700444	9700444	swe	-	fu_swe
30	swe_13	0	9341788	9341788	swe	+	fu_swe
33	swe_14	0	8264754	8264754	swe	+	fu_swe
35	swe_15	0	7815325	7815325	swe	+	fi_spa
37	swe_16	0	9386000	9386000	swe	-	unknown
39	swe_17	0	9080121	9080121	swe	-	BR/ILS_juv/spa
41	swe_18	0	17773115	17773115	swe	-	Z
42	swe_19	0	8395606	8395606	swe	+	fi_spa
2	swe_2	0	18368799	18368799	swe	-	fu_anc_sin
44	swe_20	0	2688566	2688566	swe	-	fu_anc_sin
47	swe_21	0	8652705	8652705	swe	+	BR/ILS_juv/spa
49	swe_22	0	6778134	6778134	swe	+	BR/ILS_juv/spa
51	swe_23	0	7391940	7391940	swe	+	fu_swe
53	swe_24	0	13684430	13684430	swe	+	hom
54	swe_25	0	6247358	6247358	swe	-	BR/ILS_juv/spa
56	swe_26	0	3051855	3051855	swe		BR/ILS_juv/spa
59	swe_27	0	12376488	12376488	swe	-	hom
60	swe_28	0	11658327	11658327	swe	-	hom
61	swe_29	0	11165203	11165203	swe	+	hom
4	swe_3	0	6630455	6630455	swe	-	fi_spa
8	swe_4	0	12474786	12474786	swe	-	fi_spa
10	swe_5	0	12753250	12753250	swe	-	BR/ILS_juv/spa
12	swe_6	0	26593402	26593402	swe	+	Z
13	swe_7	0	7794590	7794590	swe	-	fi_spa
17	swe_8	0	12848078	12848078	swe	-	fu_swe
19	swe_9	0	13908078	13908078	swe	+	fu_swe
45	swe_20	2764311	8331409	5567098	swe		fu_anc_sin
57	cat_25	3118204	7008000	3889796	cat		BR/ILS_juv/spa
57	swe_26	3118204	7141561	4023357	swe		BR/ILS_juv/spa
26	cat_51	5373554	6505794	1132240	cat		fu_spa
44	cat_36	5412761	8226895	2814134	cat	-	fu_anc_sin
31	cat_14	6410190	12659735	6249545	cat	-	fu_swe
55	swe_25	6568674	13471441	6902767	swe	+	BR/ILS_juv/spa
5	swe_3	6723970	13818234	7094264	swe	-	fu_swe
25	cat_25	7030000	7612726	582726	cat		fu_anc_sin
50	swe_22	7224739	15785361	8560622	swe	+	BR/ILS_juv/spa
27	cat_5	7425984	14857515	7431531	cat		fi_spa
52	swe_23	7454671	14824030	7369359	swe	+	fu_swe
58	swe_26	7537599	12537843	5000244	swe	+	fu_spa
24	cat_25	7661594	10694127	3032533	cat	-	fu_swe
14	swe_7	7854630	14556555	6701925	swe	-	fi_spa
36	swe_15	7901823	20771620	12869797	swe	-	fi_spa
34	swe_14	8286896	21002338	12715442	swe	-	fu_swe
46	swe_20	8435200	16307044	7871844	swe	-	BR/ILS_juv/spa
43	swe_19	8511083	16601477	8090394	swe	-	fi_spa
15	cat_21	8620954	11043877	2422923	cat	-	fi_spa
48	swe_21	8795742	16244046	7448304	swe	+	BR/ILS_juv/spa
40	swe_17	9132668	19406976	10274308	swe	-	BR/ILS_juv/spa
31	swe_13	9348732	15692075	6343343	swe	-	fu_swe
38	swe_16	9459000	20354528	10895528	swe	+	unknown
24	swe_11	9604026	12636559	3032533	swe	-	fu_swe
29	swe_12	9700948	22309355	12608407	swe	+	fu_swe
22	swe_10	10326588	23696351	13369763	swe	+	fi_spa
9	swe_4	12566366	27422032	14855666	swe	+	fi_spa
25	swe_11	12685427	13227000	541573	swe		fu_anc_sin
11	swe_5	12786407	27208799	14422392	swe	+	BR/ILS_juv/spa
18	swe_8	12920848	25271786	12350938	swe	-	fu_swe
26	swe_11	13227001	14497892	1270891	swe		fu_spa
6	swe_3	13877656	21916345	8038689	swe	-	fu_swe
20	swe_9	13908079	24821562	10913485	swe	+	fu_swe
2	cat_2	14263805	32763382	18499577	cat	-	fu_anc_sin
27	swe_11	14579067	22599691	8020624	swe		fi_spa
15	swe_7	14616929	16846145	2229216	swe	-	fi_spa
32	swe_13	15734914	21837515	6102601	swe		fu_anc_sin
16	swe_7	16883350	25418471	8535121	swe		fu_anc_sin
3	swe_2	18429467	32844224	14414757	swe		fu_anc_sin
7	swe_3	22083520	30544165	8460645	swe	+	BR/ILS_juv/spa
